NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,4484
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,2646
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,5879
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,488
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,2278
18,DEPUTADO FEDERAL,Rede Sustentabilidade,303
19,DEPUTADO FEDERAL,Podemos,143
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,5366
22,DEPUTADO FEDERAL,Partido Liberal,7402
23,DEPUTADO FEDERAL,Cidadania,2392
27,DEPUTADO FEDERAL,Democracia CristÃ£,518
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,31
30,DEPUTADO FEDERAL,Partido Novo,149
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,781
36,DEPUTADO FEDERAL,AGIR,97
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,2248
43,DEPUTADO FEDERAL,Partido Verde,932
44,DEPUTADO FEDERAL,UNIÃO BRASIL,9034
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,1709
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,830
51,DEPUTADO FEDERAL,Patriota,1206
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,6301
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,979
70,DEPUTADO FEDERAL,AVANTE,4523
77,DEPUTADO FEDERAL,Solidariedade,740
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,144
95,DEPUTADO FEDERAL,VOTO BRANCO,67701
96,DEPUTADO FEDERAL,VOTO NULO,49679
1000,DEPUTADO FEDERAL,ADAIL JOSÃ FIGUEIREDO PINHEIRO,90028
1010,DEPUTADO FEDERAL,SILAS CÃMARA,125068
1011,DEPUTADO FEDERAL,AUGUSTO CESAR PAULA DE ANDRADE,2137
1012,DEPUTADO FEDERAL,EDSON CARLOS DE DEUS CASTILHO,2582
1020,DEPUTADO FEDERAL,RODRIGO GUEDES OLIVEIRA DE ARAUJO,20305
1033,DEPUTADO FEDERAL,JOÃO CARLOS DOS SANTOS MELLO,44085
1044,DEPUTADO FEDERAL,MARIA MIRTES SALES DE OLIVEIRA,2432
1077,DEPUTADO FEDERAL,RAIMUNDA NONATA DE MELO MARTINS,2366
1088,DEPUTADO FEDERAL,NICIA ANDREA MOTA MEDEIROS,644
1200,DEPUTADO FEDERAL,ALAN KARDECK PEREIRA AMAZONAS,557
1212,DEPUTADO FEDERAL,PAULO HENRIQUE DA PAIXÃO E SILVA JUNIOR,2015
1213,DEPUTADO FEDERAL,WANESSA SIMÃES PACHECO,1503
1214,DEPUTADO FEDERAL,ISMAEL FRANKLIN GONÃALVES,569
1222,DEPUTADO FEDERAL,MARIO RUBENS MACEDO VIANNA,1670
1223,DEPUTADO FEDERAL,CHRISTIANI MARIA MENDES BARROS,445
1232,DEPUTADO FEDERAL,PEDRINHA LASMAR CRUZ,486
1234,DEPUTADO FEDERAL,GELSON DO NASCIMENTO ALBUQUERQUE,1807
1236,DEPUTADO FEDERAL,ERNANDO FIGUEIRA SANTANA FILHO,536
1313,DEPUTADO FEDERAL,JOSÃ RICARDO WENDLING,89017
1315,DEPUTADO FEDERAL,MARIA FRANCELIZIA DA SILVA,2473
1318,DEPUTADO FEDERAL,CÃCERO CUSTÃDIO DA SILVA,8653
1333,DEPUTADO FEDERAL,EDJANE RODRIGUES DA SILVA,4593
1363,DEPUTADO FEDERAL,LUIZ DE SOUZA BORGES NETO,4052
1401,DEPUTADO FEDERAL,HELADE MAUÃS GONÃALVES,268
1414,DEPUTADO FEDERAL,ALCIDES CORDOVIL DE ASSIS,1351
1415,DEPUTADO FEDERAL,ANTONIO SIDNEY SILVA DA COSTA,585
1422,DEPUTADO FEDERAL,NAZILDO DOS REIS OLIVEIRA,1116
