NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
MANAUS,Vereador,10000,DR DANIEL VASCONCELOS,10,REPUBLICANOS,6364
MANAUS,Vereador,10010,GUSTAVO MORAIS,10,REPUBLICANOS,291
MANAUS,Vereador,10012,LUIZ AGRICULTOR,10,REPUBLICANOS,47
MANAUS,Vereador,10014,JULIO CESAR DO PROSAMIN,10,REPUBLICANOS,133
MANAUS,Vereador,10100,RAIANE DA BETÃNIA,10,REPUBLICANOS,260
MANAUS,Vereador,10101,NAZILDO REIS,10,REPUBLICANOS,339
MANAUS,Vereador,10110,LAURENCE MARTINS,10,REPUBLICANOS,66
MANAUS,Vereador,10111,PRISSILA MELO,10,REPUBLICANOS,126
MANAUS,Vereador,10123,JOÃO CARLOS,10,REPUBLICANOS,9499
MANAUS,Vereador,10144,PROFESSORA ANIZIA,10,REPUBLICANOS,103
MANAUS,Vereador,10180,ANA POR ELAS,10,REPUBLICANOS,323
MANAUS,Vereador,10181,CORONEL HERMES,10,REPUBLICANOS,200
MANAUS,Vereador,10190,SARGENTO EFRAIM,10,REPUBLICANOS,428
MANAUS,Vereador,10192,BRUNO COSTA,10,REPUBLICANOS,175
MANAUS,Vereador,10200,KARLA CAMPOS,10,REPUBLICANOS,140
MANAUS,Vereador,10222,MARCIA MACENA,10,REPUBLICANOS,2946
MANAUS,Vereador,10234,DEMÃTRIO SANTOS,10,REPUBLICANOS,1600
MANAUS,Vereador,10307,TEN MÃRCIO AZEVEDO,10,REPUBLICANOS,105
MANAUS,Vereador,10324,DONIZETE DA VOZ,10,REPUBLICANOS,241
MANAUS,Vereador,10333,NILSON NASCIMENTO,10,REPUBLICANOS,42
MANAUS,Vereador,10369,LUCAS PAIVA,10,REPUBLICANOS,136
MANAUS,Vereador,10444,HARUO TAKATANI,10,REPUBLICANOS,612
MANAUS,Vereador,10456,ROBERTO SABINO,10,REPUBLICANOS,7579
MANAUS,Vereador,10500,RONALDO SOUSA,10,REPUBLICANOS,522
MANAUS,Vereador,10555,ZEZINHO COROADINHO,10,REPUBLICANOS,114
MANAUS,Vereador,10666,THATY BARONE,10,REPUBLICANOS,125
MANAUS,Vereador,10678,ADANOR PORTO,10,REPUBLICANOS,3236
MANAUS,Vereador,10700,MELO NETO,10,REPUBLICANOS,48
MANAUS,Vereador,10704,BRITO JÃNIOR,10,REPUBLICANOS,180
MANAUS,Vereador,10712,CARLOS SILVA,10,REPUBLICANOS,270
MANAUS,Vereador,10715,DOM FERNANDO,10,REPUBLICANOS,120
MANAUS,Vereador,10732,PASTORA CIRLEY,10,REPUBLICANOS,49
MANAUS,Vereador,10765,KETLLEN MOURA,10,REPUBLICANOS,1359
MANAUS,Vereador,10777,NAGLIA AMORIM,10,REPUBLICANOS,624
MANAUS,Vereador,10789,MARCIO TAVARES,10,REPUBLICANOS,5196
MANAUS,Vereador,10832,MAJ MARIA JOSE,10,REPUBLICANOS,63
MANAUS,Vereador,10888,CARRETEIRO XITARA,10,REPUBLICANOS,513
MANAUS,Vereador,10992,CARPEJANE FRANCO,10,REPUBLICANOS,52
MANAUS,Vereador,10999,MACKI SOARES,10,REPUBLICANOS,163
MANAUS,Vereador,11000,MICHELL MARQUES,11,PP,1581
MANAUS,Vereador,11001,PEPETY  CUNHA,11,PP,437
MANAUS,Vereador,11007,RODRIGO GUEDES,11,PP,12298
MANAUS,Vereador,11009,LUCAS MEIA-NOITE,11,PP,91
MANAUS,Vereador,11010,CLAYTON PASCARELLI,11,PP,2344
MANAUS,Vereador,11011,MOISES BARROS,11,PP,482
MANAUS,Vereador,11012,JEAN MENDONÃA,11,PP,1824
