NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,556
11,DEPUTADO FEDERAL,PROGRESSISTAS,643
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,1390
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,801
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,501
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,1156
18,DEPUTADO FEDERAL,Rede Sustentabilidade,401
19,DEPUTADO FEDERAL,Podemos,522
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,321
22,DEPUTADO FEDERAL,Partido Liberal,1361
23,DEPUTADO FEDERAL,Cidadania,282
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,165
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,19
36,DEPUTADO FEDERAL,AGIR,16
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,329
43,DEPUTADO FEDERAL,Partido Verde,335
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,395
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,156
51,DEPUTADO FEDERAL,Patriota,39
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,573
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,266
70,DEPUTADO FEDERAL,AVANTE,203
95,DEPUTADO FEDERAL,VOTO BRANCO,8801
96,DEPUTADO FEDERAL,VOTO NULO,9058
1000,DEPUTADO FEDERAL,ALINE PARANHOS VARONIL GURGEL,13633
1001,DEPUTADO FEDERAL,ELOISY CRISTINY AUZIER DO MONTE,62
1010,DEPUTADO FEDERAL,FATIMA LÃCIA PELAES,9319
1022,DEPUTADO FEDERAL,ARISTIDES DA SILVA LOPES,763
1033,DEPUTADO FEDERAL,ANDRÃ HENRIQUE DA SILVA,2461
1070,DEPUTADO FEDERAL,MARGLEIDE DA SILVA ALFAIA,405
1077,DEPUTADO FEDERAL,FRANCO AURELIO BRITO DE SOUZA,6109
1080,DEPUTADO FEDERAL,MANOEL CAETANO BENTES MONTEIRO NETO,5280
1099,DEPUTADO FEDERAL,RAIMUNDO LIMA JÃNIOR,583
1111,DEPUTADO FEDERAL,ANDRÃ DOS SANTOS ABDON,11380
1112,DEPUTADO FEDERAL,JURACI PICANÃO DE ALMEIDA,342
1115,DEPUTADO FEDERAL,GIODILSON PINHEIRO BORGES,4059
1122,DEPUTADO FEDERAL,LEDA MARIA SADALA BRITO,4110
1123,DEPUTADO FEDERAL,EDUARDO JACINTHO FLEURY,2212
1144,DEPUTADO FEDERAL,FRANCINETE SILVA DE OLIVEIRA,1283
1155,DEPUTADO FEDERAL,MICHEL DE OLIVEIRA LIMA,358
1177,DEPUTADO FEDERAL,SILVANA VEDOVELLI,10647
1190,DEPUTADO FEDERAL,KLEBER LUIS MONTEIRO DA SILVA,4052
1212,DEPUTADO FEDERAL,JOSENILDO SANTOS ABRANTES,27112
1213,DEPUTADO FEDERAL,ANNE TÃVORA DE ARAÃJO,1178
1222,DEPUTADO FEDERAL,DORINALDO BARBOSA MALAFAIA,11473
1234,DEPUTADO FEDERAL,MARIA GORETH DA SILVA E SOUSA,8409
1236,DEPUTADO FEDERAL,ALBA NIZE COLARES CALDAS,5006
1244,DEPUTADO FEDERAL,ANTONIO DE DEUS NUNES DOS SANTOS,1792
1255,DEPUTADO FEDERAL,DIRLEY FURTADO DA SILVA,1043
1266,DEPUTADO FEDERAL,EVANDRO COSTA MILHOMEN,6570
1280,DEPUTADO FEDERAL,ADILSON GARCIA DO NASCIMENTO,915
1300,DEPUTADO FEDERAL,LOURIVAL DO CARMO DE FREITAS,580
1310,DEPUTADO FEDERAL,MARCOS ROBERTO MARQUES DA SILVA,2192
1312,DEPUTADO FEDERAL,ANTONIA DO SOCORRO NOGUEIRA DE SOUZA,8904
1313,DEPUTADO FEDERAL,MARIA DALVA DE SOUZA FIGUEIREDO,2414
1400,DEPUTADO FEDERAL,PATRICIANA GUIMARAES ARAUJO,805
1407,DEPUTADO FEDERAL,JOSE LUIS MERCURIO,2802
1414,DEPUTADO FEDERAL,KASSYO SANTOS RAMOS,10472
1415,DEPUTADO FEDERAL,YURI ALESI DA SILVA ARAUJO,2896
1422,DEPUTADO FEDERAL,EDUARDO HENRIQUE ANDRADE DE SIQUEIRA,4131
1433,DEPUTADO FEDERAL,IVAN CESAR CARDOSO MARTINS,1013
1455,DEPUTADO FEDERAL,RENILCE FRANÃA PEREIRA,2585
1470,DEPUTADO FEDERAL,AFONSO GOMES GUIMARAES,1461
1484,DEPUTADO FEDERAL,KELLY DANTAS DE VASCONCELOS,772
1500,DEPUTADO FEDERAL,RAFAELA ESTEFFANS DE SOUSA MENDES,853
1510,DEPUTADO FEDERAL,JOSÃ AUGUSTO PUPIO REIS JÃNIOR,5787
1515,DEPUTADO FEDERAL,ACÃCIO DA SILVA FAVACHO NETO,24064
1516,DEPUTADO FEDERAL,IVNA DEISE DA SILVA AMANAJÃS,2140
1520,DEPUTADO FEDERAL,MÃNICA PENHA FERREIRA DIAS,742
1523,DEPUTADO FEDERAL,MADSON MILLOR LIMA RODRIGUES,2288
1533,DEPUTADO FEDERAL,ALUIZO DA SILVA DE CARVALHO,1371
1555,DEPUTADO FEDERAL,WALLEX BRUNO LOBATO DA IGREJA,3418
1580,DEPUTADO FEDERAL,JOSÃ MAURO SECCO,3878
1800,DEPUTADO FEDERAL,CRISTIANO BEVILACQUA FURLAN,6491
1813,DEPUTADO FEDERAL,ISAIAS DA SILVA CARVALHO,292
1818,DEPUTADO FEDERAL,LUCAS ABRAHAO ROSA CEZARIO DE ALMEIDA,8120
1870,DEPUTADO FEDERAL,ANDRE LUIZ ALVES DE LIMA,5193
1888,DEPUTADO FEDERAL,ANNE CHRYSTIANE DA SILVA MARQUES,4133
1899,DEPUTADO FEDERAL,ANTONIA DE MORAES GUEDES,1037
1900,DEPUTADO FEDERAL,SANDRA DOS SANTOS LACERDA,13744
1910,DEPUTADO FEDERAL,SATH FALCONY VAZ LEITE DOS SANTOS,1900
1919,DEPUTADO FEDERAL,STEFANNY DE ALMEIDA BRANDÃO,271
1922,DEPUTADO FEDERAL,ANTÃNIO CIRILO FERNANDES BORGES,3555
1923,DEPUTADO FEDERAL,CLEISER RUAN SOUZA DOS SANTOS,184
1955,DEPUTADO FEDERAL,KÃTIA SENA MACIEL,76
1970,DEPUTADO FEDERAL,VALDIR BARBOZA FURTADO,1391
1980,DEPUTADO FEDERAL,MARCO JOHNNY DE OLIVEIRA DO NASCIMENTO,334
1999,DEPUTADO FEDERAL,WALDEIR GARCIA RIBEIRO,4824
2011,DEPUTADO FEDERAL,ROBERTO SOARES DA SILVA,81
2020,DEPUTADO FEDERAL,MARIA IVONEIDE OLIVEIRA CHAGAS,3846
2022,DEPUTADO FEDERAL,JOSÃ ROBERTO DA SILVA BRITO,31
2030,DEPUTADO FEDERAL,ESTER FARIAS DA SILVA,481
2070,DEPUTADO FEDERAL,FRANCISCO ROZIVALDO RIBEIRO DE OLIVEIRA,2186
2077,DEPUTADO FEDERAL,SILVANA MARIA PALHETA PIRES COELHO,13
2080,DEPUTADO FEDERAL,PEDRO DOS SANTOS MARTINS,6601
2090,DEPUTADO FEDERAL,GILSON PEREIRA LIMA,1210
2098,DEPUTADO FEDERAL,MARCO ANTONIO DE LIMA NUNES,1370
2200,DEPUTADO FEDERAL,ACHILES EDUARDO PONTES CAMPOS,3490
2210,DEPUTADO FEDERAL,SILVIA NOBRE LOPES,5435
2222,DEPUTADO FEDERAL,VINICIUS DE AZEVEDO GURGEL,13253
2225,DEPUTADO FEDERAL,SONIZE PIMENTEL DOS SANTOS BARBOSA,9200
2233,DEPUTADO FEDERAL,JORIELSON BRITO NASCIMENTO,4619
2255,DEPUTADO FEDERAL,MARAINA KELLEN MARTINS SOUTO,1903
2270,DEPUTADO FEDERAL,MARCELO MORAES DOS SANTOS,3491
2277,DEPUTADO FEDERAL,CHARLY JHONE SANTOS DE SOUSA,3633
2299,DEPUTADO FEDERAL,CHARLES CORREA,2456
2812,DEPUTADO FEDERAL,JUREMA DOS SANTOS GOMES,2
2822,DEPUTADO FEDERAL,NEWTON MARCELO NASCIMENTO DOS SANTOS,72
2829,DEPUTADO FEDERAL,EDMILSON DE OLIVEIRA SILVA,20
2855,DEPUTADO FEDERAL,HERBERT LUIS DE FRANCA JUNIOR,296
2880,DEPUTADO FEDERAL,MARLENE OLIVEIRA CARDOSO NUNES,53
2899,DEPUTADO FEDERAL,PAULO COSTA SILVA,196
2999,DEPUTADO FEDERAL,LUCIANE DOS SANTOS LIMA,26
3611,DEPUTADO FEDERAL,RISOLANE CAMILA DA COSTA NEGREIROS,4
3622,DEPUTADO FEDERAL,LEILA ROSANA DA SILVA MONTEIRO,30
3640,DEPUTADO FEDERAL,ANDERSON DIOGO RODRIGUES CASTRO,23
3655,DEPUTADO FEDERAL,ANTONIO FLEXA SOARES,44
4004,DEPUTADO FEDERAL,JODOVAL FARIAS DA COSTA,700
4022,DEPUTADO FEDERAL,MARIA VANIA UCHOA DE AZEVEDO,213
4040,DEPUTADO FEDERAL,CARLOS CAMILO GOES CAPIBERIBE,9631
4055,DEPUTADO FEDERAL,JOSE ROBERTO AFONSO PANTOJA,1168
4090,DEPUTADO FEDERAL,MARIA CRISTINA DO ROSARIO ALMEIDA MENDES,3591
4322,DEPUTADO FEDERAL,MARIO MILTON MATOS DA SILVA,82
4343,DEPUTADO FEDERAL,ANA GIRLENE DIAS DE OLIVEIRA,2246
4390,DEPUTADO FEDERAL,AILTON SILVA DOS SANTOS,315
4510,DEPUTADO FEDERAL,GIRLENE RODRIGUES BARROSO,311
4512,DEPUTADO FEDERAL,RUZIVAN DE JESUS PONTES DA SILVA,24
4522,DEPUTADO FEDERAL,JÃSSICA JHULLY AMANAJÃS DE SOUZA LIMA,669
4545,DEPUTADO FEDERAL,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,11981
4555,DEPUTADO FEDERAL,FLAVIA NATALIA DE LIMA,732
4569,DEPUTADO FEDERAL,NILTON LUIZ CABRAL TORK,2526
4577,DEPUTADO FEDERAL,LUCIA COSTA DA SILVA,155
4590,DEPUTADO FEDERAL,ANDERSON LIMA CONCEIÃÃO,798
5013,DEPUTADO FEDERAL,ALINNE DO ROSARIO BRITO,447
5050,DEPUTADO FEDERAL,PAULO CESAR LEMOS DE OLIVEIRA,9240
5099,DEPUTADO FEDERAL,MARCIA REGINA SOUZA GOMES,715
5101,DEPUTADO FEDERAL,OTACILIO PEREIRA BARBOSA,332
5111,DEPUTADO FEDERAL,SILVIO ROBERTO LOPES NEGRÃO,144
5112,DEPUTADO FEDERAL,VANUZA MUNIZ AGUIAR,78
5115,DEPUTADO FEDERAL,BENERAN ULISSES DOS SANTOS,212
5118,DEPUTADO FEDERAL,ALZENI NATIVIDADE DA CONCEIÃÃO,176
5122,DEPUTADO FEDERAL,ARIANA OLIVEIRA MORAES,157
5151,DEPUTADO FEDERAL,JOÃO DE JESUS DOS SANTOS DA SILVA,37
5180,DEPUTADO FEDERAL,EZIEL DE LIMA GOMES,150
5199,DEPUTADO FEDERAL,PAULO SERGIO GAHMA DOS SANTOS,124
5500,DEPUTADO FEDERAL,ANA PAULA DA COSTA RIBEIRO CARVALHO,679
5513,DEPUTADO FEDERAL,AMANDA CAVALCANTE JARDIM,59
5518,DEPUTADO FEDERAL,EDUARDO MONTEIRO DE JESUS,869
5522,DEPUTADO FEDERAL,JEOVANA DA CONCEIÃÃO PEREIRA,753
5555,DEPUTADO FEDERAL,RAIMUNDO PEREIRA GÃES DA SILVA NETTO,176
5566,DEPUTADO FEDERAL,PAULO LEITE DE MENDONÃA,680
5569,DEPUTADO FEDERAL,BERENICE LAZAMÃ DOS SANTOS,191
5577,DEPUTADO FEDERAL,ALDO MAURICIO NASCIMENTO DOS SANTOS,1984
5588,DEPUTADO FEDERAL,GENIVALDO MARVULLI,145
6545,DEPUTADO FEDERAL,ELIAS REAL DA SILVA,5036
6565,DEPUTADO FEDERAL,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,13245
7007,DEPUTADO FEDERAL,ROZELY MARGARETH GONÃALVES MARTINS,329
7022,DEPUTADO FEDERAL,UBIRANILDO DA SILVA MACEDO,261
7040,DEPUTADO FEDERAL,TARCISO VILHENA DE SOUSA,624
7080,DEPUTADO FEDERAL,MANOEL MARIA REINALDO DA COSTA,70
7090,DEPUTADO FEDERAL,CLAUDIONOR DE JESUS MACIEL,23
