NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
MACAPA,Vereador,10000,SANDRA OHANA,10,REPUBLICANOS,692
MACAPA,Vereador,10001,FERNANDA MARROQUE,10,REPUBLICANOS,155
MACAPA,Vereador,10010,CAPITÃO GABRIEL MAZZALI,10,REPUBLICANOS,103
MACAPA,Vereador,10111,RUZIVAN,10,REPUBLICANOS,2643
MACAPA,Vereador,10118,ADAMILTON MORAES,10,REPUBLICANOS,63
MACAPA,Vereador,10123,ALINE MEDEIROS,10,REPUBLICANOS,1671
MACAPA,Vereador,10124,JONISSON GELIMPO,10,REPUBLICANOS,113
MACAPA,Vereador,10156,ROMARIO GPE,10,REPUBLICANOS,177
MACAPA,Vereador,10234,JOSI,10,REPUBLICANOS,85
MACAPA,Vereador,10300,PASTOR PAULO HENRIQUE,10,REPUBLICANOS,77
MACAPA,Vereador,10333,CRISTINA CARVALHO,10,REPUBLICANOS,150
MACAPA,Vereador,10500,ALTAIR FREITAS,10,REPUBLICANOS,2257
MACAPA,Vereador,10580,PEQUILO,10,REPUBLICANOS,447
MACAPA,Vereador,10877,O OBREIRO DE FÃ,10,REPUBLICANOS,7
MACAPA,Vereador,10910,KAROL MARQUES,10,REPUBLICANOS,239
MACAPA,Vereador,11000,ADRIANNA RAMOS,11,PP,1987
MACAPA,Vereador,11011,JANE SELMA,11,PP,309
MACAPA,Vereador,11111,ZECA ABDON,11,PP,1722
MACAPA,Vereador,11123,DR PATRICK,11,PP,2055
MACAPA,Vereador,11153,TADEU MENDES,11,PP,700
MACAPA,Vereador,11222,RAFAEL CROCODILO,11,PP,33
MACAPA,Vereador,11300,PROF MARIVALDO LOBATO,11,PP,30
MACAPA,Vereador,11311,DRA KENNIA PINHEIRO,11,PP,86
MACAPA,Vereador,11333,ROGERIO LIMA,11,PP,499
MACAPA,Vereador,11369,NATACHA DO POVO,11,PP,26
MACAPA,Vereador,11477,IRMA REGINA,11,PP,45
MACAPA,Vereador,11538,MEC ADAO,11,PP,36
MACAPA,Vereador,11555,DALTON,11,PP,33
MACAPA,Vereador,11700,JOSELYO E MAIS SAUDE,11,PP,2668
MACAPA,Vereador,11777,FELIK OLIVEIRA,11,PP,183
MACAPA,Vereador,11789,SANDRA BRILHANTE,11,PP,1851
MACAPA,Vereador,11800,MARINHO,11,PP,219
MACAPA,Vereador,12000,FRANK WARLEN,12,PDT,297
MACAPA,Vereador,12007,JUAN MENDES,12,PDT,988
MACAPA,Vereador,12010,SAMUEL,12,PDT,3088
MACAPA,Vereador,12012,PAULA CARVALHO,12,PDT,56
MACAPA,Vereador,12111,WENDERSON LEITE,12,PDT,1607
MACAPA,Vereador,12112,WELLINGTON FREITAS,12,PDT,64
MACAPA,Vereador,12123,JOÃNDALA,12,PDT,321
MACAPA,Vereador,12147,MARGLEIDE ALFAIA,12,PDT,3205
MACAPA,Vereador,12190,MPJ VALDIR,12,PDT,353
MACAPA,Vereador,12222,GABRIEL ANDRADE,12,PDT,3196
MACAPA,Vereador,12223,ALEXANDRE VERÃOSA,12,PDT,2064
MACAPA,Vereador,12225,MENIZE SOUZA,12,PDT,52
MACAPA,Vereador,12300,PASTORA LÃIA PELAES,12,PDT,4419
MACAPA,Vereador,12321,SOCORRO LEITE,12,PDT,228
MACAPA,Vereador,12333,JEOVANE JÃIA,12,PDT,791
MACAPA,Vereador,12345,KERENLIN VIANA,12,PDT,633
MACAPA,Vereador,12380,NALDO BEZERRA,12,PDT,322
MACAPA,Vereador,12456,ALESSANDRO,12,PDT,3446
MACAPA,Vereador,12555,PROFESSORA SARA,12,PDT,92
MACAPA,Vereador,12580,DUDU TAVARES,12,PDT,1915
MACAPA,Vereador,12777,DELEGADA SANDRA DANTAS,12,PDT,279
MACAPA,Vereador,12789,JIM DAVIS ROCHA DE ALMEIDA,12,PDT,142
MACAPA,Vereador,12900,FELIPE MONTEIRO,12,PDT,327
MACAPA,Vereador,13113,CLAUDIOMAR ROSA ,13,PT,2657
MACAPA,Vereador,13123,ZÃ LUIZ,13,PT,2593
MACAPA,Vereador,13131,PROFESSORA ANA CRISTINA,13,PT,367
MACAPA,Vereador,13133,DADÃ,13,PT,105
MACAPA,Vereador,13198,MARCO NUNES,13,PT,414
MACAPA,Vereador,13200,FRANCE VIDAL,13,PT,13
MACAPA,Vereador,13222,LORENA QUINTAS,13,PT,1246
MACAPA,Vereador,13323,PROF. DALVA MENEZES,13,PT,18
MACAPA,Vereador,13777,PETRÃ,13,PT,30
MACAPA,Vereador,15000,PATRICK MONTE,15,MDB,3370
MACAPA,Vereador,15007,JO PEREIRA,15,MDB,462
MACAPA,Vereador,15015,COSTA FILHO OLHO VIVO,15,MDB,384
MACAPA,Vereador,15111,JAQUE BASTOS,15,MDB,296
MACAPA,Vereador,15115,MAGNO COSTA,15,MDB,450
MACAPA,Vereador,15122,GABY SANTA ROSA,15,MDB,157
MACAPA,Vereador,15123,DIEGO DUARTE,15,MDB,1198
MACAPA,Vereador,15128,NETE CARDOSO MOVIMENTO POPULAR,15,MDB,331
MACAPA,Vereador,15147,JEAN PATRICK,15,MDB,1965
MACAPA,Vereador,15151,ARANHA,15,MDB,1483
MACAPA,Vereador,15222,JOEVA REIS,15,MDB,283
MACAPA,Vereador,15321,CESAR FARIAS,15,MDB,154
MACAPA,Vereador,15333,ALUIZO D CARVALHO,15,MDB,517
MACAPA,Vereador,15369,DUDU BARBOSA,15,MDB,2869
MACAPA,Vereador,15444,DEL MARABAIXO,15,MDB,121
MACAPA,Vereador,15456,PROF MARINILZA MAGAVE,15,MDB,150
MACAPA,Vereador,15555,BRUNO IGREJA,15,MDB,3579
MACAPA,Vereador,15567,DR HUGO SILVA,15,MDB,483
MACAPA,Vereador,15615,ANAB,15,MDB,1317
MACAPA,Vereador,15699,LUANY FAVACHO,15,MDB,3643
MACAPA,Vereador,15777,PAULO CAMPELO,15,MDB,525
MACAPA,Vereador,15789,JACKSON AMARAL,15,MDB,501
MACAPA,Vereador,15999,TRACK,15,MDB,150
MACAPA,Vereador,18000,CRISTIANO FURLAN,18,REDE,3881
MACAPA,Vereador,18017,HILDO,18,REDE,24
MACAPA,Vereador,18018,HARI VIEGAS,18,REDE,274
MACAPA,Vereador,18020,DANIELE FRAZÃO,18,REDE,32
MACAPA,Vereador,18050,ISA SAMPAIO,18,REDE,42
MACAPA,Vereador,18100,FLEUR DUARTE,18,REDE,378
MACAPA,Vereador,18111,MARA MENESCAL,18,REDE,333
MACAPA,Vereador,18123,MARAINA MARTINS,18,REDE,3939
MACAPA,Vereador,18133,PROFESSOR FRANCISCO,18,REDE,7
MACAPA,Vereador,18169,CRIS NUNES,18,REDE,130
MACAPA,Vereador,18180,YASMYN BENTES,18,REDE,295
MACAPA,Vereador,18300,PROFESSOR  BIRA,18,REDE,1489
MACAPA,Vereador,18369,HELDER CARNEIRO,18,REDE,844
MACAPA,Vereador,18700,ANDRÃ LIMA,18,REDE,2649
MACAPA,Vereador,18888,RAMONN LEITE,18,REDE,275
MACAPA,Vereador,18999,DR ALBERTO NEGRÃO,18,REDE,1803
MACAPA,Vereador,20000,SANDRA LACERDA,20,PODE,2469
MACAPA,Vereador,20007,CARLOS EVANGELISTA,20,PODE,1190
MACAPA,Vereador,20015,CIRLENE FERNANDES,20,PODE,680
MACAPA,Vereador,20111,ERISON REAL,20,PODE,1141
MACAPA,Vereador,20115,REINALDO DA FEFAM,20,PODE,662
MACAPA,Vereador,20120,MISSIONARIO ANDERSON,20,PODE,497
MACAPA,Vereador,20123,ALEXANDRE AZEVEDO,20,PODE,4857
MACAPA,Vereador,20124,CELEOMAR MULHER  DA VACINA,20,PODE,205
MACAPA,Vereador,20147,CARLOS ANDRE,20,PODE,270
MACAPA,Vereador,20151,ELENICE,20,PODE,4007
MACAPA,Vereador,20190,TEN SARAIVA,20,PODE,76
MACAPA,Vereador,20200,PROFESSOR RODRIGO,20,PODE,1594
MACAPA,Vereador,20222,PRA  MARIA DE JESUS,20,PODE,258
MACAPA,Vereador,20444,EDU FELIX,20,PODE,612
MACAPA,Vereador,20456,SEU MARCUS,20,PODE,81
MACAPA,Vereador,20500,PROFESSOR  JOEL,20,PODE,1558
MACAPA,Vereador,20555,FLAVIA VIRA LATAS,20,PODE,549
MACAPA,Vereador,20580,JOELMA,20,PODE,636
MACAPA,Vereador,20600,MARIA CAROLINA,20,PODE,189
MACAPA,Vereador,20777,CARLOS MURILO,20,PODE,3570
MACAPA,Vereador,20800,CAETANO BENTES,20,PODE,4368
MACAPA,Vereador,20888,JUCELINO FERNANDES,20,PODE,382
MACAPA,Vereador,20999,DR SATH,20,PODE,419
MACAPA,Vereador,22000,EDU SIQUEIRA,22,PL,1386
MACAPA,Vereador,22009,JULIO FARIAS,22,PL,411
MACAPA,Vereador,22022,IZETE COLLARES,22,PL,159
MACAPA,Vereador,22024,ADRIANA GARCIA,22,PL,369
MACAPA,Vereador,22100,OBREIRA LENE LOBO,22,PL,167
MACAPA,Vereador,22111,SUB TENENTE FORTUNATO,22,PL,34
MACAPA,Vereador,22122,JESSE ALMEIDA OLIVEIRA,22,PL,508
MACAPA,Vereador,22123,ERICA SANTOS,22,PL,77
MACAPA,Vereador,22222,KARLYSON REBOLÃA,22,PL,1315
MACAPA,Vereador,22227,MARILIA COSTA,22,PL,37
MACAPA,Vereador,22777,ROSIVALDO FREITAS,22,PL,145
MACAPA,Vereador,22888,ANA CAROLINA,22,PL,62
MACAPA,Vereador,22999,CONSELHEIRO BOSCO,22,PL,179
MACAPA,Vereador,25000,GIAN DO NAE,25,PRD,3198
MACAPA,Vereador,25025,JANAYNA,25,PRD,3354
MACAPA,Vereador,25100,JOÃO DE DEUS,25,PRD,400
MACAPA,Vereador,25123,MARCELO DIAS,25,PRD,4534
MACAPA,Vereador,25124,PROFESSORA ANTONIA,25,PRD,63
MACAPA,Vereador,25125,THIAGUINHO SALAZAR,25,PRD,108
MACAPA,Vereador,25130,MAJOR GILSON,25,PRD,78
MACAPA,Vereador,25151,PROFESSORA AMANDA GUEDES,25,PRD,248
MACAPA,Vereador,25190,CABO ELTON MARCOS,25,PRD,113
MACAPA,Vereador,25321,RAQUEL AMARAL,25,PRD,149
MACAPA,Vereador,25333,DR MARCELO AMÃRICO,25,PRD,241
MACAPA,Vereador,25369,EDINOELSON CARECA,25,PRD,3066
MACAPA,Vereador,25426,CONSELHEIRA HUELMA MEDEIROS,25,PRD,1497
MACAPA,Vereador,25555,PACHEQUINHO,25,PRD,134
MACAPA,Vereador,25655,NATANAEL DOS ANJOS,25,PRD,453
MACAPA,Vereador,25777,DRA KARLENE,25,PRD,716
MACAPA,Vereador,25789,MAESTRO ELIAS DOS SANTOS,25,PRD,312
MACAPA,Vereador,25800,JOÃO MENDONÃA,25,PRD,4035
MACAPA,Vereador,25888,RACSO DIAS,25,PRD,399
MACAPA,Vereador,29000,LUCIANE LIMA,29,PCO,7
MACAPA,Vereador,29999,RODRIGO SOUSA,29,PCO,6
MACAPA,Vereador,30000,DARKY,30,NOVO,734
MACAPA,Vereador,30123,IZOLDA BARBOSA,30,NOVO,36
MACAPA,Vereador,30222,CAMACHO,30,NOVO,14
MACAPA,Vereador,40104,JODOVAL,40,PSB,78
