NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,2432
11,DEPUTADO FEDERAL,PROGRESSISTAS,9188
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,42814
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,65530
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,1518
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,5239
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,444
18,DEPUTADO FEDERAL,Rede Sustentabilidade,381
19,DEPUTADO FEDERAL,Podemos,530
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,424
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,2073
22,DEPUTADO FEDERAL,Partido Liberal,16412
23,DEPUTADO FEDERAL,Cidadania,3986
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,687
30,DEPUTADO FEDERAL,Partido Novo,834
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,3876
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,307
36,DEPUTADO FEDERAL,AGIR,644
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,1637
43,DEPUTADO FEDERAL,Partido Verde,1403
44,DEPUTADO FEDERAL,UNIÃO BRASIL,10205
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,2181
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,3244
51,DEPUTADO FEDERAL,Patriota,356
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,6803
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,2984
70,DEPUTADO FEDERAL,AVANTE,3446
80,DEPUTADO FEDERAL,Unidade Popular,187
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,337
95,DEPUTADO FEDERAL,VOTO BRANCO,295582
96,DEPUTADO FEDERAL,VOTO NULO,202288
1000,DEPUTADO FEDERAL,VANESSA FALCÃO DE SOUZA CASTELO LIMA,29390
1002,DEPUTADO FEDERAL,FRANCISCA FATIMA DE OLIVEIRA MOTA SILVA,708
1010,DEPUTADO FEDERAL,RONALDO MANCHADO MARTINS,104502
1011,DEPUTADO FEDERAL,ROSA STEFANIA MARINHO GOMES RODRIGUES,888
1012,DEPUTADO FEDERAL,FELIPE MONTEIRO ANDRADE ARAÃJO,2357
1013,DEPUTADO FEDERAL,CRISTIANE COLARES MUNIZ,504
1016,DEPUTADO FEDERAL,FRANCISCO RODRIGO DE MATOS DE SOUZA,6028
1020,DEPUTADO FEDERAL,ERLAN MARTINS DOS SANTOS,17177
1023,DEPUTADO FEDERAL,ABRAÃO GOMES DA SILVA,3974
1030,DEPUTADO FEDERAL,VERISSIMO DOS SANTOS FREITAS,1892
1033,DEPUTADO FEDERAL,RODRIGO DOS SANTOS BESERRA,1598
1044,DEPUTADO FEDERAL,GABRIELLA PAIVA DOS SANTOS,1082
1055,DEPUTADO FEDERAL,EMANUELLE SANTOS CARNEIRO SILVA,2401
1090,DEPUTADO FEDERAL,FRANCISCO WAGNER LOBO PEREIRA,3012
1093,DEPUTADO FEDERAL,NAPOLEÃO DE VASCONCELOS MONTE,828
1099,DEPUTADO FEDERAL,RAMSÃS SERRA,598
1100,DEPUTADO FEDERAL,RAFAEL AURELIANO GONÃALVES BRANCO,13716
1111,DEPUTADO FEDERAL,ANTONIO JOSÃ AGUIAR ALBUQUERQUE,155456
1112,DEPUTADO FEDERAL,RAIMUNDO GOMES FARIAS,4414
1113,DEPUTADO FEDERAL,ELINETE TORRES DA SILVA,847
1118,DEPUTADO FEDERAL,FRANCISCA ANTONIA DE SOUSA SILVA,1138
1122,DEPUTADO FEDERAL,PEDRO SÃRGIO TEIXEIRA DANTAS,5599
1123,DEPUTADO FEDERAL,JOSÃ TARSO MAGNO TEIXEIRA DA SILVA,17153
1133,DEPUTADO FEDERAL,XISTO SOARES DE OLIVEIRA,3032
1139,DEPUTADO FEDERAL,TERESA CRISTINA ALCANTARA PINHO,68
1145,DEPUTADO FEDERAL,STEPHAN GOMES DE CARVALHO,1084
1155,DEPUTADO FEDERAL,THIAGO ARAGÃO ESMERALDO,6984
1171,DEPUTADO FEDERAL,JOSE LISBOA DA SILVA,567
1177,DEPUTADO FEDERAL,CARLOS ALBERTO ALVES ROCHA,491
1188,DEPUTADO FEDERAL,LUHANNA URYA MACIEL BEZERRA,4267
1190,DEPUTADO FEDERAL,FRANCISCO ANTONIO DO CARMO,789
1199,DEPUTADO FEDERAL,ELIENE COUTO CAMPELO,670
1201,DEPUTADO FEDERAL,JULIO BRIZZI NETO,17320
1212,DEPUTADO FEDERAL,JOSÃ LEÃNIDAS DE MENEZES CRISTINO,74866
1213,DEPUTADO FEDERAL,ANTONIO IDILVAN DE LIMA ALENCAR,187433
1214,DEPUTADO FEDERAL,EDUARDO HENRIQUE MAIA BISMARCK,102287
1215,DEPUTADO FEDERAL,FLÃVIO ROBERTO FERREIRA VAZ,610
1221,DEPUTADO FEDERAL,CARLOS MAURO BENEVIDES FILHO,135038
1222,DEPUTADO FEDERAL,MARIA DO ROSÃRIO RAMALHO GARCIA,4964
1232,DEPUTADO FEDERAL,NATÃLIA SOARES RIOS,3251
1233,DEPUTADO FEDERAL,MARCOS ROBÃRIO RIBEIRO MONTEIRO,151030
1234,DEPUTADO FEDERAL,ANDRÃ PEIXOTO FIGUEIREDO LIMA,111886
1245,DEPUTADO FEDERAL,ADRIELLY DE PAULA TEIXEIRA,3604
1251,DEPUTADO FEDERAL,JOSÃ ARNON CRUZ BEZERRA DE MENEZES,37057
1252,DEPUTADO FEDERAL,KARINA CORDEIRO DE SOUZA RODRIGUES,1513
1255,DEPUTADO FEDERAL,MARIA CRERINEUMA DE OLIVEIRA SILVA,2443
1269,DEPUTADO FEDERAL,ELAYNE SILVA CARVALHO,1599
1277,DEPUTADO FEDERAL,ADAIL FERNANDES VIEIRA JUNIOR,26456
1285,DEPUTADO FEDERAL,IANNA FERNANDES DE ALMEIDA BRANDÃO,3494
1292,DEPUTADO FEDERAL,ANA PAULA BRANDÃO DA SILVA FARIAS,49411
1299,DEPUTADO FEDERAL,FRANCISCO NILSON ALVES DINIZ,18331
1300,DEPUTADO FEDERAL,HILTON JOSE DE SOUSA,1405
1303,DEPUTADO FEDERAL,EDNA FRANCISCA DO NASCIMENTO,500
1311,DEPUTADO FEDERAL,MARIA DE LOURDES PAZ FELIX,5358
1313,DEPUTADO FEDERAL,LUIZIANNE DE OLIVEIRA LINS,182232
1314,DEPUTADO FEDERAL,MARIA DAS GRAÃAS COSTA,5264
1319,DEPUTADO FEDERAL,REJANE PINHEIRO JARDELINO,562
1321,DEPUTADO FEDERAL,CHRISTIANNE MARIE AGUIAR COELHO,21325
1322,DEPUTADO FEDERAL,JOSE NOBRE GUIMARAES,186136
1323,DEPUTADO FEDERAL,FRANCISCO ANTONIO FERREIRA LOPES,3835
1326,DEPUTADO FEDERAL,CELSO FARIAS FERREIRA,1760
1331,DEPUTADO FEDERAL,LEDA VASCONCELOS CARVALHO,3359
1333,DEPUTADO FEDERAL,JOSE AIRTON FELIX CIRILO DA SILVA,82274
1353,DEPUTADO FEDERAL,PAULO EMILIO CORDEIRO CAMPOS,1040
1369,DEPUTADO FEDERAL,COSME DO VALE AQUINO,1638
1399,DEPUTADO FEDERAL,MAX SWELL VERAS RIBEIRO,239
1400,DEPUTADO FEDERAL,JOSÃ GERALDO DE QUEIROS,164
1407,DEPUTADO FEDERAL,EVANDRO FURTADO DE LIMA,300
1412,DEPUTADO FEDERAL,MAURO LÃCIO SIMÃES COSTA,163
1414,DEPUTADO FEDERAL,BRUNO HOLANDA DOS SANTOS,343
1415,DEPUTADO FEDERAL,EDUARDO DA SILVA DOS SANTOS,131
1421,DEPUTADO FEDERAL,ENAIDE PAULINO DE SOUZA,81
1422,DEPUTADO FEDERAL,BENJAMIM BEZERRA DE MENEZES NETO,679
1425,DEPUTADO FEDERAL,JOSÃ AIRTON MACEDO DE SOUSA,206
1429,DEPUTADO FEDERAL,FRANCISCO REGINALDO MOREIRA GOMES,21
1433,DEPUTADO FEDERAL,EDINA NOGUEIRA DE CASTRO ROCHA,226
1439,DEPUTADO FEDERAL,DEAN DIAS DE ALMEIDA,39
1441,DEPUTADO FEDERAL,SUENY RABELO DANTAS,108
1444,DEPUTADO FEDERAL,JORDANIA MARIA ALVES DE OLIVEIRA,466
1445,DEPUTADO FEDERAL,DANIELE LINO MAGALHÃES,80
1447,DEPUTADO FEDERAL,ANTONIO ILTON DE SOUSA CASTRO,240
1450,DEPUTADO FEDERAL,RITA DE CÃSSIA FERREIRA,514
1455,DEPUTADO FEDERAL,ORIEL MOTA FILHO,471
1456,DEPUTADO FEDERAL,MARIGESIO MOURA DA SILVA,154
1470,DEPUTADO FEDERAL,RAYANA MARIA MILEM GUERRA,909
1477,DEPUTADO FEDERAL,ANTONIO CARLOS ALENCAR REBOUÃAS,878
1478,DEPUTADO FEDERAL,MARIA CELIA FERREIRA LOPES DUARTE,111
1499,DEPUTADO FEDERAL,LUZILANE DE SOUZA SILVA,506
1500,DEPUTADO FEDERAL,ÃRICO JOVINO SALES,4258
1502,DEPUTADO FEDERAL,SAMUEL CORREIA DA SILVA,140
1511,DEPUTADO FEDERAL,FRANCY AMANDA SOARES CORREIA,2218
1512,DEPUTADO FEDERAL,MARIA HENRIQUE DA SILVA SOUSA,1794
1513,DEPUTADO FEDERAL,FRANCISCO CÃSAR NOGUEIRA DA SILVA,506
1515,DEPUTADO FEDERAL,JOSÃ MOACENY FÃLIX RODRIGUES FILHO,4709
1516,DEPUTADO FEDERAL,ABRAÃO LUCAS CORDEIRO DOS SANTOS,414
1520,DEPUTADO FEDERAL,FRANCISCO FABIANO CLAUDIANO DE OLIVEIRA,3613
1522,DEPUTADO FEDERAL,RONDINELLE PEREIRA DE FREITAS,38820
1525,DEPUTADO FEDERAL,MARCIO BATISTA BARBOSA,1262
1531,DEPUTADO FEDERAL,JOSÃ ERONILDO NARCISO DA SILVA,1183
1533,DEPUTADO FEDERAL,EUNÃCIO LOPES DE OLIVEIRA,188289
1544,DEPUTADO FEDERAL,ESMERALDA ROBERTO DE SOUSA LIMA,238
1551,DEPUTADO FEDERAL,BEATRIZ FELIPE BRAGA,333
1556,DEPUTADO FEDERAL,LUIZ CLAUDIO ALVES BRITO,251
1566,DEPUTADO FEDERAL,EWERTON LACERDA SANTANA,246
1567,DEPUTADO FEDERAL,MARIA LINDETE DA SILVA BARROSO,493
1569,DEPUTADO FEDERAL,POLLYANNA KELLY RIBEIRO DE LIMA,331
1577,DEPUTADO FEDERAL,IVAN GONÃALVES LEITE,554
1580,DEPUTADO FEDERAL,CICERO ANTÃNIO PINHEIRO DOS SANTOS,788
1588,DEPUTADO FEDERAL,REGINA MAURA VILLELA BARBOZA,2423
1599,DEPUTADO FEDERAL,MICHAEL GANDHI MONTEIRO DOS SANTOS,1443
1600,DEPUTADO FEDERAL,EDWEYNE MARTINS,652
1818,DEPUTADO FEDERAL,ANTONIA GUEDES CABRAL AGUIAR ROCHA,1863
1855,DEPUTADO FEDERAL,ANTONIO CLEDMILSON VIEIRA PINHEIRO,1479
1888,DEPUTADO FEDERAL,CICERO JOHNNY ALVES MOTA,594
1896,DEPUTADO FEDERAL,ADRIANA ALBUQUERQUE DOS SANTOS,236
1900,DEPUTADO FEDERAL,SEBASTIÃO GLEIDISTON DE SOUSA PAIVA,39
1901,DEPUTADO FEDERAL,RAIMUNDO MAGALHÃES FARIAS,313
1907,DEPUTADO FEDERAL,EMMANUEL DE SOUSA AGUIAR,310
1918,DEPUTADO FEDERAL,ADRIANO PEREIRA DA ROCHA,77
1919,DEPUTADO FEDERAL,GILBERTO LINARD ROCHA JÃNIOR,932
1920,DEPUTADO FEDERAL,JOSÃ IZAIAS NEPOMUCENO DE CARVALHO,259
1922,DEPUTADO FEDERAL,RAPHAEL STHEFESON COSTA FONTENELE,393
1923,DEPUTADO FEDERAL,JOÃO LUIZ FELIPE PINHEIRO,389
1924,DEPUTADO FEDERAL,JOICIANA SOUSA MATOS CANUTO,258
1926,DEPUTADO FEDERAL,JOSE DANIEL FERREIRA FONTENELE,219
1933,DEPUTADO FEDERAL,DIANA HELENA SOARES ROCHA MARINHO SARAIVA,192
1944,DEPUTADO FEDERAL,ELIAS MARTINS GOMES,429
1955,DEPUTADO FEDERAL,INÃS DE MELO BRITO,146
1959,DEPUTADO FEDERAL,MARIA ZULEIDE RODRIGUES BRANDÃO,151
1973,DEPUTADO FEDERAL,FRANCISCO WILSON PEREIRA FILHO,380
1974,DEPUTADO FEDERAL,ROSÃLIA FREITAS MARTINS,281
1977,DEPUTADO FEDERAL,ELISABETH BARBOSA MOREIRA,293
1999,DEPUTADO FEDERAL,ANTÃNIO RODRIGUES DA COSTA NETO,110
2000,DEPUTADO FEDERAL,JOSE JERIVAN BRAGA BARROSO,1267
2010,DEPUTADO FEDERAL,JESSICA CARVALHO FREITAS,362
2011,DEPUTADO FEDERAL,OTAVIO LEITE LUSTOSA FILHO,295
2012,DEPUTADO FEDERAL,ISRAEL FROTA DE OLIVEIRA,1797
2015,DEPUTADO FEDERAL,FRANCISCO JOSE DE CARVALHO FERREIRA,315
2020,DEPUTADO FEDERAL,MARIA JULIANA DE LIMA COUTINHO,454
2022,DEPUTADO FEDERAL,CINTHIA BELINO OLIVEIRA DA COSTA,2404
2023,DEPUTADO FEDERAL,ELIANE FRANÃA FERREIRA,315
2026,DEPUTADO FEDERAL,GLENDA MARIA ALVES GARCES SOUSA,388
2033,DEPUTADO FEDERAL,ANDRÃ LUIZ BARBOSA AZEVEDO,1621
2040,DEPUTADO FEDERAL,FRANCISCO GUEDES DA SILVA JÃNIOR,69
2044,DEPUTADO FEDERAL,JOSE GENIVAL DE SOUSA SILVA,19
2055,DEPUTADO FEDERAL,MARIA DO SOCORRO SANTOS DA SILVA,105
2069,DEPUTADO FEDERAL,REGINA DUARTE DA SILVA,1091
2070,DEPUTADO FEDERAL,MARIA OGERLANIA FREITAS RAULINO,12
2077,DEPUTADO FEDERAL,FRANCISCO SERGIO PIRES MONTENEGRO,346
2080,DEPUTADO FEDERAL,MARIA SANDRA DE FREITAS,96
2088,DEPUTADO FEDERAL,MARIA ELIONEIDE RABELO,449
2090,DEPUTADO FEDERAL,INGRID NAYARA DO NASCIMENTO FERNANDES,90
2100,DEPUTADO FEDERAL,MARIA EDIVANIA VIEIRA DA SILVA,988
2123,DEPUTADO FEDERAL,FRANCISCO ROBERTO DOS SANTOS,2591
2200,DEPUTADO FEDERAL,MAYRA ISABEL CORREIA PINHEIRO,71214
2201,DEPUTADO FEDERAL,FRANCISCO DE ASSIS CAVALCANTE NOGUEIRA,24379
2207,DEPUTADO FEDERAL,MARIA ELIANE DO NASCIMENTO CRUZ,257
2208,DEPUTADO FEDERAL,VILMAR DUARTE LEITE,178
2210,DEPUTADO FEDERAL,ANTONIO AGINALDO DE OLIVEIRA,23292
2211,DEPUTADO FEDERAL,YURY BRUNO ALENCAR ARAÃJO,90425
2220,DEPUTADO FEDERAL,FRANCISCO DERIVALDO GONÃALVES LIMA,1220
2222,DEPUTADO FEDERAL,ANDRÃ FERNANDES DE MOURA,229509
2225,DEPUTADO FEDERAL,FRANCISCO DAS CHAGAS RODRIGUES ALVES,1146
2227,DEPUTADO FEDERAL,VERONICA DO AMARAL MADEIRO BATISTA,1020
2233,DEPUTADO FEDERAL,MARIA GORETE PEREIRA,36507
2244,DEPUTADO FEDERAL,TADEU MAGELA DE OLIVEIRA,41093
2255,DEPUTADO FEDERAL,ANTONIO LUIZ RODRIGUES MANO JUNIOR,216531
2256,DEPUTADO FEDERAL,ANTONIO BATISTA MARQUES,810
2266,DEPUTADO FEDERAL,CELSO DOS SANTOS,783
2277,DEPUTADO FEDERAL,JAZIEL PEREIRA DE SOUSA,79358
2288,DEPUTADO FEDERAL,PRISCILA BEZERRA DA COSTA,74773
2299,DEPUTADO FEDERAL,MATHEUS SOARES NORONHA,150823
2300,DEPUTADO FEDERAL,ANDERSON PEROBA GOMES,1495
2313,DEPUTADO FEDERAL,CLÃUDIA CRISTINA DOS SANTOS SANO,436
2323,DEPUTADO FEDERAL,MORONI BING TORGAN,17582
2929,DEPUTADO FEDERAL,LINO ALVES DE ALMEIDA,128
3000,DEPUTADO FEDERAL,SAMUEL LIMA PAULO DO RAMO,4148
3300,DEPUTADO FEDERAL,ALANA MARIA VITORINO ROCHA,1438
3303,DEPUTADO FEDERAL,DANIELE PEREIRA DO NASCIMENTO FORTES CASTELO BRANCO,549
3310,DEPUTADO FEDERAL,MAXWELLMA FRANCO VIEIRA,633
3323,DEPUTADO FEDERAL,EVANDRO DA SILVA PONTES,1728
3333,DEPUTADO FEDERAL,VICENCIA LEANDRO PINHEIRO,1112
3355,DEPUTADO FEDERAL,ALDIZIO ALVES BRITO,191
3378,DEPUTADO FEDERAL,JOÃO PAULO LOPES DOS SANTOS,1202
3380,DEPUTADO FEDERAL,AURELIO JOSÃ JARDIM JERÃNIMO,383
3389,DEPUTADO FEDERAL,JOSÃ SUDERLAN DE CASTRO LIMA,140
