NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,3968
11,DEPUTADO FEDERAL,PROGRESSISTAS,2654
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,3353
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,16837
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,789
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,4313
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,137
18,DEPUTADO FEDERAL,Rede Sustentabilidade,396
19,DEPUTADO FEDERAL,Podemos,634
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,1058
22,DEPUTADO FEDERAL,Partido Liberal,10756
23,DEPUTADO FEDERAL,Cidadania,946
27,DEPUTADO FEDERAL,Democracia CristÃ£,107
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,355
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,73
30,DEPUTADO FEDERAL,Partido Novo,2841
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,752
36,DEPUTADO FEDERAL,AGIR,1713
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,1539
43,DEPUTADO FEDERAL,Partido Verde,1229
44,DEPUTADO FEDERAL,UNIÃO BRASIL,1931
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,1040
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,1763
51,DEPUTADO FEDERAL,Patriota,755
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,2223
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,197
70,DEPUTADO FEDERAL,AVANTE,830
77,DEPUTADO FEDERAL,Solidariedade,261
80,DEPUTADO FEDERAL,Unidade Popular,87
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,487
95,DEPUTADO FEDERAL,VOTO BRANCO,114654
96,DEPUTADO FEDERAL,VOTO NULO,56923
1000,DEPUTADO FEDERAL,PAULO FERNANDO MELO DA COSTA,15992
1010,DEPUTADO FEDERAL,JULIO CESAR RIBEIRO,76274
1011,DEPUTADO FEDERAL,SILMARA BEZERRA MIRANDA,2720
1015,DEPUTADO FEDERAL,GILVAM MAXIMO,20923
1020,DEPUTADO FEDERAL,DAVYS FREDERICO TEIXEIRA LINHARES,165358
1022,DEPUTADO FEDERAL,ELISANGELA MACHADO DOS SANTOS DE FREITAS,2422
1033,DEPUTADO FEDERAL,SERGIO FERNANDO PEDROSO ABOUD,3492
1077,DEPUTADO FEDERAL,ADILA MARIA STEMLER,3068
1099,DEPUTADO FEDERAL,FABIANO GUIMARÃES DA ROCHA,7090
1100,DEPUTADO FEDERAL,MARCOS ANTONIO DOMINGOS,1385
1110,DEPUTADO FEDERAL,SAMANTHA RIBEIRO MEYER PFLUG MARQUES,6262
1111,DEPUTADO FEDERAL,RONEY TANIOS NEMER,46151
1122,DEPUTADO FEDERAL,RONALDO FONSECA DE SOUZA,13687
1123,DEPUTADO FEDERAL,CELY LANGAMER MUNIZ,716
1144,DEPUTADO FEDERAL,WILL GODOY RODRIGUES,3068
1155,DEPUTADO FEDERAL,ROGERIO SCHUMANN ROSSO,14210
1161,DEPUTADO FEDERAL,CARINA SALES DOS SANTOS,892
1177,DEPUTADO FEDERAL,JOSE GOMES FERREIRA FILHO,28528
1200,DEPUTADO FEDERAL,MARLENE DE JESUS ABREU,499
1207,DEPUTADO FEDERAL,TÃNIA ALVES COÃLHO,419
1211,DEPUTADO FEDERAL,VANDEILDO LOPES DE GOIS,619
1212,DEPUTADO FEDERAL,VALBERTO FERREIRA PINTO,863
1221,DEPUTADO FEDERAL,CARLOS PENNA BRESCIANINI,822
1222,DEPUTADO FEDERAL,EUCLIDES FERREIRA DE ASSUNÃÃO,470
1223,DEPUTADO FEDERAL,ROBERTA DE CAMARGO,297
1234,DEPUTADO FEDERAL,DENISE MARIA DE FRANCO SOUZA,1408
1277,DEPUTADO FEDERAL,MAX MAURAN PANTOJA DA COSTA,763
1310,DEPUTADO FEDERAL,AGNELO SANTOS QUEIROZ FILHO,5223
1313,DEPUTADO FEDERAL,ROBERTO POLICARPO FAGUNDES,22608
1324,DEPUTADO FEDERAL,VANESSA NEGRINI,10816
1331,DEPUTADO FEDERAL,ERIKA JUCÃ KOKAY,146092
1361,DEPUTADO FEDERAL,ERIVAN HILÃRIO DOS SANTOS,31538
1400,DEPUTADO FEDERAL,DIEGO LUIZ DE SOUSA ARRUDA,447
1414,DEPUTADO FEDERAL,MARCOS ARAUJO DE MIRANDA,223
1422,DEPUTADO FEDERAL,IVONE ARMANDO LUZARDO DE SOUSA,943
1440,DEPUTADO FEDERAL,NOEME DE OLIVEIRA DA SILVA,306
1441,DEPUTADO FEDERAL,IRACEMA MARIA DURÃO MOREIRA,211
1454,DEPUTADO FEDERAL,PAUL KARSTEN GALLEGUILLOS KEMPF DE FARIAS,374
1456,DEPUTADO FEDERAL,ODISSÃIA SÃNIA RODRIGUES E SILVA,79
1477,DEPUTADO FEDERAL,PAULO ROBERTO RIBEIRO DA ROCHA,865
1498,DEPUTADO FEDERAL,JOSE DE PAIVA MACIEL,311
1500,DEPUTADO FEDERAL,AMANDA RAMALHO DE OLIVEIRA,1401
1501,DEPUTADO FEDERAL,MARLI RODRIGUES,7873
1515,DEPUTADO FEDERAL,RAFAEL CAVALCANTI PRUDENTE,121307
1522,DEPUTADO FEDERAL,JANIO FARIAS MARQUES,5102
1525,DEPUTADO FEDERAL,FABIO PEREIRA DE SOUSA,7047
1551,DEPUTADO FEDERAL,ALIRIO DE OLIVEIRA NETO,10079
1555,DEPUTADO FEDERAL,ZÃLIO MAIA DA ROCHA,1028
1567,DEPUTADO FEDERAL,CAROLINA MOURÃO ALBUQUERQUE,1640
1590,DEPUTADO FEDERAL,MARCIO CAVALCANTE DE VASCONCELOS,3363
1600,DEPUTADO FEDERAL,EVERTON SALVADOR DA SILVA,95
1616,DEPUTADO FEDERAL,TÃNIA DE SOUSA LIMA,209
1800,DEPUTADO FEDERAL,ROBERTO CABRAL BORGES,2917
1818,DEPUTADO FEDERAL,ALDEMARIO ARAUJO CASTRO,1160
1881,DEPUTADO FEDERAL,LAURIANNE DE MIRANDA GOMES,1318
1900,DEPUTADO FEDERAL,CRISTIANE MARY OTAVIANO DE ALMEIDA DOS SANTOS,490
1919,DEPUTADO FEDERAL,GERALDO ANTÃNIO DE CASTRO,375
1920,DEPUTADO FEDERAL,PAULO CHAGAS,2572
1921,DEPUTADO FEDERAL,ADALBERTO MONTEIRO,962
1973,DEPUTADO FEDERAL,VALDIVINA PEREIRA DA CONCEIÃÃO ALMEIDA,201
1979,DEPUTADO FEDERAL,PAULO RODRIGUES LIMA,130
1988,DEPUTADO FEDERAL,REGIS SOARES MACHADO,829
1991,DEPUTADO FEDERAL,CAROLINE DIAS RIBEIRO,285
1999,DEPUTADO FEDERAL,MANOEL WAGNER ALVINO ALVES,3038
2000,DEPUTADO FEDERAL,VANDERLEI MACIEL LIMA,773
2002,DEPUTADO FEDERAL,GLAUCE CANDIDA LOPES FRANCO,164
2019,DEPUTADO FEDERAL,LUCIANO ALVES DA COSTA SANTOS,979
2020,DEPUTADO FEDERAL,ALESSANDRA ALMEIDA CHIANELLI DUTRA,589
2022,DEPUTADO FEDERAL,ANA PAULA BATISTA SOLEDADE,1464
2033,DEPUTADO FEDERAL,IVAN JOSÃ DE ALMEIDA JUNIOR,273
2044,DEPUTADO FEDERAL,RAFAEL LIMA FREIRE,731
2077,DEPUTADO FEDERAL,LUCIANO NAZARIO FEITOZA,480
2099,DEPUTADO FEDERAL,PAULO ROBERTO SANTOS DA CUNHA,769
2200,DEPUTADO FEDERAL,JOSÃ ROBERTO ARRUDA,17016
2211,DEPUTADO FEDERAL,VINÃCIUS SANTANA ROSSIGNOLI,1029
2222,DEPUTADO FEDERAL,BEATRIZ KICIS TORRENTS DE SORDI,214733
2223,DEPUTADO FEDERAL,MARIA ANGÃLICA BRITO MACHADO,1977
2225,DEPUTADO FEDERAL,JOÃO ALBERTO FRAGA SILVA,28825
2228,DEPUTADO FEDERAL,MARCO AURELIO COSTA,1458
2233,DEPUTADO FEDERAL,RAFAEL DE SÃ SAMPAIO,11762
2238,DEPUTADO FEDERAL,DAVI LIMA SOUSA,3826
2261,DEPUTADO FEDERAL,ANNEBELLE FERREIRA BORGES,1130
2300,DEPUTADO FEDERAL,MARCILENE LIMA DE SOUZA,251
2311,DEPUTADO FEDERAL,LEANDRO DE LIMA LIRA,382
2322,DEPUTADO FEDERAL,HOSANA DO NASCIMENTO CARDOSO,430
2323,DEPUTADO FEDERAL,FRANCISCO DE SOUSA ANDRADE,916
