NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,6901
11,DEPUTADO FEDERAL,PROGRESSISTAS,4926
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,5140
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,14950
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,2841
18,DEPUTADO FEDERAL,Rede Sustentabilidade,1334
19,DEPUTADO FEDERAL,Podemos,2619
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,2029
22,DEPUTADO FEDERAL,Partido Liberal,13990
23,DEPUTADO FEDERAL,Cidadania,998
27,DEPUTADO FEDERAL,Democracia CristÃ£,513
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,161
30,DEPUTADO FEDERAL,Partido Novo,598
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,308
36,DEPUTADO FEDERAL,AGIR,286
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,6577
43,DEPUTADO FEDERAL,Partido Verde,462
44,DEPUTADO FEDERAL,UNIÃO BRASIL,2573
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,2253
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,1296
51,DEPUTADO FEDERAL,Patriota,1433
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,984
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,484
70,DEPUTADO FEDERAL,AVANTE,169
77,DEPUTADO FEDERAL,Solidariedade,1413
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,534
95,DEPUTADO FEDERAL,VOTO BRANCO,145221
96,DEPUTADO FEDERAL,VOTO NULO,81471
1000,DEPUTADO FEDERAL,BRUNA GOMES DE OLIVEIRA GARIOLI,14213
1001,DEPUTADO FEDERAL,CARLOS WAGNER BORGES,13379
1010,DEPUTADO FEDERAL,AMARO ROCHA NASCIMENTO NETO,52375
1020,DEPUTADO FEDERAL,LEONARDO LESSA ARANTES,12293
1022,DEPUTADO FEDERAL,DEVANIR FERREIRA,24201
1025,DEPUTADO FEDERAL,DIEGO LIBARDI LEAL,18784
1044,DEPUTADO FEDERAL,MANOEL MESSIAS DONATO BEZERRA,42640
1066,DEPUTADO FEDERAL,LIDIA ALVARINO ALMEIDA,156
1070,DEPUTADO FEDERAL,MARCIA VITOR NASCIMENTO,156
1077,DEPUTADO FEDERAL,JORGE SILVA,14520
1090,DEPUTADO FEDERAL,GEOVANA QUINTA COSTALONGA,1299
1100,DEPUTADO FEDERAL,NEUCIMAR FERREIRA FRAGA,39539
1111,DEPUTADO FEDERAL,JOSIAS MARIO DA VITÃRIA,71779
1112,DEPUTADO FEDERAL,GESYANE RODRIGUES VOLPASSO BORGES,1107
1122,DEPUTADO FEDERAL,EVAIR VIEIRA DE MELO,75034
1123,DEPUTADO FEDERAL,MARCIA BORTOLOTI WETLER,3662
1125,DEPUTADO FEDERAL,NORMA AYUB ALVES,37913
