NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
VITORIA,Vereador,10000,LUIZ EMANUEL,10,REPUBLICANOS,3114
VITORIA,Vereador,10001,LUCIANO GAGNO,10,REPUBLICANOS,493
VITORIA,Vereador,10007,JÃVITA,10,REPUBLICANOS,299
VITORIA,Vereador,10100,DAVI ESMAEL,10,REPUBLICANOS,5200
VITORIA,Vereador,10111,PASTOR PAULO,10,REPUBLICANOS,111
VITORIA,Vereador,10123,AILTON DUARTE,10,REPUBLICANOS,1545
VITORIA,Vereador,10156,BRUNNO XAVIER,10,REPUBLICANOS,200
VITORIA,Vereador,10175,FLAVIANNE DE PAULA BATISTA,10,REPUBLICANOS,295
VITORIA,Vereador,10181,JOANA NOGUEIRA,10,REPUBLICANOS,116
VITORIA,Vereador,10190,SARGENTO HARLEY,10,REPUBLICANOS,247
VITORIA,Vereador,10222,PASTOR WELINGTON ASSIS,10,REPUBLICANOS,1000
VITORIA,Vereador,10234,CORONEL FIORIDO,10,REPUBLICANOS,469
VITORIA,Vereador,10300,TUTY LAUREANO,10,REPUBLICANOS,108
VITORIA,Vereador,10444,TANIA DO ROMÃO,10,REPUBLICANOS,85
VITORIA,Vereador,10456,BRENO PANETTO,10,REPUBLICANOS,809
VITORIA,Vereador,10500,AYLTON DADALTO,10,REPUBLICANOS,5218
VITORIA,Vereador,10555,ELIANE ROSSI,10,REPUBLICANOS,32
VITORIA,Vereador,10600,CORONEL ROGÃRIO,10,REPUBLICANOS,67
VITORIA,Vereador,10700,PROFESSORA SARA MARQUES,10,REPUBLICANOS,430
VITORIA,Vereador,10777,SANDRO PARRINI,10,REPUBLICANOS,864
VITORIA,Vereador,10800,ÃNDIO PROFESSOR,10,REPUBLICANOS,492
VITORIA,Vereador,11000,MARA MAROCA,11,PP,2390
VITORIA,Vereador,11010,EVANDRO FIGUEIREDO,11,PP,1860
VITORIA,Vereador,11011,ALEXANDRE RICARDO,11,PP,260
VITORIA,Vereador,11100,ELZINHA COSTA,11,PP,921
VITORIA,Vereador,11111,SARGENTO ROBERTO CAETANO,11,PP,663
VITORIA,Vereador,11123,KATIÃSCIA OLIVEIRA,11,PP,1057
VITORIA,Vereador,11131,GILSINHO PASSARINHO,11,PP,2282
VITORIA,Vereador,11190,XARÃ BARCELOS,11,PP,288
VITORIA,Vereador,11222,TIA RÃBIA,11,PP,1084
VITORIA,Vereador,11223,CARLOS BERTOLINI,11,PP,457
VITORIA,Vereador,11233,FABÃOLA NASCIMENTO,11,PP,337
VITORIA,Vereador,11234,JÃLIO PEIXOTO,11,PP,544
VITORIA,Vereador,11250,NENO NEVES,11,PP,479
VITORIA,Vereador,11444,CLÃBINHO,11,PP,593
VITORIA,Vereador,11456,ANDERSON GOGGI,11,PP,2937
VITORIA,Vereador,11555,DILTON RUAS,11,PP,53
VITORIA,Vereador,11626,ZEZITO MAIO,11,PP,909
VITORIA,Vereador,11711,CHRISTIAN RAFAEL,11,PP,93
VITORIA,Vereador,11779,LETÃCIA REZENDE,11,PP,63
VITORIA,Vereador,11800,LARISSA LORRAN,11,PP,92
VITORIA,Vereador,11888,PELÃZINHO,11,PP,257
VITORIA,Vereador,11999,CAMILLO NEVES,11,PP,2778
VITORIA,Vereador,12000,EDHER MIRANDA,12,PDT,74
VITORIA,Vereador,12014,MARIA JUCÃLIA,12,PDT,51
VITORIA,Vereador,12122,LÃO MARÃ,12,PDT,111
VITORIA,Vereador,12123,ZENILTON DA LAN HOUSE,12,PDT,102
VITORIA,Vereador,12156,WALTINHO,12,PDT,102
VITORIA,Vereador,12180,MARIA HELENA,12,PDT,156
VITORIA,Vereador,12181,PEDRO TÃPIAS,12,PDT,195
VITORIA,Vereador,12190,MARLI DO TRAILER,12,PDT,24
VITORIA,Vereador,12222,MARIA TEREZA,12,PDT,124
VITORIA,Vereador,12300,FREITAS,12,PDT,71
VITORIA,Vereador,12345,PROFESSORA MARINEIA,12,PDT,112
VITORIA,Vereador,12555,VALDEMIR DO KILÃO,12,PDT,77
VITORIA,Vereador,13000,RANIERY FERREIRA,13,PT,2100
VITORIA,Vereador,13013,KARLA  COSER,13,PT,7256
VITORIA,Vereador,13023,CIDA SÃO PEDRO,13,PT,142
VITORIA,Vereador,13033,DETE GOMES,13,PT,39
VITORIA,Vereador,13100,PROFESSOR JOCELINO,13,PT,3251
VITORIA,Vereador,13111,VALDOMIRO RODRIGUES,13,PT,60
VITORIA,Vereador,13113,ROBERTINHO,13,PT,307
VITORIA,Vereador,13131,MEL ROSÃRIO,13,PT,136
VITORIA,Vereador,13133,PROFESSOR AGUINALDO,13,PT,1924
VITORIA,Vereador,13333,GECY SAPATEIRO,13,PT,57
VITORIA,Vereador,13456,ANTONIA ALVES,13,PT,96
VITORIA,Vereador,13600,ALFREDO DO BAR,13,PT,164
VITORIA,Vereador,13680,SILVIO JACARÃ,13,PT,211
VITORIA,Vereador,13789,ANA PAULLA GUZZO,13,PT,242
VITORIA,Vereador,15000,ERNANI,15,MDB,1492
VITORIA,Vereador,15007,DANIEL FRAGA,15,MDB,136
VITORIA,Vereador,15010,DIEGO VITORINO,15,MDB,595
VITORIA,Vereador,15017,MAJOR CÃSSIA,15,MDB,115
VITORIA,Vereador,15022,CAPUCHO,15,MDB,242
VITORIA,Vereador,15111,CLAUDINHA DA PIEDADE,15,MDB,86
VITORIA,Vereador,15112,CAPELLETI,15,MDB,291
VITORIA,Vereador,15122,RONNY SILVA,15,MDB,154
VITORIA,Vereador,15123,GILSON,15,MDB,124
VITORIA,Vereador,15190,SGT CRISTINA,15,MDB,37
VITORIA,Vereador,15222,LUISINHO,15,MDB,1200
VITORIA,Vereador,15333,TATIANA VENTURIM,15,MDB,57
VITORIA,Vereador,15444,JOÃO FLAVIO,15,MDB,1541
VITORIA,Vereador,15456,JORGINHO,15,MDB,856
VITORIA,Vereador,15500,JORGE RODRIGUES,15,MDB,89
VITORIA,Vereador,15555,MATHEUS PEREIRA,15,MDB,249
VITORIA,Vereador,15600,VAL SILVA,15,MDB,155
VITORIA,Vereador,15678,FABIANO NUNES,15,MDB,785
VITORIA,Vereador,15700,REGINA,15,MDB,33
