NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,5065
11,DEPUTADO FEDERAL,PROGRESSISTAS,6393
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,8000
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,23805
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,1382
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,11922
18,DEPUTADO FEDERAL,Rede Sustentabilidade,341
19,DEPUTADO FEDERAL,Podemos,1343
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,3847
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,1002
22,DEPUTADO FEDERAL,Partido Liberal,18096
23,DEPUTADO FEDERAL,Cidadania,1083
27,DEPUTADO FEDERAL,Democracia CristÃ£,623
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,3841
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,248
30,DEPUTADO FEDERAL,Partido Novo,1624
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,858
36,DEPUTADO FEDERAL,AGIR,1890
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,1738
43,DEPUTADO FEDERAL,Partido Verde,330
44,DEPUTADO FEDERAL,UNIÃO BRASIL,14554
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,5793
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,1512
51,DEPUTADO FEDERAL,Patriota,2864
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,3056
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,1859
70,DEPUTADO FEDERAL,AVANTE,1656
77,DEPUTADO FEDERAL,Solidariedade,1909
80,DEPUTADO FEDERAL,Unidade Popular,233
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,342
95,DEPUTADO FEDERAL,VOTO BRANCO,219507
96,DEPUTADO FEDERAL,VOTO NULO,138178
1000,DEPUTADO FEDERAL,NATÃLIA CAMARDELLI CAJAZEIRA PRATES,3136
1001,DEPUTADO FEDERAL,FLAVIANA OLIVEIRA LIMA ESTEVES,1678
1007,DEPUTADO FEDERAL,ALISSON DE ASSIS DIAS,439
1008,DEPUTADO FEDERAL,GIOVANNA DE ALMEIDA LOVAGLIO,3822
1010,DEPUTADO FEDERAL,JEFERSON RODRIGUES LEMOS,56026
1011,DEPUTADO FEDERAL,OSMARILDO ALVES DE SOUSA,45418
1012,DEPUTADO FEDERAL,JURACI PESSOA DE CARVALHO,9164
1015,DEPUTADO FEDERAL,CAROLINA ALVES LUIZ PEREIRA,2459
1020,DEPUTADO FEDERAL,FLAVIANE BALDO SCOPEL BARBOSA,10906
1022,DEPUTADO FEDERAL,RAFAEL MAGALHAES GOUVEIA,51597
1033,DEPUTADO FEDERAL,SABRINA GARCEZ HENRIQUE SILVA,29058
1047,DEPUTADO FEDERAL,JOSE ANTONIO DA SILVA NETTO,12176
1050,DEPUTADO FEDERAL,NOELI BIANCA NASCIMENTO TRONCHA,1129
1051,DEPUTADO FEDERAL,JOVAIR DE OLIVEIRA ARANTES,35028
1068,DEPUTADO FEDERAL,VALDECY CELIA DOS SANTOS ARAUJO,1472
1077,DEPUTADO FEDERAL,RODNEY ROCHA MIRANDA,4869
1100,DEPUTADO FEDERAL,MAYSA PERES CUNHA PEIXOTO,6608
1103,DEPUTADO FEDERAL,RUTH VALERY ALVES FERREIRA,98
1105,DEPUTADO FEDERAL,FABIANNE LEÃO DA SILVEIRA BORGES,21583
