NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
GOIANIA,Vereador,10000,DR FRANKLIN CARVALHO,10,REPUBLICANOS,256
GOIANIA,Vereador,10010,PASTOR DANIEL,10,REPUBLICANOS,130
GOIANIA,Vereador,10022,MACGYVER DA REDENÃÃO,10,REPUBLICANOS,330
GOIANIA,Vereador,10038,VIGILANTE ASSUMAR,10,REPUBLICANOS,333
GOIANIA,Vereador,10051,GERSON LIMONADA,10,REPUBLICANOS,214
GOIANIA,Vereador,10100,DIVINO CONSELHEIRO,10,REPUBLICANOS,791
GOIANIA,Vereador,10101,PASTOR JOSE APARECIDO FEIRANTE,10,REPUBLICANOS,460
GOIANIA,Vereador,10111,PIERRE HAYSHIDA,10,REPUBLICANOS,346
GOIANIA,Vereador,10112,TIA ROSELY,10,REPUBLICANOS,166
GOIANIA,Vereador,10122,ANA CLARA BASILIO,10,REPUBLICANOS,75
GOIANIA,Vereador,10123,ISAÃAS RIBEIRO,10,REPUBLICANOS,7657
GOIANIA,Vereador,10124,MILKA HUME,10,REPUBLICANOS,89
GOIANIA,Vereador,10148,LUCIA ROBERTA  LUCINHA,10,REPUBLICANOS,104
GOIANIA,Vereador,10188,LINDAURA MANDATO COLETIVO,10,REPUBLICANOS,96
GOIANIA,Vereador,10190,HELIO GESTEIRA,10,REPUBLICANOS,117
GOIANIA,Vereador,10200,DIÃ,10,REPUBLICANOS,113
GOIANIA,Vereador,10210,VITÃO DA ACADEMIA,10,REPUBLICANOS,485
GOIANIA,Vereador,10222,TAINAH FRANCO,10,REPUBLICANOS,50
GOIANIA,Vereador,10244,PAULO DO MIL GRAU,10,REPUBLICANOS,120
GOIANIA,Vereador,10300,PATRICIA SANTANA,10,REPUBLICANOS,49
GOIANIA,Vereador,10322,JADISON DA ENFERMAGEM,10,REPUBLICANOS,74
GOIANIA,Vereador,10333,PASTOR LUCAS BRÃS,10,REPUBLICANOS,450
