NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,4499
11,DEPUTADO FEDERAL,PROGRESSISTAS,6196
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,15141
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,18068
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,3934
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,6534
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,1212
18,DEPUTADO FEDERAL,Rede Sustentabilidade,498
19,DEPUTADO FEDERAL,Podemos,3842
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,3479
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,1182
22,DEPUTADO FEDERAL,Partido Liberal,11247
23,DEPUTADO FEDERAL,Cidadania,2178
27,DEPUTADO FEDERAL,Democracia CristÃ£,206
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,665
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,150
30,DEPUTADO FEDERAL,Partido Novo,420
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,358
36,DEPUTADO FEDERAL,AGIR,609
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,17761
43,DEPUTADO FEDERAL,Partido Verde,890
44,DEPUTADO FEDERAL,UNIÃO BRASIL,5163
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,3237
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,764
51,DEPUTADO FEDERAL,Patriota,4178
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,3524
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,7573
70,DEPUTADO FEDERAL,AVANTE,2491
77,DEPUTADO FEDERAL,Solidariedade,360
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,507
95,DEPUTADO FEDERAL,VOTO BRANCO,132888
96,DEPUTADO FEDERAL,VOTO NULO,73442
1000,DEPUTADO FEDERAL,GILLIANO FRED NASCIMENTO CUTRIM,53675
1001,DEPUTADO FEDERAL,JURANDY DE SOUZA BRAGA,1993
1010,DEPUTADO FEDERAL,CLEBER VERDE CORDEIRO MENDES,70275
