NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
SAO LUIS,Vereador,10000,DR GUTEMBERG,10,REPUBLICANOS,5096
SAO LUIS,Vereador,10010,JÃLIO BACELLAR,10,REPUBLICANOS,779
SAO LUIS,Vereador,10020,FERNANDO FARIAS AMIGO DO POVO,10,REPUBLICANOS,222
SAO LUIS,Vereador,10022,RAPOSÃO DA MOTOCA,10,REPUBLICANOS,150
SAO LUIS,Vereador,10055,CARLIVAN BRAGA,10,REPUBLICANOS,506
SAO LUIS,Vereador,10102,EDMILSON VAZ,10,REPUBLICANOS,636
SAO LUIS,Vereador,10111,LIVIOMAR MACATRÃO,10,REPUBLICANOS,1204
SAO LUIS,Vereador,10123,ROSANA DA SAÃDE,10,REPUBLICANOS,7508
SAO LUIS,Vereador,10200,PASTORA IRANILDE,10,REPUBLICANOS,49
SAO LUIS,Vereador,10222,MARI COSTA,10,REPUBLICANOS,720
SAO LUIS,Vereador,10233,CAPAL,10,REPUBLICANOS,233
SAO LUIS,Vereador,10234,LENE DO SALÃO,10,REPUBLICANOS,43
SAO LUIS,Vereador,10300,IZABEL ALVES,10,REPUBLICANOS,51
SAO LUIS,Vereador,10321,CLEISON PALADINO,10,REPUBLICANOS,253
SAO LUIS,Vereador,10333,MARLON GARCIA,10,REPUBLICANOS,1444
SAO LUIS,Vereador,10400,VICTOR VALADARES,10,REPUBLICANOS,269
SAO LUIS,Vereador,10444,VALDERI RIBEIRO,10,REPUBLICANOS,606
SAO LUIS,Vereador,10456,SGT LEONARDO O DIFUSORA,10,REPUBLICANOS,1071
SAO LUIS,Vereador,10500,ARLETE DA UNIÃO,10,REPUBLICANOS,53
SAO LUIS,Vereador,10543,COLETIVO DRA JESUS DO POVO,10,REPUBLICANOS,330
SAO LUIS,Vereador,10555,DODÃ,10,REPUBLICANOS,335
SAO LUIS,Vereador,10567,PROF ELIAS UTTA,10,REPUBLICANOS,154
SAO LUIS,Vereador,10678,ALUÃSIO JÃNIOR,10,REPUBLICANOS,45
SAO LUIS,Vereador,10777,JANIO MONTEIRO,10,REPUBLICANOS,1154
SAO LUIS,Vereador,10789,LUIZ CALVET,10,REPUBLICANOS,1164
SAO LUIS,Vereador,10800,ELANE BEZERRA,10,REPUBLICANOS,102
SAO LUIS,Vereador,11000,LIANA JACINTO,11,PP,138
SAO LUIS,Vereador,11011,WAGNER LOPES COLETIVO RAÃA,11,PP,1421
SAO LUIS,Vereador,11111,ANDERSON BORGES,11,PP,3751
SAO LUIS,Vereador,11123,MARCOS DA MAIOBA,11,PP,447
SAO LUIS,Vereador,11127,PRATORA GLORIA,11,PP,123
SAO LUIS,Vereador,11136,HUGO DOS CONCURSOS,11,PP,194
SAO LUIS,Vereador,11162,DENILSON MENDES,11,PP,531
SAO LUIS,Vereador,11192,RENATINHO GUERRA,11,PP,190
