NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,4436
11,DEPUTADO FEDERAL,PROGRESSISTAS,17425
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,23226
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,115151
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,3710
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,8717
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,1546
18,DEPUTADO FEDERAL,Rede Sustentabilidade,4216
19,DEPUTADO FEDERAL,Podemos,2187
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,12389
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,3358
22,DEPUTADO FEDERAL,Partido Liberal,43898
23,DEPUTADO FEDERAL,Cidadania,3919
27,DEPUTADO FEDERAL,Democracia CristÃ£,4393
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,529
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,371
30,DEPUTADO FEDERAL,Partido Novo,25940
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,2279
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,2315
36,DEPUTADO FEDERAL,AGIR,1115
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,4447
43,DEPUTADO FEDERAL,Partido Verde,8264
44,DEPUTADO FEDERAL,UNIÃO BRASIL,4990
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,7521
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,7036
51,DEPUTADO FEDERAL,Patriota,3183
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,34909
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,3217
70,DEPUTADO FEDERAL,AVANTE,4194
77,DEPUTADO FEDERAL,Solidariedade,2608
80,DEPUTADO FEDERAL,Unidade Popular,1221
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,1110
95,DEPUTADO FEDERAL,VOTO BRANCO,843986
96,DEPUTADO FEDERAL,VOTO NULO,587956
1000,DEPUTADO FEDERAL,ALESSANDRA SILVA RIBEIRO,34779
1001,DEPUTADO FEDERAL,WEVERTON JOSE DA LOMBA ALVES,548
1002,DEPUTADO FEDERAL,CAROLINE EMANUELLE OLIVEIRA GOMES DE PAULA,157
1004,DEPUTADO FEDERAL,RICARDO RODRIGUES DE SOUZA,756
1005,DEPUTADO FEDERAL,ROSANIA APARECIDA RIBEIRO,225
