NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
BELO HORIZONTE,Vereador,10000,OSVALDO LOPES,10,REPUBLICANOS,10345
BELO HORIZONTE,Vereador,10001,MARCELO TAVARES,10,REPUBLICANOS,149
BELO HORIZONTE,Vereador,10003,PASTORA DÃBORA GUERRA,10,REPUBLICANOS,160
BELO HORIZONTE,Vereador,10013,DRA. ÃRSULA SIMBERA,10,REPUBLICANOS,138
BELO HORIZONTE,Vereador,10023,ZÃ DOS ANJOS,10,REPUBLICANOS,142
BELO HORIZONTE,Vereador,10065,LÃA DOS SOCIAL,10,REPUBLICANOS,84
BELO HORIZONTE,Vereador,10090,TONIN DA VIDRAÃARIA,10,REPUBLICANOS,210
BELO HORIZONTE,Vereador,10100,ARRUDA,10,REPUBLICANOS,8668
BELO HORIZONTE,Vereador,10110,ANDERSON CAVERNA,10,REPUBLICANOS,131
BELO HORIZONTE,Vereador,10111,PROFESSOR JORGE LEAL,10,REPUBLICANOS,224
BELO HORIZONTE,Vereador,10115,FABIANA GOULART,10,REPUBLICANOS,275
BELO HORIZONTE,Vereador,10120,DIORATO LEAL CARRETEIRO,10,REPUBLICANOS,180
BELO HORIZONTE,Vereador,10123,JORGE SANTOS,10,REPUBLICANOS,2687
BELO HORIZONTE,Vereador,10127,IARA ROSA DARC,10,REPUBLICANOS,267
BELO HORIZONTE,Vereador,10175,LEONORA DO BAR,10,REPUBLICANOS,105
BELO HORIZONTE,Vereador,10190,SARGENTO BALTAZAR,10,REPUBLICANOS,777
BELO HORIZONTE,Vereador,10200,NATALIA OLIVEIRA,10,REPUBLICANOS,570
BELO HORIZONTE,Vereador,10222,ALICE FOOD TRUCK,10,REPUBLICANOS,906
BELO HORIZONTE,Vereador,10234,PR. ALMEIDA,10,REPUBLICANOS,644
BELO HORIZONTE,Vereador,10321,CIRO PEREIRA,10,REPUBLICANOS,7311
BELO HORIZONTE,Vereador,10333,GILMAR DO DEPÃSITO DOS IRMÃOS,10,REPUBLICANOS,533
BELO HORIZONTE,Vereador,10400,ANDRÃ BORRACHEIRO,10,REPUBLICANOS,852
BELO HORIZONTE,Vereador,10421,JOÃO BATISTA DE OLIVEIRA,10,REPUBLICANOS,248
BELO HORIZONTE,Vereador,10444,PASTOR TONINHO FARIA,10,REPUBLICANOS,797
BELO HORIZONTE,Vereador,10453,HARLLEY DO BECO GUARIBA,10,REPUBLICANOS,117
BELO HORIZONTE,Vereador,10456,IRLAN MELO,10,REPUBLICANOS,11660
BELO HORIZONTE,Vereador,10483,DANTAS ,10,REPUBLICANOS,11
BELO HORIZONTE,Vereador,10500,PAULO LOBATO,10,REPUBLICANOS,411
BELO HORIZONTE,Vereador,10514,HELINHO DO NAZARÃ,10,REPUBLICANOS,195
BELO HORIZONTE,Vereador,10515,ROSANIA RIBEIRO LORA,10,REPUBLICANOS,96
BELO HORIZONTE,Vereador,10555,FABÃO,10,REPUBLICANOS,280
BELO HORIZONTE,Vereador,10673,DANIELA FABIANNE,10,REPUBLICANOS,75
BELO HORIZONTE,Vereador,10733,PASTORA JANICE DIAS,10,REPUBLICANOS,116
BELO HORIZONTE,Vereador,10777,FERNANDO LUIZ ,10,REPUBLICANOS,6719
BELO HORIZONTE,Vereador,10789,HELCIO DA SUCATA,10,REPUBLICANOS,84
BELO HORIZONTE,Vereador,10800,RAMON BIBIANO DA CASA DE APOIO,10,REPUBLICANOS,5962
BELO HORIZONTE,Vereador,10832,TIAGO CORREA,10,REPUBLICANOS,137
BELO HORIZONTE,Vereador,10870,AURIM DO REBOQUE,10,REPUBLICANOS,489
BELO HORIZONTE,Vereador,10888,RODRIGO NETCHEKA,10,REPUBLICANOS,85
BELO HORIZONTE,Vereador,10999,EUDES MARIANO,10,REPUBLICANOS,177
BELO HORIZONTE,Vereador,11000,EDUARDO COSSO DADINHO,11,PP,1899
BELO HORIZONTE,Vereador,11007,NARCISO JOSÃ,11,PP,1670
BELO HORIZONTE,Vereador,11009,MICHELLE DA CRECHE,11,PP,3891
BELO HORIZONTE,Vereador,11011,ROBERTO GAÃCHO,11,PP,1202
BELO HORIZONTE,Vereador,11015,MARCELO SANTOS CRUZ,11,PP,1133
BELO HORIZONTE,Vereador,11020,BALBINO DA AMBULÃNCIA,11,PP,1135
BELO HORIZONTE,Vereador,11022,PROF. JORGE BRUNO,11,PP,1838
BELO HORIZONTE,Vereador,11031,LEOPOLDO SIQUEIRA,11,PP,2270
BELO HORIZONTE,Vereador,11100,JOÃ0 OSCAR,11,PP,1328
BELO HORIZONTE,Vereador,11110,EDUARDO BESSA,11,PP,3357
BELO HORIZONTE,Vereador,11111,PROFESSORA MARLI,11,PP,23773
BELO HORIZONTE,Vereador,11123,JOÃO ROMANELLI,11,PP,1161
BELO HORIZONTE,Vereador,11131,GLAUBER PAIVA,11,PP,320
BELO HORIZONTE,Vereador,11190,MARIE SOUTO,11,PP,110
BELO HORIZONTE,Vereador,11200,JOSÃ MACIEL,11,PP,338
BELO HORIZONTE,Vereador,11222,TILELÃO,11,PP,5065
BELO HORIZONTE,Vereador,11231,SUMAIA ABENÃOADA,11,PP,76
BELO HORIZONTE,Vereador,11234,CLÃLIO ALVES,11,PP,702
BELO HORIZONTE,Vereador,11250,ALMEIDA,11,PP,802
BELO HORIZONTE,Vereador,11300,PEDRO LELIS,11,PP,1670
BELO HORIZONTE,Vereador,11321,PROF. GLEISON,11,PP,1928
BELO HORIZONTE,Vereador,11333,ALEXANDRE ZOONOSES,11,PP,581
BELO HORIZONTE,Vereador,11345,PAULINHO MOTORISTA,11,PP,514
BELO HORIZONTE,Vereador,11400,PROFESSOR FABRÃCIO LUIZ,11,PP,205
BELO HORIZONTE,Vereador,11411,SURYA NOARA,11,PP,889
