NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,1575
11,DEPUTADO FEDERAL,PROGRESSISTAS,5072
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,3881
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,19499
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,1370
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,3942
18,DEPUTADO FEDERAL,Rede Sustentabilidade,262
19,DEPUTADO FEDERAL,Podemos,1601
22,DEPUTADO FEDERAL,Partido Liberal,7639
23,DEPUTADO FEDERAL,Cidadania,536
27,DEPUTADO FEDERAL,Democracia CristÃ£,33
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,1026
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,60
30,DEPUTADO FEDERAL,Partido Novo,722
36,DEPUTADO FEDERAL,AGIR,141
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,1115
43,DEPUTADO FEDERAL,Partido Verde,289
44,DEPUTADO FEDERAL,UNIÃO BRASIL,3065
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,6020
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,659
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,2599
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,116
70,DEPUTADO FEDERAL,AVANTE,190
77,DEPUTADO FEDERAL,Solidariedade,333
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,89
95,DEPUTADO FEDERAL,VOTO BRANCO,94828
96,DEPUTADO FEDERAL,VOTO NULO,46513
1000,DEPUTADO FEDERAL,FRANCISCO CARLOS DE ASSIS,7379
1001,DEPUTADO FEDERAL,SAULO BATISTA DA SILVA,2438
1010,DEPUTADO FEDERAL,WILTON MELO ACOSTA,23084
1011,DEPUTADO FEDERAL,MARIA LUCIA NOGUEIRA FERNANDES,6692
1023,DEPUTADO FEDERAL,GILMAR NERI DE SOUZA,19479
1045,DEPUTADO FEDERAL,ISRAEL SILVA CAPINAM,4293
1077,DEPUTADO FEDERAL,MANOEL RODRIGUES PEREIRA NETO,5804
1088,DEPUTADO FEDERAL,SUELEN DA PASCOAL DOS SANTOS,915
1090,DEPUTADO FEDERAL,MARIA APARECIDA DE OLIVEIRA DO AMARAL,3615
1100,DEPUTADO FEDERAL,SIRLEI FAUSTINO RATIER,7102
1111,DEPUTADO FEDERAL,WALTER BENEDITO CARNEIRO JUNIOR,39860
1120,DEPUTADO FEDERAL,EUDÃLIO ALMEIDA DE MENDONÃA,12078
1122,DEPUTADO FEDERAL,LUIZ ALBERTO OVANDO,45491
1123,DEPUTADO FEDERAL,JOÃO BATISTA DA ROCHA,12515
1140,DEPUTADO FEDERAL,MÃRCIO ANDRÃ SCARLASSARA,10139
1145,DEPUTADO FEDERAL,LUCIANA CÃSSIA DE AZAMBUJA ROCA,4299
1177,DEPUTADO FEDERAL,JOÃO RESENDE FILHO,1620
1190,DEPUTADO FEDERAL,EDILAINE MANSUETO ALVES SAMPAIO,8430
1200,DEPUTADO FEDERAL,LUIS ALBERTO BRIZOLA OTERO,1436
1201,DEPUTADO FEDERAL,JORGE RODRIGUES DE LIMA,263
1212,DEPUTADO FEDERAL,ROBERTO MATEUS DE OLIVEIRA GALVÃO,3101
1234,DEPUTADO FEDERAL,ANGELA CRISTINA CASAL REGASSO,2702
1267,DEPUTADO FEDERAL,JESSICA BEZERRA TORRES,557
1277,DEPUTADO FEDERAL,ALCEU SOARES NETO,626
1313,DEPUTADO FEDERAL,ELIAS ISHY DE MATTOS,24085
1325,DEPUTADO FEDERAL,JAIME TEIXEIRA,19477
1331,DEPUTADO FEDERAL,VANDER LUIZ DOS SANTOS LOUBET,76571
1333,DEPUTADO FEDERAL,GRAZIELLE SOARES DE OLIVEIRA,5777
1367,DEPUTADO FEDERAL,CAMILA BAZACHI JARA MARZOCHI,56552
1414,DEPUTADO FEDERAL,DELCÃDIO DO AMARAL GOMEZ,18862
1417,DEPUTADO FEDERAL,DAVID MENDES GONÃALVES,789
