NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
CAMPO GRANDE,Vereador,10000,THIAGO GREGO,10,REPUBLICANOS,946
CAMPO GRANDE,Vereador,10010,PR JEREMIAS FLORES,10,REPUBLICANOS,798
CAMPO GRANDE,Vereador,10011,GLEISON MAMUT,10,REPUBLICANOS,313
CAMPO GRANDE,Vereador,10033,MYRIAM PADIAL,10,REPUBLICANOS,180
CAMPO GRANDE,Vereador,10043,SILIZONE CRISTIAN,10,REPUBLICANOS,263
CAMPO GRANDE,Vereador,10067,ISMAEL CRIA DO AERO RANCHO,10,REPUBLICANOS,517
CAMPO GRANDE,Vereador,10088,HERCULANO BORGES,10,REPUBLICANOS,4119
CAMPO GRANDE,Vereador,10100,DELEGADA SIDNEIA TOBIAS,10,REPUBLICANOS,766
CAMPO GRANDE,Vereador,10101,MIRELLA BALLATORE,10,REPUBLICANOS,157
CAMPO GRANDE,Vereador,10111,KAIO DO TIRADENTES,10,REPUBLICANOS,350
CAMPO GRANDE,Vereador,10123,NETO SANTOS,10,REPUBLICANOS,4576
CAMPO GRANDE,Vereador,10124,ADRIANA MELO,10,REPUBLICANOS,183
CAMPO GRANDE,Vereador,10190,CYNTHIA MULHERES POR CG,10,REPUBLICANOS,245
CAMPO GRANDE,Vereador,10193,BOMBEIRO QUINTANA,10,REPUBLICANOS,530
CAMPO GRANDE,Vereador,10207,RAFAEL ZACARIAS,10,REPUBLICANOS,149
CAMPO GRANDE,Vereador,10222,JUNIOR LONGO,10,REPUBLICANOS,2168
CAMPO GRANDE,Vereador,10237,EDVANIA GARCIA,10,REPUBLICANOS,125
CAMPO GRANDE,Vereador,10300,LAUDICEIA PARA TRANSFORMAR,10,REPUBLICANOS,419
CAMPO GRANDE,Vereador,10333,DANIEL SOM E VIDA,10,REPUBLICANOS,1198
CAMPO GRANDE,Vereador,10345,BOSCO MARTINS,10,REPUBLICANOS,1722
CAMPO GRANDE,Vereador,10456,KLEBINHO DA PADARIA,10,REPUBLICANOS,397
CAMPO GRANDE,Vereador,10555,SR PAULO DOS SALGADOS,10,REPUBLICANOS,121
CAMPO GRANDE,Vereador,10600,DR. JOSE GONDIM,10,REPUBLICANOS,445
