NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,2772
11,DEPUTADO FEDERAL,PROGRESSISTAS,4593
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,4175
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,10816
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,2694
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,5882
18,DEPUTADO FEDERAL,Rede Sustentabilidade,130
19,DEPUTADO FEDERAL,Podemos,824
22,DEPUTADO FEDERAL,Partido Liberal,10512
23,DEPUTADO FEDERAL,Cidadania,1584
27,DEPUTADO FEDERAL,Democracia CristÃ£,131
30,DEPUTADO FEDERAL,Partido Novo,553
36,DEPUTADO FEDERAL,AGIR,171
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,4248
43,DEPUTADO FEDERAL,Partido Verde,693
44,DEPUTADO FEDERAL,UNIÃO BRASIL,7786
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,2407
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,840
51,DEPUTADO FEDERAL,Patriota,702
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,4416
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,249
77,DEPUTADO FEDERAL,Solidariedade,166
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,180
95,DEPUTADO FEDERAL,VOTO BRANCO,99199
96,DEPUTADO FEDERAL,VOTO NULO,58809
1000,DEPUTADO FEDERAL,FELIPE TANAHASHI ALVES,26544
1010,DEPUTADO FEDERAL,EDUARDO VICTOR MAGALHÃES,25755
1022,DEPUTADO FEDERAL,LEONARDO RIBEIRO ALBUQUERQUE,40222
1030,DEPUTADO FEDERAL,KALYNKA BARBARA MEIRELES DE ALMEIDA LISSONI NANI,9630
1044,DEPUTADO FEDERAL,EUNICE TEODORA DOS SANTOS CRESCENCIO,4092
1050,DEPUTADO FEDERAL,ICARO FRANCIO SEVERO,4827
1051,DEPUTADO FEDERAL,ACACIO AMBROSINI,31819
1070,DEPUTADO FEDERAL,SIRLEI TERESINHA THEIS DE ALMEIDA,2592
1077,DEPUTADO FEDERAL,ERNANDO CARDOSO,7260
1112,DEPUTADO FEDERAL,IVONE BRANDÃO MIRANDA,285
1200,DEPUTADO FEDERAL,RODRIGO OLIVEIRA DA SILVA,306
1212,DEPUTADO FEDERAL,VINICIUS MODOLO TEIXEIRA,1000
1216,DEPUTADO FEDERAL,MARA RUBIA GARCIA BADAN,82
1221,DEPUTADO FEDERAL,WAGNER JOSÃ DOS SANTOS,261
1225,DEPUTADO FEDERAL,LUCIO WA ANE TEROWA A,3191
1234,DEPUTADO FEDERAL,ROBERTINO FRANCISCO SOBRINHO,1138
1242,DEPUTADO FEDERAL,JESSICA FERNANDA FERREIRA DA SILVA,136
1255,DEPUTADO FEDERAL,MARCELO TERRA DE ALMEIDA,145
1280,DEPUTADO FEDERAL,AMARANTHA TATYS PEREIRA PINTO,580
