NM_MUNICIPIO,DS_CARGO,NR_VOTAVEL,NM_URNA_CANDIDATO,QT_VOTOS_NOMINAIS
CUIABA,Vereador,10000,PAULO CESAR E SILVA,1106
CUIABA,Vereador,10007,CLEY ROBERTO FERNANDES DA SILVA,1877
CUIABA,Vereador,10010,JULIO CESAR MAIA PEREIRA,374
CUIABA,Vereador,10012,RODRIGO POUSO MIRANDA,542
CUIABA,Vereador,10077,REGIS PRADO NASCIMENTO,1155
CUIABA,Vereador,10100,LUIS CARLOS NUNES RONDON,227
CUIABA,Vereador,10101,JANETE AUXILIADORA SOARES DE FRANÃA,66
CUIABA,Vereador,10111,RAQUEL GONÃALVES DA SILVA BENETOLI,75
CUIABA,Vereador,10123,EDUARDO VICTOR MAGALHÃES,3274
CUIABA,Vereador,10190,WELITON DIVINO DE ALMEIDA,304
CUIABA,Vereador,10200,MARIA APARECIDA DA SILVA,27
CUIABA,Vereador,10222,GABRIEL GUILHERME OLIVEIRA VELOSO,1477
CUIABA,Vereador,10321,RENATO FERREIRA DE SANTANA LARA,741
CUIABA,Vereador,10322,JULIANA GIMENES DE FREITAS,242
CUIABA,Vereador,10333,FABIO BARBOSA SENA,566
CUIABA,Vereador,10344,MARIA SANTANA COSTA NEVES SALES,39
CUIABA,Vereador,10444,GIORGIO AGUIAR DA SILVA,1313
CUIABA,Vereador,10456,JULYENE PAOLLA DOS REIS,1859
CUIABA,Vereador,10500,JUNIOR LIMA DA SILVA,20
CUIABA,Vereador,10555,CARLOS FREDERICCO REINERS GAHYVA,2195
CUIABA,Vereador,10612,MARIA DE FATIMA DA CONCEICAO,8
CUIABA,Vereador,10700,SAMER ROGER MOREIRA DA SILVA,545
CUIABA,Vereador,10777,PATRICIA GLAURA DE ARAÃJO CAMPOS,206
CUIABA,Vereador,10789,EDMIRSON FERNANDES DE MAGALHAES,46
CUIABA,Vereador,10800,MAYARA CRISTINA CINTRA ROSA FRANCO,618
CUIABA,Vereador,10888,DANIEL SOUZA SILVA MONTEIRO,2537
CUIABA,Vereador,10999,MAYSA DO PRADO LEÃO GOMES,5615
CUIABA,Vereador,11000,GUILHERME ROCHA NEVES,629
CUIABA,Vereador,11011,SORAYA MARIA CANDIDA DO AMARAL,640
CUIABA,Vereador,11012,JOSÃ DOMINGUÃS DE GODOI NETO,280
CUIABA,Vereador,11022,FLÃVIA MESQUITA GONÃALVES,1084
CUIABA,Vereador,11044,VINICYUS CORRÃA HUGUENEY,1178
CUIABA,Vereador,11100,ROSANA DE MELO XAVIER,29
CUIABA,Vereador,11111,DEMILSON NOGUEIRA MOREIRA,3211
CUIABA,Vereador,11123,JOSE EDUARDO DE FARIA JUNIOR,606
CUIABA,Vereador,11166,IRANILDES DIAS DA SILVA,62
CUIABA,Vereador,11192,LÃGIA CRISTIANE ARFELI,407
CUIABA,Vereador,11200,JOSE MARCONDES DE OLIVEIRA JUNIOR,116
CUIABA,Vereador,11222,RICARDO MURILO DE ARRUDA ALVES,916
CUIABA,Vereador,11234,VILSON JOSÃ NEVES DA CRUZ,175
CUIABA,Vereador,11333,NELSON DE FARIA,619
CUIABA,Vereador,11411,VANDERLEI SILVA DOS REIS,74
CUIABA,Vereador,11444,FABIO MARTINS DEFANTI,1585
CUIABA,Vereador,11456,LICINIO VIEIRA DE ALMEIDA JUNIOR,1809
CUIABA,Vereador,11555,EMANUEL MUSSA AMUI PINHEIRO,1869
CUIABA,Vereador,11649,NÃVITON FAGUNDES MORAES,1917
CUIABA,Vereador,11666,JOVELINA RITA CARDOSO NETA TIZOT,410
CUIABA,Vereador,11777,ANA DE FÃTIMA OTHON LEITE SOUZA,382
CUIABA,Vereador,11888,DÃBIA BEATRIZ OLIVEIRA CAMPOS,455
CUIABA,Vereador,11900,CLAUDIO DE RODRIGUES CARNEIRO,102
CUIABA,Vereador,11990,IZAQUE DO NASCIMENTO ROSA,100
CUIABA,Vereador,11999,WANDERSON DOS SANTOS OLIVEIRA,592
CUIABA,Vereador,12000,CAIUBI EMANUEL SOUZA KUHN,1014
CUIABA,Vereador,12007,THALYSON SILVA BUENO,107
CUIABA,Vereador,12012,JORGE GABRIEL RAMIRES JUNIOR,941
CUIABA,Vereador,12077,HAPOLIANA RODRIGUES BATISTA,51
CUIABA,Vereador,12111,ISAC POVOAS NETO,66
CUIABA,Vereador,12123,KALIL JORGE ZATTAR DE ARRUDA CARVALHO,1180
CUIABA,Vereador,12222,WESLEY ALVES DE SOUZA,355
CUIABA,Vereador,12300,RAUNY ALVES DE OLIVEIRA,985
CUIABA,Vereador,12333,RUBENS DIAS DA SILVA,785
CUIABA,Vereador,12345,GILIANE TAINÃ ALVES DA CRUZ NEVES,105
CUIABA,Vereador,12456,ANDREIA SCHWARZ SANTOS SILVA,177
CUIABA,Vereador,12555,DIEGO GORDON PADILHA RAMSAY,101
CUIABA,Vereador,12777,MARCUS FABRÃCIO NUNES DOS SANTOS,2339
CUIABA,Vereador,12800,ROBERTINO FRANCISCO SOBRINHO,110
CUIABA,Vereador,12804,JANETE IZIDORIO DA SILVA ALVES DOS SANTOS,10
CUIABA,Vereador,12888,MARA RÃBIA GARCIA BADAN,32
CUIABA,Vereador,12900,CASSIA CRISTINA PEDROSO,51
CUIABA,Vereador,13000,JOÃO CUSTÃDIO DA SILVA,1061
CUIABA,Vereador,13010,JULIER SEBASTIÃO DA SILVA,1087
CUIABA,Vereador,13013,ROBINSON CIREIA DE OLIVEIRA,2281
CUIABA,Vereador,13014,ENELINDA MARIA APARECIDA DOS SANTOS SCALA,299
CUIABA,Vereador,13017,EMIDIO ANTONIO DE SOUZA,506
CUIABA,Vereador,13123,ROSELI NUNES DA SILVA BARRANCO,1585
CUIABA,Vereador,13130,REGINALDO SILVA DE ARAUJO,1409
CUIABA,Vereador,13131,DAIELY CRISTINA GOMES DE ALMEIDA,1488
