NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,3895
11,DEPUTADO FEDERAL,PROGRESSISTAS,9000
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,13053
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,25287
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,3349
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,30553
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,1090
18,DEPUTADO FEDERAL,Rede Sustentabilidade,661
19,DEPUTADO FEDERAL,Podemos,2411
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,1635
22,DEPUTADO FEDERAL,Partido Liberal,16235
23,DEPUTADO FEDERAL,Cidadania,2233
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,352
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,344
36,DEPUTADO FEDERAL,AGIR,289
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,1915
43,DEPUTADO FEDERAL,Partido Verde,327
44,DEPUTADO FEDERAL,UNIÃO BRASIL,3878
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,6049
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,2688
51,DEPUTADO FEDERAL,Patriota,1416
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,5495
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,1055
70,DEPUTADO FEDERAL,AVANTE,4077
77,DEPUTADO FEDERAL,Solidariedade,443
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,245
95,DEPUTADO FEDERAL,VOTO BRANCO,152467
96,DEPUTADO FEDERAL,VOTO NULO,95893
1000,DEPUTADO FEDERAL,JOAQUIM ARISTIDES ARAÃJO CAMPOS,4949
1003,DEPUTADO FEDERAL,CELILDES DIONI MORAIS DE OLIVEIRA,448
1005,DEPUTADO FEDERAL,RUBENICE DE NAZARÃ DIAS MARTINS,4088
1010,DEPUTADO FEDERAL,WAGNER BACH MARTINS,103449
1011,DEPUTADO FEDERAL,AGUIBERTO RODRIGUES ALVES,2026
1012,DEPUTADO FEDERAL,ELTON EDINEZIO MAUES DA SILVA,3411
1013,DEPUTADO FEDERAL,MARIA IRANILDA PIMENTA RODRIGUES,3222
