NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
BELEM,Vereador,10000,DR AFONSO,10,REPUBLICANOS,5804
BELEM,Vereador,10005,RUBENICE,10,REPUBLICANOS,439
BELEM,Vereador,10006,JEFFERSON PEE,10,REPUBLICANOS,164
BELEM,Vereador,10007,ESDRAS AMORIM,10,REPUBLICANOS,1261
BELEM,Vereador,10010,ANDREA MONTEIRO,10,REPUBLICANOS,388
BELEM,Vereador,10012,NATANAEL SODRE,10,REPUBLICANOS,621
BELEM,Vereador,10013,BOLOTINHA,10,REPUBLICANOS,108
BELEM,Vereador,10014,ELOI SANTOS,10,REPUBLICANOS,174
BELEM,Vereador,10017,JUNIOR MAIA,10,REPUBLICANOS,108
BELEM,Vereador,10022,DRA LAIS BARROS,10,REPUBLICANOS,128
BELEM,Vereador,10024,FERNANDINHA DO FUTEVOLEI,10,REPUBLICANOS,199
BELEM,Vereador,10025,NEGA LINDA,10,REPUBLICANOS,147
BELEM,Vereador,10030,KATIA RODRIGUES,10,REPUBLICANOS,357
BELEM,Vereador,10044,POETA DA PEDREIRA,10,REPUBLICANOS,268
BELEM,Vereador,10090,TEMPESTADE DO MELODY,10,REPUBLICANOS,85
BELEM,Vereador,10100,JUNIOR SILVA,10,REPUBLICANOS,403
BELEM,Vereador,10110,JUNIOR TERRA,10,REPUBLICANOS,530
BELEM,Vereador,10123,MARCOS XAVIER,10,REPUBLICANOS,8590
BELEM,Vereador,10190,CORONEL FIRMINO,10,REPUBLICANOS,3707
BELEM,Vereador,10200,CLEYTON PINHEIRO,10,REPUBLICANOS,235
BELEM,Vereador,10222,NANA MAGALHÃES,10,REPUBLICANOS,582
BELEM,Vereador,10300,PROFESSOR JORGE,10,REPUBLICANOS,261
BELEM,Vereador,10322,MOISÃS NETO,10,REPUBLICANOS,802
BELEM,Vereador,10333,REIS CONFIRMA,10,REPUBLICANOS,514
BELEM,Vereador,10400,CARLOS AMIGUINHO,10,REPUBLICANOS,805
BELEM,Vereador,10444,BEBÃ DO TENONÃ,10,REPUBLICANOS,98
BELEM,Vereador,10456,AUGUSTO SANTOS,10,REPUBLICANOS,6694
BELEM,Vereador,10501,NADIR BRABRU,10,REPUBLICANOS,109
BELEM,Vereador,10511,PR. ROSIVALDO,10,REPUBLICANOS,253
BELEM,Vereador,10555,GAGO PROGRESSO,10,REPUBLICANOS,838
BELEM,Vereador,10610,WALDINHO SILVEIRA,10,REPUBLICANOS,342
BELEM,Vereador,10666,FABIO GUGU,10,REPUBLICANOS,158
BELEM,Vereador,10777,RONIS VIDAL,10,REPUBLICANOS,761
BELEM,Vereador,10888,PASTOR JANILDO,10,REPUBLICANOS,1243
BELEM,Vereador,10900,JANAINA LIMA,10,REPUBLICANOS,274
BELEM,Vereador,10987,DIDI DOS CACHORROS,10,REPUBLICANOS,2085
BELEM,Vereador,11000,JAIME KOSMINSKY,11,PP,4150
BELEM,Vereador,11001,LEO DO BENGUI,11,PP,2149
BELEM,Vereador,11007,CASSIANO DA FEDERAL,11,PP,306
BELEM,Vereador,11010,FELIPE CABRAL,11,PP,449
BELEM,Vereador,11011,VITOR MAGALHÃES,11,PP,4090
BELEM,Vereador,11015,MARCLEY LIMA,11,PP,199
BELEM,Vereador,11017,ROSANA REPOLHO,11,PP,38
BELEM,Vereador,11024,SAULO,11,PP,279
BELEM,Vereador,11091,DR LEANDRO VASQUES,11,PP,539
BELEM,Vereador,11100,NAY BARBALHO,11,PP,6157
BELEM,Vereador,11101,PR. ELKI,11,PP,107
BELEM,Vereador,11111,EDUARDA BONANZA,11,PP,5981
BELEM,Vereador,11112,ANDRÃ PAKAMON,11,PP,1817
BELEM,Vereador,11114,ROSANA AZULAY,11,PP,41
BELEM,Vereador,11115,SOCORRO MAIA,11,PP,113
BELEM,Vereador,11120,ELIDIANE,11,PP,94
BELEM,Vereador,11123,PERITA ANA CLAUDIA,11,PP,662
BELEM,Vereador,11150,PEDRO ABRAÃO,11,PP,384
BELEM,Vereador,11173,AILTON CAMPOS,11,PP,1002
BELEM,Vereador,11190,ZEZINHO NORONHA,11,PP,197
BELEM,Vereador,11222,WILSON NETO,11,PP,3547
BELEM,Vereador,11225,JEAN SILVA,11,PP,413
BELEM,Vereador,11230,ALEX SODRÃ,11,PP,95
BELEM,Vereador,11234,PROF  GILBERTO PALHETA,11,PP,260
BELEM,Vereador,11321,LEANDRO COSTA,11,PP,243
BELEM,Vereador,11336,DR SANDRO RIBEIRO,11,PP,416
BELEM,Vereador,11444,VANESSA SANTOS,11,PP,127
BELEM,Vereador,11456,PATRICIA QUEIROZ,11,PP,8330
BELEM,Vereador,11500,GISA PAIVA,11,PP,310
BELEM,Vereador,11555,ROBERTO  ALMEIDA,11,PP,144
BELEM,Vereador,11556,MÃRCIO CASTRO,11,PP,149
BELEM,Vereador,11567,PAULO PAIVA,11,PP,156
BELEM,Vereador,11625,RUTH ALVES,11,PP,60
BELEM,Vereador,11711,ADRIANO CAMPOS,11,PP,63
BELEM,Vereador,11789,RODRIGO FISIO,11,PP,84
BELEM,Vereador,11888,GLENDA AMARAL,11,PP,5908
BELEM,Vereador,12000,JOÃO COELHO,12,PDT,12026
BELEM,Vereador,12001,PROFESSOR EDILSON,12,PDT,545
BELEM,Vereador,12007,WAGNER LOCUTOR,12,PDT,187
BELEM,Vereador,12012,THIAGO REIS,12,PDT,461
BELEM,Vereador,12025,IVANILDO DE JESUS,12,PDT,49
BELEM,Vereador,12100,DR CHIQUINHO,12,PDT,1484
BELEM,Vereador,12111,ANTÃNIO BRANCO,12,PDT,774
BELEM,Vereador,12115,LAÃLIA,12,PDT,964
BELEM,Vereador,12120,MARLENE CORDOVIL,12,PDT,64
BELEM,Vereador,12121,RAQUEL DOS ANIMAIS,12,PDT,9156
BELEM,Vereador,12123,EDINALDO CARNEIRO,12,PDT,857
BELEM,Vereador,12190,SUB PEREIRA,12,PDT,329
BELEM,Vereador,12192,COLETIVO DA SAÃDE,12,PDT,313
BELEM,Vereador,12200,ANA FURTADO,12,PDT,52
BELEM,Vereador,12210,XEXÃU SILVA,12,PDT,384
BELEM,Vereador,12222,JORGE BRONZE,12,PDT,286
BELEM,Vereador,12235,ALEX ESPIGA,12,PDT,142
BELEM,Vereador,12300,EDSON ANDRADE,12,PDT,254
BELEM,Vereador,12321,SENSEI SÃNIA COUTINHO,12,PDT,208
BELEM,Vereador,12333,TIA LENE,12,PDT,155
BELEM,Vereador,12337,BERINA MELO,12,PDT,1313
BELEM,Vereador,12344,PROF NELZI,12,PDT,137
BELEM,Vereador,12345,ALLAN POMBO,12,PDT,5686
BELEM,Vereador,12366,EDDY VALE PAI DE TRÃS AUTISTAS,12,PDT,394
BELEM,Vereador,12388,GERA SORRISO O URUBU DO POVO,12,PDT,757
BELEM,Vereador,12399,BETINHO NOVE NOVE,12,PDT,160
BELEM,Vereador,12444,JEOVÃ,12,PDT,146
BELEM,Vereador,12455,ANDREA DO COMÃRCIO,12,PDT,115
BELEM,Vereador,12456,EMANOEL LEITE,12,PDT,397
BELEM,Vereador,12500,AMARILDO VILHENA,12,PDT,138
BELEM,Vereador,12512,PROF NELSON DA MOTO,12,PDT,81
BELEM,Vereador,12555,ROSA RAINBOW,12,PDT,268
BELEM,Vereador,12777,FLOR ALMEIDA,12,PDT,209
BELEM,Vereador,12856,DAVI MONTEIRO,12,PDT,77
BELEM,Vereador,12888,PROFESSOR ADECARLOS,12,PDT,322
BELEM,Vereador,12999,RAQUEL DO VATAPÃ,12,PDT,126
BELEM,Vereador,13000,PROFESSORA JUCÃ,13,PT,425
BELEM,Vereador,13013,LARISSA MARTINS,13,PT,2587
BELEM,Vereador,13030,INDALECIO PACHECO,13,PT,1504
BELEM,Vereador,13111,ISRAEL CARTEIRO,13,PT,824
BELEM,Vereador,13113,MARCIA MOREIRA,13,PT,77
BELEM,Vereador,13120,PAULO SETUBAL,13,PT,1414
BELEM,Vereador,13123,APOLONIO,13,PT,2934
BELEM,Vereador,13130,AMARILDO  CHERMONT,13,PT,1977
BELEM,Vereador,13131,AGNALDO SEU BONECO,13,PT,4794
BELEM,Vereador,13136,AFONSO PERES,13,PT,2302
BELEM,Vereador,13180,LIVIA NORONHA,13,PT,1767
BELEM,Vereador,13192,JAIR BEZERRA,13,PT,378
BELEM,Vereador,13222,MILTON LOBO COLETIVO UNIDADE,13,PT,247
BELEM,Vereador,13310,ENFERMEIRA DANI,13,PT,3394
BELEM,Vereador,13313,RENATA PINHO,13,PT,443
BELEM,Vereador,13333,NEIA MARQUES,13,PT,5443
BELEM,Vereador,13369,ALBERTO NOCA,13,PT,533
BELEM,Vereador,13444,NAZARENO RIBEIRO,13,PT,1090
BELEM,Vereador,13456,PROFESSOR JAILSON SANTANA,13,PT,325
BELEM,Vereador,13500,PROFESSOR ELIEZER,13,PT,1211
BELEM,Vereador,13513,PROFESSOR LEIRSON,13,PT,4001
BELEM,Vereador,13549,LORENA SAAVEDRA,13,PT,241
BELEM,Vereador,13592,IGINA SALES,13,PT,149
BELEM,Vereador,13600,MÃE VANDA,13,PT,119
BELEM,Vereador,13611,AMAURY DA APPD,13,PT,5256
BELEM,Vereador,13613,BIA CAMINHA,13,PT,2343
BELEM,Vereador,13630,PROFESSOR ALFREDO COSTA,13,PT,5331
BELEM,Vereador,13677,ALTAIR BRANDÃO,13,PT,4105
BELEM,Vereador,13777,DR DÃNGELO MENDES,13,PT,67
BELEM,Vereador,13813,QUINTINO AFRO,13,PT,18
BELEM,Vereador,15000,JOHN WAYNE,15,MDB,14299
BELEM,Vereador,15001,ANDRE ANAISSE,15,MDB,416
BELEM,Vereador,15002,WALDISE ALMEIDA,15,MDB,71
BELEM,Vereador,15003,JOSY BARBOSA,15,MDB,188
BELEM,Vereador,15007,DIDI DO VER-O-PESO,15,MDB,3494
BELEM,Vereador,15015,GOLEIRO VINICIUS,15,MDB,2803
BELEM,Vereador,15055,NATASHA FOX,15,MDB,328
BELEM,Vereador,15077,MARILENE VALENTE,15,MDB,744
BELEM,Vereador,15100,FÃBIO SOUZA,15,MDB,8668
BELEM,Vereador,15111,RENAN NORMANDO,15,MDB,9495
BELEM,Vereador,15115,MARCIO SANTOS,15,MDB,5066
BELEM,Vereador,15118,ROSANGELA COHEN,15,MDB,40
BELEM,Vereador,15123,PABLO FARAH,15,MDB,12259
BELEM,Vereador,15153,DANIELLE CARDIAS,15,MDB,151
BELEM,Vereador,15181,CORONEL PRISCILA,15,MDB,1822
BELEM,Vereador,15190,SUE MOURÃO,15,MDB,4595
BELEM,Vereador,15222,NENÃM ALBUQUERQUE,15,MDB,12566
BELEM,Vereador,15267,SOL RODRIGUES,15,MDB,95
BELEM,Vereador,15321,RILDO PESSOA,15,MDB,7196
BELEM,Vereador,15333,FABIO PORTO,15,MDB,4442
BELEM,Vereador,15400,NALDO DO ASFALTO,15,MDB,606
BELEM,Vereador,15444,PROFESSOR WELLINGTON MAGALHÃES,15,MDB,5073
BELEM,Vereador,15456,FABRICIO GAMA,15,MDB,6836
BELEM,Vereador,15500,RAMON MONTEIRO,15,MDB,3503
BELEM,Vereador,15517,BOMBEIRA GABRIELA,15,MDB,510
BELEM,Vereador,15555,BIECO,15,MDB,9540
BELEM,Vereador,15615,BLENDA QUARESMA,15,MDB,8312
BELEM,Vereador,15678,DINELLY,15,MDB,5330
BELEM,Vereador,15777,ADALBERTO JR,15,MDB,7425
BELEM,Vereador,15789,PEDRO MARQUES,15,MDB,6675
BELEM,Vereador,15800,RONI GAS,15,MDB,8602
BELEM,Vereador,15888,SEU ZÃ DA FARMÃCIA,15,MDB,2441
BELEM,Vereador,15915,CLAUDIA BARROS,15,MDB,275
BELEM,Vereador,15999,SILVANE FERRAZ,15,MDB,21561
BELEM,Vereador,16016,SOCORRO GOMES,16,PSTU,78
BELEM,Vereador,16123,SEU ALEX,16,PSTU,148
BELEM,Vereador,18007,MARLON DE LIMA,18,REDE,93
BELEM,Vereador,18018,NILDA PAULA,18,REDE,1868
BELEM,Vereador,18123,IGOR ANDRADE,18,REDE,7854
BELEM,Vereador,18180,BETE VIDAL,18,REDE,289
BELEM,Vereador,18183,MÃNICA COSTA,18,REDE,58
BELEM,Vereador,18222,DAMILTOM MELLO,18,REDE,146
BELEM,Vereador,18321,CARMEN AMÃRICO,18,REDE,1010
BELEM,Vereador,18456,SÃRNIO BILL,18,REDE,97
BELEM,Vereador,18636,HERMANO NETO,18,REDE,52
BELEM,Vereador,18777,ISAAC NUNES,18,REDE,492
BELEM,Vereador,18888,NAURO CHAVES,18,REDE,139
BELEM,Vereador,20000,MATHEUS CAVALCANTE,20,PODE,4385
BELEM,Vereador,20001,BETINHO MOREIRA,20,PODE,333
BELEM,Vereador,20007,LEONAN SOUZA,20,PODE,234
BELEM,Vereador,20010,DR RAYDSON,20,PODE,1313
BELEM,Vereador,20020,JUNIOR HALLIDAY,20,PODE,1440
BELEM,Vereador,20021,SAVIO VILAR,20,PODE,336
BELEM,Vereador,20023,MAURICIO PEREIRA,20,PODE,223
BELEM,Vereador,20100,TAINARA REBELLO,20,PODE,472
BELEM,Vereador,20107,CAMILA BARROS,20,PODE,219
BELEM,Vereador,20111,GIGI OSÃRIO,20,PODE,386
BELEM,Vereador,20120,PROF RAFAEL FREITAS,20,PODE,291
BELEM,Vereador,20123,NILDA ABREU,20,PODE,1798
BELEM,Vereador,20144,JACI CARDOSO,20,PODE,113
BELEM,Vereador,20150,SAMUEL SIQUEIRA,20,PODE,110
BELEM,Vereador,20152,DINO SANTOS,20,PODE,240
BELEM,Vereador,20165,PROFA JACIRA MATHIAS,20,PODE,153
BELEM,Vereador,20200,EDIMILSON PIRES,20,PODE,302
BELEM,Vereador,20222,STEPHANIE LIMA,20,PODE,567
BELEM,Vereador,20237,CLAUDIA BRITO,20,PODE,116
BELEM,Vereador,20249,PATRIK SILVA,20,PODE,271
BELEM,Vereador,20300,ISLAN SILVA,20,PODE,120
BELEM,Vereador,20321,THAYNÃ LOBATO,20,PODE,411
BELEM,Vereador,20322,ALEX MONTEIRO,20,PODE,1223
BELEM,Vereador,20333,RONALDO DA COMUNIDADE,20,PODE,1618
BELEM,Vereador,20345,JUNIOR DA MARIA FUMAÃA,20,PODE,210
BELEM,Vereador,20420,DIANA NASCIMENTO,20,PODE,158
BELEM,Vereador,20442,VIVIANE PINHEIRO,20,PODE,226
BELEM,Vereador,20444,PAULO RENATO,20,PODE,193
BELEM,Vereador,20450,FRANCISCO UCHÃA,20,PODE,577
BELEM,Vereador,20456,ABILIO MORAES,20,PODE,263
BELEM,Vereador,20555,PR VANDERLEY,20,PODE,211
BELEM,Vereador,20700,PROF LUCIANO MIRANDA,20,PODE,202
BELEM,Vereador,20777,JOEL ALVES,20,PODE,495
BELEM,Vereador,20789,MARTA MARDOCK,20,PODE,691
BELEM,Vereador,20888,SÃNIA LEONES,20,PODE,104
BELEM,Vereador,20999,FERNANDO LIMA,20,PODE,711
BELEM,Vereador,22000,ÃGATHA BARRA,22,PL,11212
BELEM,Vereador,22001,ISA ARRAIS,22,PL,3094
BELEM,Vereador,22002,CRISTINA OLIVEIRA,22,PL,405
