NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,8132
11,DEPUTADO FEDERAL,PROGRESSISTAS,7561
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,9030
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,18895
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,1515
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,4112
18,DEPUTADO FEDERAL,Rede Sustentabilidade,1371
19,DEPUTADO FEDERAL,Podemos,385
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,2725
22,DEPUTADO FEDERAL,Partido Liberal,9887
23,DEPUTADO FEDERAL,Cidadania,1419
27,DEPUTADO FEDERAL,Democracia CristÃ£,289
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,1055
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,170
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,137
36,DEPUTADO FEDERAL,AGIR,319
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,8018
43,DEPUTADO FEDERAL,Partido Verde,271
44,DEPUTADO FEDERAL,UNIÃO BRASIL,5664
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,4917
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,818
51,DEPUTADO FEDERAL,Patriota,189
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,486
70,DEPUTADO FEDERAL,AVANTE,413
77,DEPUTADO FEDERAL,Solidariedade,885
80,DEPUTADO FEDERAL,Unidade Popular,98
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,143
95,DEPUTADO FEDERAL,VOTO BRANCO,186115
96,DEPUTADO FEDERAL,VOTO NULO,145049
1000,DEPUTADO FEDERAL,TATIANA DE OLIVEIRA MEDEIROS,9784
1001,DEPUTADO FEDERAL,SUANA GUARANI DE MELO,1904
1010,DEPUTADO FEDERAL,JOSÃ WILSON SANTIAGO,84407
1011,DEPUTADO FEDERAL,HUGO MOTTA WANDERLEY DA NOBREGA,158171
1012,DEPUTADO FEDERAL,MARMUTHE DE SOUZA CAVALCANTI,11469
1015,DEPUTADO FEDERAL,ROBERTO RANIERY DE AQUINO PAULINO,33550
1017,DEPUTADO FEDERAL,IARA CAETANO DE LIMA RAMALHO,3438
1033,DEPUTADO FEDERAL,MARIA SILVA DA CUNHA,17753
1044,DEPUTADO FEDERAL,CÃSSIO MURILO GALDINO DE ARAÃJO,112891
1055,DEPUTADO FEDERAL,ALYSSON DOS SANTOS GOMES,3604
1077,DEPUTADO FEDERAL,VALDIR TRINDADE DOS SANTOS,27172
1088,DEPUTADO FEDERAL,MARCELO ARAÃJO DE LIMA FILHO,1544
1099,DEPUTADO FEDERAL,JOSÃ DE ARIMATÃIA ALVES GUEDES JÃNIOR,4762
1100,DEPUTADO FEDERAL,GUSTAVO RAMOS DE OLIVEIRA,913
