NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,6280
11,DEPUTADO FEDERAL,PROGRESSISTAS,12176
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,13490
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,53083
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,2685
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,3504
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,990
18,DEPUTADO FEDERAL,Rede Sustentabilidade,1447
19,DEPUTADO FEDERAL,Podemos,1833
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,948
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,1026
22,DEPUTADO FEDERAL,Partido Liberal,19695
23,DEPUTADO FEDERAL,Cidadania,3469
27,DEPUTADO FEDERAL,Democracia CristÃ£,213
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,246
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,126
30,DEPUTADO FEDERAL,Partido Novo,1096
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,697
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,381
36,DEPUTADO FEDERAL,AGIR,568
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,28719
43,DEPUTADO FEDERAL,Partido Verde,3130
44,DEPUTADO FEDERAL,UNIÃO BRASIL,10807
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,5230
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,2409
51,DEPUTADO FEDERAL,Patriota,1596
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,2970
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,2594
70,DEPUTADO FEDERAL,AVANTE,2197
77,DEPUTADO FEDERAL,Solidariedade,8719
80,DEPUTADO FEDERAL,Unidade Popular,198
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,827
95,DEPUTADO FEDERAL,VOTO BRANCO,415524
96,DEPUTADO FEDERAL,VOTO NULO,324967
1000,DEPUTADO FEDERAL,AUGUSTO RODRIGUES COUTINHO DE MELO,101142
1001,DEPUTADO FEDERAL,DOUGLAS PEREIRA DE BRITO,9431
1003,DEPUTADO FEDERAL,RAFAEL NUNES DA SILVA,3394
1007,DEPUTADO FEDERAL,ELIAS FRANCISCO INACIO,2143
1010,DEPUTADO FEDERAL,SILVIO SERAFIM COSTA FILHO,162056
1011,DEPUTADO FEDERAL,EVALDSSON EDNO ROSENDO DE MELO,3878
1012,DEPUTADO FEDERAL,OSSESIO JOSE DA SILVA,72164
1015,DEPUTADO FEDERAL,ALYNE ANNE SOARES DE OLIVEIRA,1656
1018,DEPUTADO FEDERAL,UBIRAJARA EMANUEL TAVARES DE MELO FILHO,4003
1020,DEPUTADO FEDERAL,JOSE CARLOS DE SOUZA CAMPOS,2149
1022,DEPUTADO FEDERAL,CLAUDIO RICARDO MENDONÃA DA SILVA,4143
1023,DEPUTADO FEDERAL,VERA LUCIA LOPES VIEIRA,2165
1030,DEPUTADO FEDERAL,JOAO ROBERTO MARTINS CARDOSO,4449
1033,DEPUTADO FEDERAL,MANOEL JERONIMO DE MELO NETO,21434
1040,DEPUTADO FEDERAL,DANIELE FERREIRA DA CUNHA,1781
1044,DEPUTADO FEDERAL,ANA KARINA FONSECA DE CARVALHO CALDERAN CORREA,1082
1045,DEPUTADO FEDERAL,SAMUEL JOSE TAVARES DE OLIVEIRA,809
1050,DEPUTADO FEDERAL,PATRICIA MARIA FERREIRA DE SOUZA,2236
1055,DEPUTADO FEDERAL,CRISTIANE MICHELLE DAS NEVES MIGUEL,633
1065,DEPUTADO FEDERAL,FERNANDA PATRICIA SANTOS DO NASCIMENTO,1338
1077,DEPUTADO FEDERAL,GUSTAVO MATOS RIBEIRO,2708
1078,DEPUTADO FEDERAL,LIDIA ROCHA DO CARMO,77
1088,DEPUTADO FEDERAL,JOSE HAILTON DE CARVALHO E SILVA,948
1090,DEPUTADO FEDERAL,SERGIO BARTOLOMEU PEREIRA LINS,1006
1099,DEPUTADO FEDERAL,CICERO DELHANY PINTO LIMA,2954
1100,DEPUTADO FEDERAL,LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE,94122
1110,DEPUTADO FEDERAL,ABDIAS DE MELO TEIXEIRA NETO,2976
1111,DEPUTADO FEDERAL,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,124850
1112,DEPUTADO FEDERAL,ISRAEL LIMA BRAGA RUBIS,5465
1113,DEPUTADO FEDERAL,VALERIA INES DO NASCIMENTO,1390
1120,DEPUTADO FEDERAL,ESDRAS CABRAL DE MELO,8577
1122,DEPUTADO FEDERAL,ERICA CLARISSA BORBA CORDEIRO DE MOURA,240511
1123,DEPUTADO FEDERAL,ANDERSON CORREIA DE OLIVEIRA,16128
1133,DEPUTADO FEDERAL,RODRIGO PATRIOTA PIRES,5564
1136,DEPUTADO FEDERAL,LUIZ EDUARDO DE OLIVEIRA,643
1144,DEPUTADO FEDERAL,DAVID BATISTA SANTIAGO,6547
1145,DEPUTADO FEDERAL,MAGDA ALVES DE MELO,1359
1155,DEPUTADO FEDERAL,MARILIA MARIA VIANA DE SOUZA,4138
1161,DEPUTADO FEDERAL,DAIZE MICHELE DE AGUIAR GONÃALVES,39296
1166,DEPUTADO FEDERAL,ERIVANIA MARIA RIBEIRO,3785
1167,DEPUTADO FEDERAL,MARCOS BEZERRA CAMPELO,671
1170,DEPUTADO FEDERAL,MANUELA ANGELO DA SILVA,746
1177,DEPUTADO FEDERAL,ROGERIO LIMA DE LUCCA,4155
1189,DEPUTADO FEDERAL,JOSE FERNANDO VELOSO MONTEIRO,4597
1190,DEPUTADO FEDERAL,FERNANDO MONTEIRO DE ALBUQUERQUE,99751
1199,DEPUTADO FEDERAL,DEBORA MARIA DA FONSECA SOUZA MENEZES,3717
