NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,4087
11,DEPUTADO FEDERAL,PROGRESSISTAS,9519
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,10401
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,58819
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,1928
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,5689
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,558
18,DEPUTADO FEDERAL,Rede Sustentabilidade,766
19,DEPUTADO FEDERAL,Podemos,6185
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,870
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,1179
22,DEPUTADO FEDERAL,Partido Liberal,37737
23,DEPUTADO FEDERAL,Cidadania,2685
27,DEPUTADO FEDERAL,Democracia CristÃ£,411
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,198
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,187
30,DEPUTADO FEDERAL,Partido Novo,6409
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,735
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,835
36,DEPUTADO FEDERAL,AGIR,679
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,2541
43,DEPUTADO FEDERAL,Partido Verde,4250
44,DEPUTADO FEDERAL,UNIÃO BRASIL,13878
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,4770
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,3949
51,DEPUTADO FEDERAL,Patriota,1020
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,18186
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,544
77,DEPUTADO FEDERAL,Solidariedade,1321
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,2399
95,DEPUTADO FEDERAL,VOTO BRANCO,445946
96,DEPUTADO FEDERAL,VOTO NULO,236514
1000,DEPUTADO FEDERAL,DIEGO ALEXSANDER GONÃALO PAULA GARCIA,65416
1001,DEPUTADO FEDERAL,JANAINA NAUMANN,9515
1002,DEPUTADO FEDERAL,SAMIA CRISTINA YEBAHI,383
1007,DEPUTADO FEDERAL,FABIO DE FREITAS COUTO ROSA,222
1010,DEPUTADO FEDERAL,JOSE AROLDO SOUZA MARTINS,61715
1011,DEPUTADO FEDERAL,VALENTIN NADAL DA SILVA,487
1012,DEPUTADO FEDERAL,RODRIGO BAITALA DE MATTOS,972
1017,DEPUTADO FEDERAL,DIEGO ACIR PERUSSOLO REICHELT,688
1020,DEPUTADO FEDERAL,RENATO DA SILVA,36581
1022,DEPUTADO FEDERAL,CARLOS EDUARDO NERES LOURENÃO,44645
1023,DEPUTADO FEDERAL,DANIELA ALZIRA DA SILVA AROUCA MIGUEL,4727
1025,DEPUTADO FEDERAL,VENDERLIM CANUTO VAZ JUNIOR,2137
1030,DEPUTADO FEDERAL,KATIA NASCIMENTO DE SOUZA,1674
1034,DEPUTADO FEDERAL,JOAO DALMACIO PAVINATO,11522
1038,DEPUTADO FEDERAL,CELSO ALMEIDA,7919
1040,DEPUTADO FEDERAL,RENI TERESINHA ZENI DE SOUZA,358
1042,DEPUTADO FEDERAL,MARIA CLARA DINIZ ALMEIDA,2573
1044,DEPUTADO FEDERAL,LUIZ CLAUDIO DA SILVA ALVES,14513
1050,DEPUTADO FEDERAL,JORGE LUIS FAYAD NAZARIO,2719
1055,DEPUTADO FEDERAL,JOEL KRUGER,7612
1057,DEPUTADO FEDERAL,ELIZABETH MACHADO DE SOUZA DE MOURA,106
1060,DEPUTADO FEDERAL,RODRIGO MARTINS PEREIRA,476
1070,DEPUTADO FEDERAL,MARINALDO MACHADO JUNIOR,1769
1077,DEPUTADO FEDERAL,PAULO CESAR ROSSI,6305
1080,DEPUTADO FEDERAL,RAFAEL VENANCIO JUSTINO,527
1088,DEPUTADO FEDERAL,ROZANGELA VIDAL DOS SANTOS,243
1089,DEPUTADO FEDERAL,ALESSANDRA ANDRADE VIEIRA,972
1090,DEPUTADO FEDERAL,SAULO VINICIUS HLADYSZWSKI,3937
1099,DEPUTADO FEDERAL,PAULO ROBERTO DE ALMEIDA,1469
1100,DEPUTADO FEDERAL,JOSE ROBERTO ACIOLLI DOS SANTOS,4213
1101,DEPUTADO FEDERAL,PIERPAOLO PETRUZZIELLO,27215
1102,DEPUTADO FEDERAL,HELTON DE SOUZA SANTOS,624
1103,DEPUTADO FEDERAL,JULIETA MARIA BRAGA CORTES FIALHO DOS REIS,2306
1107,DEPUTADO FEDERAL,ADRIANA APARECIDA PEREIRA DE ARAÃJO,489
1110,DEPUTADO FEDERAL,ADRIANO MARCUS CARIAS MÃHLSTEDT,3580
1111,DEPUTADO FEDERAL,PEDRO DEBONI LUPION MELLO,109043
1112,DEPUTADO FEDERAL,RONALDO JOSÃ BIZOTTO,8606
1120,DEPUTADO FEDERAL,JESSICA RAMOS MORENO,33376
1121,DEPUTADO FEDERAL,SANDRO GREGÃRIO DA SILVA,7117
1122,DEPUTADO FEDERAL,DILCEU JOÃO SPERAFICO,61689
1123,DEPUTADO FEDERAL,LUIZ CARLOS ALBORGHETTI NETO,2529
1124,DEPUTADO FEDERAL,CARLOS ALBERTO FERREIRA SANTOS,1094
1125,DEPUTADO FEDERAL,KEYLA REGINA SANSON DE AVILA,2253
1133,DEPUTADO FEDERAL,CHRISTIANE DE SOUZA YARED,31188
1138,DEPUTADO FEDERAL,EDER FABIANO BORGES ADÃO,9290
1141,DEPUTADO FEDERAL,ROSELI DE FATIMA GONÃALVES DE SOUZA,1105
1143,DEPUTADO FEDERAL,PAULO LEONAR FERREIRA AMADOR,1770
1144,DEPUTADO FEDERAL,PAULO ROBERTO DA COSTA,25899
1147,DEPUTADO FEDERAL,HELOISA IVASZEK JENSEN,2759
1150,DEPUTADO FEDERAL,RAFAEL GUSTAVO LOPES,6208
1151,DEPUTADO FEDERAL,RICARDO JOSÃ MAGALHÃES BARROS,107022
1155,DEPUTADO FEDERAL,MARCO AURELIO RIBEIRO,50538
1160,DEPUTADO FEDERAL,CAROLINA DEDONATTI,1908
1166,DEPUTADO FEDERAL,FABIANA MELISSE DA COSTA TRONENKO,1818
1168,DEPUTADO FEDERAL,GILSON KLEINA,840
1177,DEPUTADO FEDERAL,EVANDRO ROGERIO ROMAN,44689
1180,DEPUTADO FEDERAL,ZILDA ROMERO,5138
1188,DEPUTADO FEDERAL,WANDERLEI CESAR DA SILVA,13907
1190,DEPUTADO FEDERAL,GERSON MAURICIO ZOCCHI,17588
1199,DEPUTADO FEDERAL,SEBASTIÃO HENRIQUE DE MEDEIROS,109344
1200,DEPUTADO FEDERAL,RENATA BORGES BRANCO,2764
1201,DEPUTADO FEDERAL,GEOVANE SANTOS DA SILVA,582
1202,DEPUTADO FEDERAL,MAURICIO DALBARAN DE CASTRO RIBAS,260
1203,DEPUTADO FEDERAL,ROSA MELNIK KOZECHEN,445
1205,DEPUTADO FEDERAL,CARINE ROSSANE PIASSETTA XAVIER,588
1207,DEPUTADO FEDERAL,BRUNO LUIZ CAMARGO DE DEUS,915
1208,DEPUTADO FEDERAL,MARCO ANTÃNIO ABUJAMRA,154
1210,DEPUTADO FEDERAL,GRASIELY TEIXEIRA DE MELLO TAKANO,2116
1211,DEPUTADO FEDERAL,SILENE BEZERRA DE OLIVEIRA MARTINS,558
1212,DEPUTADO FEDERAL,NELTON MIGUEL FRIEDRICH,5173
1213,DEPUTADO FEDERAL,FLÃVIO VILMAR DA SILVA,1027
1214,DEPUTADO FEDERAL,ANTONIO DJALMA BRAGA JUNIOR,917
1221,DEPUTADO FEDERAL,EDIMARA ALESSANDRA DA SILVA,541
1222,DEPUTADO FEDERAL,ROGERIO GALLINA,4719
1223,DEPUTADO FEDERAL,BÃRBARA VIEIRA SABINO DOS SANTOS,576
1230,DEPUTADO FEDERAL,SILENE FARIA SANTOS,721
1233,DEPUTADO FEDERAL,JOSÃ GIULIANGELI DE CASTRO,3253
1234,DEPUTADO FEDERAL,GUSTAVO BONATO FRUET,47565
1235,DEPUTADO FEDERAL,EVONIR RODRIGUES DE SOUZA,980
1236,DEPUTADO FEDERAL,FABIANO RIBEIRO OLIVEIRA,656
1242,DEPUTADO FEDERAL,DANIEL VITOR RAMBO DE OLIVEIRA,491
1243,DEPUTADO FEDERAL,FELIPE MANOEL ALVES SILVA,735
1244,DEPUTADO FEDERAL,EUCLIDES GARCIA DOS SANTOS,498
1255,DEPUTADO FEDERAL,ANTÃNIO JOSÃ DE ALMEIDA SOBRINHO,481
1272,DEPUTADO FEDERAL,JOSÃ PAULO NOVAES,207
1277,DEPUTADO FEDERAL,ELAINE CRISTINA FARIA MARINS,821
1288,DEPUTADO FEDERAL,DORIAN LUIZ PASQUALOTTO,816
1290,DEPUTADO FEDERAL,DEMERSON OLISKOVICZ,287
1292,DEPUTADO FEDERAL,NEIDE NEVES FURTUOZO,118
1299,DEPUTADO FEDERAL,AMANDA GALLEGO DONDA,1279
1300,DEPUTADO FEDERAL,CÃLIO LEANDRO RODRIGUES,4839
1301,DEPUTADO FEDERAL,VALENTINA ROCHA VIRGINIO,8281
1302,DEPUTADO FEDERAL,AUREO NILDO XAVIER DOS SANTOS,585
1303,DEPUTADO FEDERAL,TEREZINHA DOS SANTOS DAIPRAI,11571
1310,DEPUTADO FEDERAL,JOSE CARLOS BECKER DE OLIVEIRA E SILVA,123033
1311,DEPUTADO FEDERAL,DALMEY FERNANDO WERLANG,1923
1312,DEPUTADO FEDERAL,ELTON CARLOS WELTER,21118
1313,DEPUTADO FEDERAL,GLEISI HELENA HOFFMANN,261247
1314,DEPUTADO FEDERAL,JOAQUIM TERTULIANO RIBAS DE ANDRADE,1265
1316,DEPUTADO FEDERAL,IVAN BRIBIS RODRIGUES,1469
1330,DEPUTADO FEDERAL,ENIO JOSÃ VERRI,95172
1331,DEPUTADO FEDERAL,ANTONIO TADEU VENERI,84758
1333,DEPUTADO FEDERAL,ANDERSON FERREIRA DA SILVA,11034
1345,DEPUTADO FEDERAL,HAMILTON LUIZ SERIGHELLI,2612
1350,DEPUTADO FEDERAL,THAYS JULIANNY TEIXEIRA PINTO DOMINGUES BIEBERBACH,4593
1355,DEPUTADO FEDERAL,ANDRÃ FONTOURA NOGUEIRA,6293
1363,DEPUTADO FEDERAL,ANA CAROLINA MOURA MELO DARTORA,130654
1366,DEPUTADO FEDERAL,JACQUELINE PARMIGIANI,3718
1369,DEPUTADO FEDERAL,APARECIDO BIANCHO,5527
1377,DEPUTADO FEDERAL,CELSO MARCOS DOS REIS,332
1380,DEPUTADO FEDERAL,LENIR CANDIDA DE ASSIS,17103
1390,DEPUTADO FEDERAL,ADMILSON DE SOUZA,985
1399,DEPUTADO FEDERAL,ANDERSON TEIXEIRA,6959
1400,DEPUTADO FEDERAL,RONALD REDES MARTINS,365
1401,DEPUTADO FEDERAL,IVANDRO APARECIDO BISCAIA,245
1403,DEPUTADO FEDERAL,ANA MARIA DIAS,94
1406,DEPUTADO FEDERAL,SELMA LUISA DO NASCIMENTO MAROLD,372
1407,DEPUTADO FEDERAL,LUIZ ANTONIO PENTEADO SETTI,395
1408,DEPUTADO FEDERAL,MARILEI LOPES VIEIRA,205
1409,DEPUTADO FEDERAL,DENISE REGINA FERNANDES MEIRELES,50
1410,DEPUTADO FEDERAL,RAMIRO LEITE,673
1412,DEPUTADO FEDERAL,ELISABETH DE SOUZA ROCHA DE MOURA,475
1414,DEPUTADO FEDERAL,MARISA LOBO FRANCO FERREIRA ALVES,19999
1415,DEPUTADO FEDERAL,JOÃO ADIR CARDOSO,208
1417,DEPUTADO FEDERAL,ROSICLER RODRIGUES BEZERRA,46
1420,DEPUTADO FEDERAL,CRISTINA MORCELI BEZERRA DE SOUZA,3846
1421,DEPUTADO FEDERAL,ALBARI DIAS DA SILVA,150
1422,DEPUTADO FEDERAL,JOÃO DE DEUS SANTANA,3047
1423,DEPUTADO FEDERAL,SONIA SILVA DE OLIVEIRA,229
1430,DEPUTADO FEDERAL,ELTON ANDRE WINK TECCHIO,423
1432,DEPUTADO FEDERAL,ALCIR SPERANDIO,311
1433,DEPUTADO FEDERAL,THOMAS RAYMUND KORONTAI,533
1434,DEPUTADO FEDERAL,LILIANE FARIA DE FREITAS,359
1440,DEPUTADO FEDERAL,CLÃO DE LIMA SILVA,413
1441,DEPUTADO FEDERAL,MARIO LUIZ KONOPKA,336
1444,DEPUTADO FEDERAL,WEVIGTON MAGNO RALDI GLATT,937
1450,DEPUTADO FEDERAL,WAGNER SABINO,1749
1451,DEPUTADO FEDERAL,FIORAVANTE IRAN WOLF,224
1455,DEPUTADO FEDERAL,MAGNO ZANELLATO,6150
1456,DEPUTADO FEDERAL,ARNO ROBERTO BOOS,1032
1470,DEPUTADO FEDERAL,ALBERTO JUBANSKI,999
1477,DEPUTADO FEDERAL,CARLOS APARECIDO DE CAMARGO,195
1494,DEPUTADO FEDERAL,JOSÃ ANTONIO RIBEIRO DE CARVALHO,1343
1499,DEPUTADO FEDERAL,GERALDINO BATISTA DO NASCIMENTO,326
1500,DEPUTADO FEDERAL,MANOEL LUCIANO DE ANDRADE,2397
1501,DEPUTADO FEDERAL,SILBERTO CARDOSO,4649
1503,DEPUTADO FEDERAL,FRANCISCA BEATRIZ FREITAS,218
1505,DEPUTADO FEDERAL,ALOISIO JUSTINO DO NASCIMENTO,841
1510,DEPUTADO FEDERAL,ANTONIELA APARECIDA DE OLIVEIRA,1562
1511,DEPUTADO FEDERAL,JOSIEL DE LIMA,6753
1512,DEPUTADO FEDERAL,SERGIO DE SOUZA,105661
1515,DEPUTADO FEDERAL,EULER DE FREITAS SILVA JUNIOR,17246
1516,DEPUTADO FEDERAL,MARILEI DE FATIMA FERREIRA GONCALVES,700
1517,DEPUTADO FEDERAL,CAROLINA DE CASSIA SACA COLOGNESI,1640
1519,DEPUTADO FEDERAL,JOCI CARLOS SILVA,1239
1520,DEPUTADO FEDERAL,JOSELENI DE ARAUJO AGOSTINHO,710
1522,DEPUTADO FEDERAL,ALEX SANTANA,6883
1525,DEPUTADO FEDERAL,JOSE ARNALDO PERON MARTINS,1024
1528,DEPUTADO FEDERAL,SIDNEY VIEIRA GOMES,1039
1530,DEPUTADO FEDERAL,DANIELE APARECIDA FERREIRA,2399
1531,DEPUTADO FEDERAL,FELIXIANO APARECIDO COELHO VILACA,212
1533,DEPUTADO FEDERAL,SERGIO ROBERTO PINHEIRO,12781
1540,DEPUTADO FEDERAL,HERMES PARCIANELLO,87097
1542,DEPUTADO FEDERAL,MOISES ROSA DA CONCEICAO,558
1544,DEPUTADO FEDERAL,ODAIR TEODORO DA SILVA,1543
