NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
CURITIBA,Vereador,10000,ANDERSON DA AFJ,10,REPUBLICANOS,1328
CURITIBA,Vereador,10001,PELÃ LANDY,10,REPUBLICANOS,143
CURITIBA,Vereador,10009,GERSON GRECA GUSSO,10,REPUBLICANOS,296
CURITIBA,Vereador,10010,BARREIRINHA MIL GRAU CWB,10,REPUBLICANOS,326
CURITIBA,Vereador,10022,DRA LILIAM,10,REPUBLICANOS,632
CURITIBA,Vereador,10023,CAROL SALGADO,10,REPUBLICANOS,159
CURITIBA,Vereador,10024,VALMIR CORDEIRO,10,REPUBLICANOS,239
CURITIBA,Vereador,10041,KAROL TARTAS,10,REPUBLICANOS,1040
CURITIBA,Vereador,10052,MESTRE MARCIO,10,REPUBLICANOS,222
CURITIBA,Vereador,10100,TANAKA,10,REPUBLICANOS,2580
CURITIBA,Vereador,10101,VASCO,10,REPUBLICANOS,254
CURITIBA,Vereador,10110,ANDRE NEGÃO DO ESPETINHO,10,REPUBLICANOS,824
CURITIBA,Vereador,10111,PROFESSOR NORCA,10,REPUBLICANOS,616
CURITIBA,Vereador,10123,MERI MARTINS,10,REPUBLICANOS,7938
CURITIBA,Vereador,10150,SUELEN DA FEIRA,10,REPUBLICANOS,392
CURITIBA,Vereador,10153,MAURICIO ARRUDA,10,REPUBLICANOS,1230
CURITIBA,Vereador,10156,PEREIRA,10,REPUBLICANOS,790
CURITIBA,Vereador,10190,CORONEL RIBAS,10,REPUBLICANOS,806
CURITIBA,Vereador,10192,CASSIANO DA SAÃDE,10,REPUBLICANOS,181
CURITIBA,Vereador,10199,HERNANI,10,REPUBLICANOS,6267
CURITIBA,Vereador,10222,ROSE PROTETORA DOS ANIMAIS,10,REPUBLICANOS,196
CURITIBA,Vereador,10300,CAMILA LUZA,10,REPUBLICANOS,108
CURITIBA,Vereador,10305,DR DIEGO TARESZKIEWICZ,10,REPUBLICANOS,674
CURITIBA,Vereador,10316,SILVIO TEIXEIRA,10,REPUBLICANOS,558
CURITIBA,Vereador,10320,MARCIANO ALVES,10,REPUBLICANOS,3578
CURITIBA,Vereador,10321,ZILA CABELEIREIRA,10,REPUBLICANOS,543
CURITIBA,Vereador,10444,LILI DA RECICLAGEM,10,REPUBLICANOS,182
CURITIBA,Vereador,10456,JEFFERSON VIEIRA,10,REPUBLICANOS,214
CURITIBA,Vereador,10500,ELIZEU MUMMRA,10,REPUBLICANOS,392
CURITIBA,Vereador,10506,KOBE,10,REPUBLICANOS,395
CURITIBA,Vereador,10543,FABIO GUIMARÃES,10,REPUBLICANOS,1577
CURITIBA,Vereador,10604,LEANDRO REQUENA,10,REPUBLICANOS,593
CURITIBA,Vereador,10700,GEANE,10,REPUBLICANOS,1185
CURITIBA,Vereador,10755,REGIANE MOREIRA,10,REPUBLICANOS,87
CURITIBA,Vereador,10765,POLICIAL LU LUCAS,10,REPUBLICANOS,220
CURITIBA,Vereador,10777,JADIR SETTI,10,REPUBLICANOS,450
CURITIBA,Vereador,10789,JASSON GOULART,10,REPUBLICANOS,21684
CURITIBA,Vereador,10800,OTTO,10,REPUBLICANOS,46
CURITIBA,Vereador,10900,MARQUINHOS MAGALHÃES,10,REPUBLICANOS,3268
CURITIBA,Vereador,11000,NORI SETO,11,PP,9329
CURITIBA,Vereador,11001,SEDENIR VOZ DA ARENA,11,PP,1771
CURITIBA,Vereador,11011,CHIQUINHO DO UBERABA,11,PP,2126
CURITIBA,Vereador,11022,DALTON RENAN,11,PP,84
CURITIBA,Vereador,11039,ALE PINGUIM,11,PP,75
CURITIBA,Vereador,11041,ALINE BETENHEUSER,11,PP,3119
CURITIBA,Vereador,11077,CIDA LEIT,11,PP,613
CURITIBA,Vereador,11110,VALQUIRIA MELNIK DA TV,11,PP,1768
CURITIBA,Vereador,11111,LUCIANO CARVALHO,11,PP,3877
CURITIBA,Vereador,11121,ALTAYR PACHECO,11,PP,148
CURITIBA,Vereador,11122,PIER,11,PP,8218
CURITIBA,Vereador,11123,MAURO FERREIRA,11,PP,531
CURITIBA,Vereador,11151,PAULO HENRIQUE PUMA,11,PP,1480
CURITIBA,Vereador,11156,CARLA MATOS PROTETORA,11,PP,244
CURITIBA,Vereador,11190,ROBERTO ACIOLLI,11,PP,1219
CURITIBA,Vereador,11200,ARILSON DE FREITAS,11,PP,570
CURITIBA,Vereador,11220,SINDICA DO POVO,11,PP,297
CURITIBA,Vereador,11222,BOBATO,11,PP,4663
CURITIBA,Vereador,11300,EDSON OLIVEIRA,11,PP,1833
CURITIBA,Vereador,11321,NETE SANTANA,11,PP,1365
CURITIBA,Vereador,11333,BATUTA,11,PP,2700
CURITIBA,Vereador,11357,MALU MELLO,11,PP,753
CURITIBA,Vereador,11380,GIVA CURITIBA,11,PP,137
CURITIBA,Vereador,11411,IGOR BIANCHINI,11,PP,56
CURITIBA,Vereador,11444,GI DO ROCK,11,PP,428
