NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,3720
11,DEPUTADO FEDERAL,PROGRESSISTAS,6135
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,25185
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,91245
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,7395
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,6762
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,1282
18,DEPUTADO FEDERAL,Rede Sustentabilidade,1495
19,DEPUTADO FEDERAL,Podemos,2671
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,1799
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,2940
22,DEPUTADO FEDERAL,Partido Liberal,89834
23,DEPUTADO FEDERAL,Cidadania,2619
27,DEPUTADO FEDERAL,Democracia CristÃ£,981
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,1085
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,390
30,DEPUTADO FEDERAL,Partido Novo,21141
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,1856
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,753
36,DEPUTADO FEDERAL,AGIR,1507
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,10598
43,DEPUTADO FEDERAL,Partido Verde,1989
44,DEPUTADO FEDERAL,UNIÃO BRASIL,10152
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,3890
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,12189
51,DEPUTADO FEDERAL,Patriota,3067
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,8877
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,2009
70,DEPUTADO FEDERAL,AVANTE,1130
77,DEPUTADO FEDERAL,Solidariedade,4047
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,1890
95,DEPUTADO FEDERAL,VOTO BRANCO,616380
96,DEPUTADO FEDERAL,VOTO NULO,600046
1000,DEPUTADO FEDERAL,MARCELO BEZERRA CRIVELLA,110450
1001,DEPUTADO FEDERAL,LUIZ ANTONIO RODRIGUES VIEIRA,2254
1002,DEPUTADO FEDERAL,THIAGO DE OLIVEIRA XAVIER ROCHA,3021
1003,DEPUTADO FEDERAL,ARLEAN GOMES BUENO,974
1004,DEPUTADO FEDERAL,PEDRO FERNANDO DE SOUZA ALVES,6286
1006,DEPUTADO FEDERAL,ANTONIO AUGUSTO CRUZ RIBEIRO JUNIOR,3870
1007,DEPUTADO FEDERAL,EDUARDO RIBEIRO DA SILVA,5244
1008,DEPUTADO FEDERAL,ANTONIA FONTENELE DE BRITO,30975
1010,DEPUTADO FEDERAL,LUIS CARLOS GOMES DA SILVA,57670
1011,DEPUTADO FEDERAL,JORGE BRAZ DE OLIVEIRA,59201
1012,DEPUTADO FEDERAL,MARCIO JOSE CORREA ALVES,4397
1013,DEPUTADO FEDERAL,LUCIANA MARTINS CALACA,1321
1015,DEPUTADO FEDERAL,EZEQUIEL DOMINGUES LOURENÃO,2154
