NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
RIO DE JANEIRO,Vereador,10000,PABLO MELLO,10,REPUBLICANOS,3319
RIO DE JANEIRO,Vereador,10001,DRA DENISE CORDEIRO,10,REPUBLICANOS,79
RIO DE JANEIRO,Vereador,10004,MARCOS GATINHO,10,REPUBLICANOS,297
RIO DE JANEIRO,Vereador,10007,EDUARDO BADU,10,REPUBLICANOS,2735
RIO DE JANEIRO,Vereador,10010,MARCUS NAVAL,10,REPUBLICANOS,2545
RIO DE JANEIRO,Vereador,10011,ALEX BRAZ,10,REPUBLICANOS,7557
RIO DE JANEIRO,Vereador,10019,DOUTOR GILDARTE O RODOVIÃRIO,10,REPUBLICANOS,86
RIO DE JANEIRO,Vereador,10020,VÃNIA AMARO,10,REPUBLICANOS,88
RIO DE JANEIRO,Vereador,10024,CUNHA,10,REPUBLICANOS,58
RIO DE JANEIRO,Vereador,10033,SUELY CIGOLINI,10,REPUBLICANOS,46
RIO DE JANEIRO,Vereador,10050,RAFAEL DA EMPADA,10,REPUBLICANOS,708
RIO DE JANEIRO,Vereador,10077,PROFESSOR MARCELO MACEDO,10,REPUBLICANOS,1696
RIO DE JANEIRO,Vereador,10100,AGLES STEIB,10,REPUBLICANOS,438
RIO DE JANEIRO,Vereador,10101,KAIO BRAZÃO FILHO,10,REPUBLICANOS,10074
RIO DE JANEIRO,Vereador,10110,DOUTOR IRAGILDO MACHADO,10,REPUBLICANOS,372
RIO DE JANEIRO,Vereador,10112,SOLANGE DO CHARME,10,REPUBLICANOS,122
RIO DE JANEIRO,Vereador,10123,GAROTINHO,10,REPUBLICANOS,8753
RIO DE JANEIRO,Vereador,10125,ADEILDO VILELA,10,REPUBLICANOS,760
RIO DE JANEIRO,Vereador,10156,RODRIGO XUXA,10,REPUBLICANOS,3012
RIO DE JANEIRO,Vereador,10173,GLAUCIO  MARUJO,10,REPUBLICANOS,227
RIO DE JANEIRO,Vereador,10190,MAJOR ELITUSALÃM,10,REPUBLICANOS,1053
RIO DE JANEIRO,Vereador,10199,BRUNO MARINHO NETO,10,REPUBLICANOS,129
RIO DE JANEIRO,Vereador,10210,LÃGIA ALVES,10,REPUBLICANOS,110
RIO DE JANEIRO,Vereador,10222,DRA. RENATA,10,REPUBLICANOS,6452
RIO DE JANEIRO,Vereador,10223,MILTON BAHIA,10,REPUBLICANOS,553
RIO DE JANEIRO,Vereador,10233,TAÃSE PELOS ANIMAIS,10,REPUBLICANOS,167
RIO DE JANEIRO,Vereador,10300,PASTOR SÃRGIO ALVES,10,REPUBLICANOS,3162
RIO DE JANEIRO,Vereador,10333,BENCARDINO,10,REPUBLICANOS,7663
RIO DE JANEIRO,Vereador,10335,ROBSON TAVARES ,10,REPUBLICANOS,1456
RIO DE JANEIRO,Vereador,10345,LUCIANO GARCIA,10,REPUBLICANOS,2485
RIO DE JANEIRO,Vereador,10394,EMERSON GALDINO,10,REPUBLICANOS,7943
RIO DE JANEIRO,Vereador,10400,THIAGO RABONI,10,REPUBLICANOS,1324
RIO DE JANEIRO,Vereador,10401,PROFESSORA JANAINA RIBEIRO,10,REPUBLICANOS,56
RIO DE JANEIRO,Vereador,10444,GIGI CASTILHO,10,REPUBLICANOS,13492
RIO DE JANEIRO,Vereador,10456,DAVID MARIANO,10,REPUBLICANOS,11584
RIO DE JANEIRO,Vereador,10467,MISSIONÃRIA CARLA MAX,10,REPUBLICANOS,422
RIO DE JANEIRO,Vereador,10476,CARLOS BATISTA,10,REPUBLICANOS,181
RIO DE JANEIRO,Vereador,10477,VIVIANE PETISCO,10,REPUBLICANOS,359
RIO DE JANEIRO,Vereador,10478,GISELE NASCIMENTO,10,REPUBLICANOS,3265
RIO DE JANEIRO,Vereador,10500,GEORGE ITAL,10,REPUBLICANOS,6164
RIO DE JANEIRO,Vereador,10551,MARCELO GREGORY,10,REPUBLICANOS,1734
RIO DE JANEIRO,Vereador,10567,INALDO SILVA,10,REPUBLICANOS,19116
RIO DE JANEIRO,Vereador,10578,MARCELO ARAÃJO,10,REPUBLICANOS,269
RIO DE JANEIRO,Vereador,10700,MARIO GOMES,10,REPUBLICANOS,4492
RIO DE JANEIRO,Vereador,10777,GALÃ FERNANDES,10,REPUBLICANOS,11329
RIO DE JANEIRO,Vereador,10779,ELZIANE RIBEIRO,10,REPUBLICANOS,383
RIO DE JANEIRO,Vereador,10797,REBECA PESTANA,10,REPUBLICANOS,273
RIO DE JANEIRO,Vereador,10800,FERNANDO COLOSSO,10,REPUBLICANOS,433
RIO DE JANEIRO,Vereador,10888,DRA. ALEXANDRA MENEZES,10,REPUBLICANOS,1334
RIO DE JANEIRO,Vereador,10999,TÃNIA BASTOS,10,REPUBLICANOS,20424
RIO DE JANEIRO,Vereador,11000,BERNARDO EGAS,11,PP,12388
RIO DE JANEIRO,Vereador,11001,GM ANDRÃ,11,PP,152
RIO DE JANEIRO,Vereador,11002,IRAPUÃ JEFERSON,11,PP,2429
RIO DE JANEIRO,Vereador,11007,ENFERMEIRA LUCIENE,11,PP,429
RIO DE JANEIRO,Vereador,11009,ADRIANA ANTUNES,11,PP,93
RIO DE JANEIRO,Vereador,11011,KKAIO,11,PP,1002
RIO DE JANEIRO,Vereador,11013,PAOLLA CAITANO,11,PP,215
RIO DE JANEIRO,Vereador,11021,FELIPE MICHEL,11,PP,31773
RIO DE JANEIRO,Vereador,11022,EZEQUIEL OLIVEIRA,11,PP,1358
RIO DE JANEIRO,Vereador,11033,BARB DO SOCIAL,11,PP,64
RIO DE JANEIRO,Vereador,11078,GLEICE CORRÃA,11,PP,101
RIO DE JANEIRO,Vereador,11100,LENIEL BOREL,11,PP,34359
RIO DE JANEIRO,Vereador,11103,FATIMA DAMASCENO,11,PP,36
RIO DE JANEIRO,Vereador,11110,VIVIANE DE ASSIS,11,PP,1010
RIO DE JANEIRO,Vereador,11111,VERA LINS,11,PP,27871
RIO DE JANEIRO,Vereador,11112,CAPITÃO PAULO CHAGAS,11,PP,290
RIO DE JANEIRO,Vereador,11117,PAULINHO KARATE,11,PP,281
RIO DE JANEIRO,Vereador,11120,THALLES EDUARDO,11,PP,432
RIO DE JANEIRO,Vereador,11121,VICTOR TIZIANO,11,PP,745
RIO DE JANEIRO,Vereador,11122,DR MARCELLO AUTRAN,11,PP,292
RIO DE JANEIRO,Vereador,11123,CEZAR SANT ANNA,11,PP,592
RIO DE JANEIRO,Vereador,11127,KAUE ROCHA,11,PP,223
RIO DE JANEIRO,Vereador,11140,DIAS VETERANO,11,PP,523
RIO DE JANEIRO,Vereador,11150,SILVINHO DA  CDD,11,PP,622
RIO DE JANEIRO,Vereador,11155,ERNANI ALVES,11,PP,544
RIO DE JANEIRO,Vereador,11170,JOMARA KNOFF,11,PP,627
RIO DE JANEIRO,Vereador,11177,LUCIANA CAVALCANTE,11,PP,127
RIO DE JANEIRO,Vereador,11192,SILVA SOCORRISTA,11,PP,476
RIO DE JANEIRO,Vereador,11212,MARCELO MONFORT,11,PP,5766
RIO DE JANEIRO,Vereador,11221,CARLINHOS DA MARÃ,11,PP,2315
RIO DE JANEIRO,Vereador,11222,ARI JORGE FAMÃLIA,11,PP,342
RIO DE JANEIRO,Vereador,11232,ABRAÃO,11,PP,316
RIO DE JANEIRO,Vereador,11234,CLAUDIO MARAVILHA,11,PP,599
RIO DE JANEIRO,Vereador,11333,HELA CASTRO,11,PP,206
RIO DE JANEIRO,Vereador,11345,ADRIANA FRANÃA,11,PP,697
RIO DE JANEIRO,Vereador,11355,EDSON PANTERA,11,PP,186
RIO DE JANEIRO,Vereador,11404,DELON DA JUVENTUDE,11,PP,1802
RIO DE JANEIRO,Vereador,11427,SANDRA MARA DOS BICHINHOS,11,PP,649
RIO DE JANEIRO,Vereador,11444,NIDO DA PADARIA,11,PP,619
RIO DE JANEIRO,Vereador,11483,ERIKA CARDOSO,11,PP,123
RIO DE JANEIRO,Vereador,11555,LAYANA ARAÃJO,11,PP,146
RIO DE JANEIRO,Vereador,11631,LEO DO MOA,11,PP,1935
RIO DE JANEIRO,Vereador,11666,VERONICA DA SAÃDE,11,PP,153
RIO DE JANEIRO,Vereador,11762,ELIAS ALVES,11,PP,767
RIO DE JANEIRO,Vereador,11772,DR J SANTANA,11,PP,657
RIO DE JANEIRO,Vereador,11789,GILMAR DA SAUDE,11,PP,289
RIO DE JANEIRO,Vereador,11800,JORGE FELIPPE,11,PP,25844
RIO DE JANEIRO,Vereador,11881,FABIANO ORELHA,11,PP,324
RIO DE JANEIRO,Vereador,11910,WILLIAN DA MARÃ,11,PP,28
RIO DE JANEIRO,Vereador,11911,DR EDIMILSON MIGOWSKI,11,PP,3061
RIO DE JANEIRO,Vereador,11999,ZÃ COLMEIA,11,PP,2942
RIO DE JANEIRO,Vereador,12000,PROFESSOR PEDRO CAVALCANTE,12,PDT,658
RIO DE JANEIRO,Vereador,12003,NILDES SAMPAIO,12,PDT,409
RIO DE JANEIRO,Vereador,12005,VANIA RIBEIRO,12,PDT,168
RIO DE JANEIRO,Vereador,12006,VINICIUS SANCHEZ,12,PDT,298
RIO DE JANEIRO,Vereador,12007,WALACE MEIRELLES,12,PDT,305
RIO DE JANEIRO,Vereador,12010,BEBETO AMIGO DO BAIRRO,12,PDT,231
RIO DE JANEIRO,Vereador,12012,LEO MOTTA,12,PDT,493
RIO DE JANEIRO,Vereador,12013,EMMANUEL VIEGAS,12,PDT,153
RIO DE JANEIRO,Vereador,12018,DIRETORA ANA PAULA,12,PDT,1472
RIO DE JANEIRO,Vereador,12021,LUCAS VASQUES,12,PDT,1010
RIO DE JANEIRO,Vereador,12022,LUCIANE COSTA,12,PDT,2826
RIO DE JANEIRO,Vereador,12030,TALBINHA,12,PDT,317
RIO DE JANEIRO,Vereador,12044,DR CARLOS EDUARDO,12,PDT,13718
RIO DE JANEIRO,Vereador,12047,PROFESSOR MARCELO BARATA,12,PDT,327
RIO DE JANEIRO,Vereador,12058,VIVI ZAMPIERI,12,PDT,607
RIO DE JANEIRO,Vereador,12100,SOL VEGA,12,PDT,111
RIO DE JANEIRO,Vereador,12101,JUJU SOCIAL,12,PDT,2026
RIO DE JANEIRO,Vereador,12111,VALDIR VIRGENS,12,PDT,364
RIO DE JANEIRO,Vereador,12120,ROGERIO DO LAVA JATO,12,PDT,286
RIO DE JANEIRO,Vereador,12121,PROFESSOR BETO MOREIRA,12,PDT,657
RIO DE JANEIRO,Vereador,12123,TONINHO BONDADE,12,PDT,2039
RIO DE JANEIRO,Vereador,12130,PROFESSOR ALEXANDRE,12,PDT,1123
RIO DE JANEIRO,Vereador,12133,ALEX COSTA,12,PDT,498
RIO DE JANEIRO,Vereador,12176,LOLA DA PAZ,12,PDT,326
RIO DE JANEIRO,Vereador,12204,WILTON CLEBER,12,PDT,131
RIO DE JANEIRO,Vereador,12212,EDUARDO ACOSTA,12,PDT,137
RIO DE JANEIRO,Vereador,12222,IVAN FERNANDES,12,PDT,399
RIO DE JANEIRO,Vereador,12238,CELSO JUCÃ,12,PDT,89
RIO DE JANEIRO,Vereador,12240,TIA SONIA,12,PDT,55
RIO DE JANEIRO,Vereador,12283,LUIZA COSTA,12,PDT,272
RIO DE JANEIRO,Vereador,12300,GEOVANI SANTOS,12,PDT,809
RIO DE JANEIRO,Vereador,12321,OKINGA,12,PDT,896
RIO DE JANEIRO,Vereador,12331,JOAO CALANDRINI,12,PDT,72
RIO DE JANEIRO,Vereador,12333,TARZAN DE VILA ISABEL,12,PDT,409
RIO DE JANEIRO,Vereador,12334,BARTOLOMEU FRANÃA,12,PDT,143
RIO DE JANEIRO,Vereador,12336,LUZIENE QUEIROZ,12,PDT,123
RIO DE JANEIRO,Vereador,12345,PEDRO PORTO,12,PDT,4220
RIO DE JANEIRO,Vereador,12347,MARIANA DE SOUZA,12,PDT,1785
RIO DE JANEIRO,Vereador,12369,BARBARA EWERS,12,PDT,263
RIO DE JANEIRO,Vereador,12400,MARCIA NUNES,12,PDT,2906
RIO DE JANEIRO,Vereador,12444,PROFESSORA SONIA GASPAR,12,PDT,985
