NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,1149
11,DEPUTADO FEDERAL,PROGRESSISTAS,4585
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,9758
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,17052
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,719
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,3012
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,203
18,DEPUTADO FEDERAL,Rede Sustentabilidade,217
19,DEPUTADO FEDERAL,Podemos,498
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,196
22,DEPUTADO FEDERAL,Partido Liberal,9696
23,DEPUTADO FEDERAL,Cidadania,673
27,DEPUTADO FEDERAL,Democracia CristÃ£,132
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,317
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,477
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,554
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,2430
43,DEPUTADO FEDERAL,Partido Verde,3353
44,DEPUTADO FEDERAL,UNIÃO BRASIL,3640
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,10370
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,408
51,DEPUTADO FEDERAL,Patriota,284
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,906
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,495
70,DEPUTADO FEDERAL,AVANTE,2525
77,DEPUTADO FEDERAL,Solidariedade,3675
95,DEPUTADO FEDERAL,VOTO BRANCO,110778
96,DEPUTADO FEDERAL,VOTO NULO,105600
1000,DEPUTADO FEDERAL,JOÃO FERNANDES DE MELO NETO,5626
1001,DEPUTADO FEDERAL,MARCIA FARIA MAIA,17696
1010,DEPUTADO FEDERAL,VICTOR HUGO DE ASSIS CRUZ,19571
1011,DEPUTADO FEDERAL,REJANE MARIA FREIRE DOS SANTOS,3258
1033,DEPUTADO FEDERAL,MAX SOUZA SERRÃO,17695
1070,DEPUTADO FEDERAL,EMERSON LIMA MOREIRA DE MENEZES,1013
1077,DEPUTADO FEDERAL,JOSE RENATO DA SILVA,484
1088,DEPUTADO FEDERAL,JAIME CALADO PEREIRA DOS SANTOS,35672
1099,DEPUTADO FEDERAL,MARIA DA SÃUDE DE PAIVA,2260
1100,DEPUTADO FEDERAL,CÃCERO ALVES MARTINS,1412
1111,DEPUTADO FEDERAL,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,83968
1122,DEPUTADO FEDERAL,JERÃNIMO ALVES,9176
1129,DEPUTADO FEDERAL,CLÃUDIA FERREIRA DE FRANÃA OLIVEIRA DE MORAIS,489
1133,DEPUTADO FEDERAL,JOSÃ MARCIONILO DE BARROS LINS NETO,8610
1144,DEPUTADO FEDERAL,MARA REJANE SALDANHA DA COSTA,4159
1170,DEPUTADO FEDERAL,KARLA VERUSKA FERNANDES DA SILVA BARBOSA,6585
1177,DEPUTADO FEDERAL,KÃRICLIS ALVES RIBEIRO,3920
1199,DEPUTADO FEDERAL,INÃCIO BRILHANTE DE ARAÃJO FILHO,30157
1200,DEPUTADO FEDERAL,SERGIO MENEZES FERINO,587
1201,DEPUTADO FEDERAL,EMANUEL DOS SANTOS DE ARAÃJO,1214
1212,DEPUTADO FEDERAL,AILA MARIA RAMALHO CORTEZ DE OLIVEIRA,2343
1213,DEPUTADO FEDERAL,CLAÃDIO HENRIQUE DO NASCIMENTO,418
1214,DEPUTADO FEDERAL,PHOANA RODRIGUES BRITO CAMPELO,132
1222,DEPUTADO FEDERAL,TALLEYRAND CARLOS DE SOUZA,1037
1227,DEPUTADO FEDERAL,WILLIAM MARIBONDO VINAGRE FILHO,151
1234,DEPUTADO FEDERAL,MANOEL MILANO SOARES MAXIMO,6405
1288,DEPUTADO FEDERAL,ROCHELLY ELEONORA SILVA DE BARROS,359
1300,DEPUTADO FEDERAL,ALEXANDRE MOTTA CÃMARA,4615
1311,DEPUTADO FEDERAL,NATÃLIA BASTOS BONAVIDES,157565
1313,DEPUTADO FEDERAL,SAMANDA ALVES DE FREITAS,31240
1333,DEPUTADO FEDERAL,FERNANDO WANDERLEY VARGAS DA SILVA,83481
1400,DEPUTADO FEDERAL,CARLOS GILBERTO DE SOUSA CABRAL,159
1404,DEPUTADO FEDERAL,LUCIANO DO NASCIMENTO COSTA,262
1411,DEPUTADO FEDERAL,MARLENE DOS SANTOS SILVA GERMANO,224
1414,DEPUTADO FEDERAL,ANTONIO VALMIR DA SILVA JUNIOR,1521
1444,DEPUTADO FEDERAL,JEAN CARLOS DA COSTA,591
1455,DEPUTADO FEDERAL,MARIA SOLEDADE SANTANA,333
1484,DEPUTADO FEDERAL,RAYANE MELO DA SILVA,23
1488,DEPUTADO FEDERAL,MELQUIZEDEQUE TAHAN LOPES DE SOUZA BARROS,83
1500,DEPUTADO FEDERAL,MARINA TEODORO DA TRINDADE,8223
1505,DEPUTADO FEDERAL,BORIS PINHEIRO MINORA DE ALMEIDA,443
1511,DEPUTADO FEDERAL,GARIBALDI ALVES FILHO,92753
1515,DEPUTADO FEDERAL,KALINE CRISTIANE FERREIRA DE ANDRADE AMORIM,29697
1516,DEPUTADO FEDERAL,MARIA DO ROSARIO DE OLIVEIRA,1352
1522,DEPUTADO FEDERAL,IRON LUCAS DE OLIVEIRA JÃNIOR,4334
1555,DEPUTADO FEDERAL,PIO X FERNANDES,33695
1567,DEPUTADO FEDERAL,MARIA HELIANE DUARTE COSTA FILGUEIRA,3018
1616,DEPUTADO FEDERAL,ANA CÃLIA SIQUEIRA FERREIRA,620
1818,DEPUTADO FEDERAL,MANOEL SOARES JUNIOR,114
1833,DEPUTADO FEDERAL,JOSÃ ALDENIR DA SILVA,648
1888,DEPUTADO FEDERAL,ANNA KARLA RODRIGUES SANTOS,248
1900,DEPUTADO FEDERAL,CARLOS ANTONIO LIMA DA SILVA,283
1907,DEPUTADO FEDERAL,ALEXANDRE VAGNER DA COSTA SOARES,1092
1910,DEPUTADO FEDERAL,KESIA MAGALI FERNANDES MACHADO RODRIGUES,386
1911,DEPUTADO FEDERAL,GILSON CARLOS MEIRA VERAS,156
1919,DEPUTADO FEDERAL,JOSE OZILDO DOS SANTOS SEGUNDO,2410
1922,DEPUTADO FEDERAL,MARCO ANTÃNIO DA ROCHA TRIGUEIRO,1093
1933,DEPUTADO FEDERAL,SILVIA HELENA DOS SANTOS GOMES,1919
1977,DEPUTADO FEDERAL,ALDAIR DE LUCENA DA SILVA,700
1999,DEPUTADO FEDERAL,CLARISSA PEREIRA MATIAS DA COSTA,5505
2000,DEPUTADO FEDERAL,TASSYO MARDONNY LUCIANO DE ARAÃJO,400
2002,DEPUTADO FEDERAL,GILBERTO MEDEIROS DE MELO,196
2007,DEPUTADO FEDERAL,ALEX DOS SANTOS GARCIA,73
2010,DEPUTADO FEDERAL,ROSANYA MARIA DA SILVA SÃTIRO,744
2011,DEPUTADO FEDERAL,RICARDO HIRARUY ALENCAR GURGEL,527
2020,DEPUTADO FEDERAL,CAMILA DUMAS DAMÃSIO GEORG,129
2022,DEPUTADO FEDERAL,NATHAN ERYCK TORQUATO DE QUEIROZ,12225
2030,DEPUTADO FEDERAL,LUCI DE ARAUJO DANTAS AZEVEDO,83
2200,DEPUTADO FEDERAL,GABRIEL CÃSAR DE OLIVEIRA SIQUEIRA,6909
2210,DEPUTADO FEDERAL,ELIESER GIRÃO MONTEIRO FILHO,76698
2211,DEPUTADO FEDERAL,ROBERTA LACERDA ALMEIDA DE MIRANDA DANTAS,14407
2212,DEPUTADO FEDERAL,VILMA REJANE BATISTA DE ARAÃJO,999
2222,DEPUTADO FEDERAL,JOÃO DA SILVA MAIA,104254
2233,DEPUTADO FEDERAL,CARLA KALINE FERNANDES CÃMARA,2368
2238,DEPUTADO FEDERAL,EVANDRO GONÃALVES DA SILVA JUNIOR,56315
2255,DEPUTADO FEDERAL,ROBINSON MESQUITA DE FARIA,97319
2277,DEPUTADO FEDERAL,JOSUÃ DE OLIVEIRA MOREIRA,1500
2311,DEPUTADO FEDERAL,LEILZA PALMEIRA DE MEDEIROS,812
2323,DEPUTADO FEDERAL,GIDEON ISMAIAS PEREIRA DA SILVA,2830
2700,DEPUTADO FEDERAL,MARCUS VINICIUS SALES RODRIGUES,14
2710,DEPUTADO FEDERAL,JEAN RODRIGUES DO NASCIMENTO,124
2711,DEPUTADO FEDERAL,JOSE VALQUE ANOMINONDAS,126
2722,DEPUTADO FEDERAL,JOSE RICARDO DE MACEDO,207
2724,DEPUTADO FEDERAL,JOSE RICARDO SOUSA DA COSTA,889
