NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,1631
11,DEPUTADO FEDERAL,PROGRESSISTAS,1431
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,1812
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,3809
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,1185
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,1428
18,DEPUTADO FEDERAL,Rede Sustentabilidade,135
19,DEPUTADO FEDERAL,Podemos,993
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,937
22,DEPUTADO FEDERAL,Partido Liberal,5010
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,239
36,DEPUTADO FEDERAL,AGIR,58
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,1135
43,DEPUTADO FEDERAL,Partido Verde,80
44,DEPUTADO FEDERAL,UNIÃO BRASIL,4044
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,139
51,DEPUTADO FEDERAL,Patriota,1581
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,2036
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,64
70,DEPUTADO FEDERAL,AVANTE,829
77,DEPUTADO FEDERAL,Solidariedade,270
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,112
95,DEPUTADO FEDERAL,VOTO BRANCO,34338
96,DEPUTADO FEDERAL,VOTO NULO,21955
1000,DEPUTADO FEDERAL,LAURO FRANCIELE SILVA LOPES,4284
1010,DEPUTADO FEDERAL,LINDOMAR BARBOSA ALVES,14907
1011,DEPUTADO FEDERAL,ANDERSON DA SILVA PEREIRA,18303
1022,DEPUTADO FEDERAL,LEONILDA FRANCISCA MARÃAL,827
1023,DEPUTADO FEDERAL,MONICA DE CASTRO MELO DA SILVA,8690
1033,DEPUTADO FEDERAL,WENCESLAU RUIZ LINHARES NETO,8492
1055,DEPUTADO FEDERAL,MARCELO BARBISAN DE SOUZA,6271
1077,DEPUTADO FEDERAL,LUANA QUINTÃO DE MORAES LEMOS,1002
1088,DEPUTADO FEDERAL,JOAO PAULO PICHEK,3877
1100,DEPUTADO FEDERAL,MARLUCIA DE AGUIAR GOMES DE OLIVEIRA,1026
1101,DEPUTADO FEDERAL,HUDSON DA SILVA MATTOS,3166
1110,DEPUTADO FEDERAL,EDSON JORGE KER,434
1111,DEPUTADO FEDERAL,FRANCISCO CARLOS LONDE RAPOSO JUNIOR,12288
1123,DEPUTADO FEDERAL,SEBASTIÃO FREITAS SILVA,570
1125,DEPUTADO FEDERAL,CLAUDINA JASKE FELBERG,41
1177,DEPUTADO FEDERAL,TÃNIA TEREZINHA AZEVEDO PIRES DA SILVA,324
1206,DEPUTADO FEDERAL,AULENILDA LOPES DE OLIVEIRA,459
1212,DEPUTADO FEDERAL,ALFREDO LAURENT,755
1213,DEPUTADO FEDERAL,ALMIR NARAYAMOGA SURUI,3901
1221,DEPUTADO FEDERAL,ROSANGELA APARECIDA HILARIO,692
1222,DEPUTADO FEDERAL,LUCIENE DA SILVA ALMEIDA,184
1233,DEPUTADO FEDERAL,MANOEL MESSIAS DA SILVA OLIVEIRA,243
1234,DEPUTADO FEDERAL,WENDEON FRANÃA RODOVALHO SILVA,1530
1269,DEPUTADO FEDERAL,LAERCIO DO CARMO RODRIGUES,227
1300,DEPUTADO FEDERAL,GERVANO VICENT,2939
1312,DEPUTADO FEDERAL,ALESSANDRA DA COSTA LUNAS,8416
1313,DEPUTADO FEDERAL,FÃTIMA CLEIDE RODRIGUES DA SILVA,28422
1400,DEPUTADO FEDERAL,JEAN CÃSAR ALVES PAIVA,3165
1406,DEPUTADO FEDERAL,PAULO FIRMINO ROSA JUNIOR,944
1407,DEPUTADO FEDERAL,LUCE VANIA LOPES SILVA LEGAL,883
1410,DEPUTADO FEDERAL,CARLOS ALBERTO CAMPOS DE OLIVEIRA FILHO,621
1414,DEPUTADO FEDERAL,ENEMIAS CARLOS LOPES MUNIZ,353
1415,DEPUTADO FEDERAL,PAULO ROGÃRIO FERREIRA DOS SANTOS,472
1422,DEPUTADO FEDERAL,MARIA CRISTINA LAGASSE BARLOESIUS,1629
1444,DEPUTADO FEDERAL,NILZON LOPES DE OLIVEIRA JUNIOR,4229
1492,DEPUTADO FEDERAL,JULIA DE ALMEIDA,732
1500,DEPUTADO FEDERAL,JIDALIAS DOS ANJOS PINTO,7633
1510,DEPUTADO FEDERAL,SANDRA MARIA DOS SANTOS,716
1511,DEPUTADO FEDERAL,JENIFER D AVILA DA SILVA,251
1512,DEPUTADO FEDERAL,CLAUDIA MAXIMINA RODRIGUES,1095
1515,DEPUTADO FEDERAL,UBERLANDO TIBURTINO LEITE,4856
1516,DEPUTADO FEDERAL,SILMAR REGIS CAMARINI,1313
1522,DEPUTADO FEDERAL,THIAGO LEITE FLORES PEREIRA,23791
1530,DEPUTADO FEDERAL,RAFAEL MAZIERO,3930
1555,DEPUTADO FEDERAL,LUCIO ANTONIO MOSQUINI,48735
