NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
PORTO VELHO,Vereador,10000,DIMAS BARROS,10,REPUBLICANOS,99
PORTO VELHO,Vereador,10007,CLAUDEMIR,10,REPUBLICANOS,79
PORTO VELHO,Vereador,10010,MIRIN,10,REPUBLICANOS,738
PORTO VELHO,Vereador,10077,ENDERSON DO ESPORTE,10,REPUBLICANOS,40
PORTO VELHO,Vereador,10111,DR JUNIOR QUEIROZ,10,REPUBLICANOS,3954
PORTO VELHO,Vereador,10123,IVANILDO SANTOS,10,REPUBLICANOS,2559
PORTO VELHO,Vereador,10128,DAGUIMAR CAVALCANTE,10,REPUBLICANOS,19
PORTO VELHO,Vereador,10140,MÃRCIO OLIVEIRA,10,REPUBLICANOS,2734
PORTO VELHO,Vereador,10143,OZANEIA MONTEIRO,10,REPUBLICANOS,138
PORTO VELHO,Vereador,10190,SARGENTO PEREIRA,10,REPUBLICANOS,111
PORTO VELHO,Vereador,10200,MÃRCIO PACELE,10,REPUBLICANOS,4692
PORTO VELHO,Vereador,10222,FERNANDO SILVA,10,REPUBLICANOS,3634
PORTO VELHO,Vereador,10300,JUNINHO PIPAS,10,REPUBLICANOS,334
PORTO VELHO,Vereador,10333,ANA CLAUDINO,10,REPUBLICANOS,91
PORTO VELHO,Vereador,10400,FERNANDA DURAN,10,REPUBLICANOS,132
PORTO VELHO,Vereador,10444,DAIANA REIS,10,REPUBLICANOS,256
PORTO VELHO,Vereador,10500,ADALTO DE BANDEIRANTES,10,REPUBLICANOS,3303
PORTO VELHO,Vereador,10555,CLEONICE DO MARIANA,10,REPUBLICANOS,159
PORTO VELHO,Vereador,10600,JURANDIR BENGALA,10,REPUBLICANOS,2008
PORTO VELHO,Vereador,10678,JUAREZ TAQUES,10,REPUBLICANOS,150
PORTO VELHO,Vereador,10700,FERNANDA  AMARAL,10,REPUBLICANOS,228
PORTO VELHO,Vereador,10777,PROF VAL BARRETO,10,REPUBLICANOS,298
PORTO VELHO,Vereador,10911,SARGENTO J. FILHO,10,REPUBLICANOS,41
PORTO VELHO,Vereador,11000,PROFESSORA RAQUEL,11,PP,169
PORTO VELHO,Vereador,11007,PEDRO CERO,11,PP,327
PORTO VELHO,Vereador,11011,OFICIAL RAFAEL CAMPANHA,11,PP,706
PORTO VELHO,Vereador,11022,RAYANE DO AGRO,11,PP,621
PORTO VELHO,Vereador,11100,FRAN DO CENTRAL,11,PP,296
PORTO VELHO,Vereador,11101,PASTOR ADMILSON,11,PP,51
PORTO VELHO,Vereador,11111,ALYSON CUIABANO,11,PP,1477
PORTO VELHO,Vereador,11112,DOUGLAS LOPES,11,PP,1850
PORTO VELHO,Vereador,11123,PAULO ORIGA,11,PP,349
PORTO VELHO,Vereador,11190,SARGENTO VITÃRIO,11,PP,244
PORTO VELHO,Vereador,11222,MATHEUS SERRATE,11,PP,1147
PORTO VELHO,Vereador,11233,DAIANE MENESCAL,11,PP,32
PORTO VELHO,Vereador,11234,PEDRO GEOVAR,11,PP,2009
PORTO VELHO,Vereador,11321,TORRES FILHO,11,PP,563
PORTO VELHO,Vereador,11333,MOISES LOPES,11,PP,102
PORTO VELHO,Vereador,11345,DRA ANA PAULA,11,PP,137
PORTO VELHO,Vereador,11411,JOSIAS PERITO,11,PP,1492
PORTO VELHO,Vereador,11444,CARLOS MATIAS,11,PP,179
PORTO VELHO,Vereador,11456,ROSELI BARBOSA,11,PP,318
PORTO VELHO,Vereador,11500,FERNANDO LORAS,11,PP,259
PORTO VELHO,Vereador,11555,TIÃOZINHO DE UNIÃO BANDEIRANTE,11,PP,1045
PORTO VELHO,Vereador,11777,LUCIENE DA TV,11,PP,598
PORTO VELHO,Vereador,12000,BATISTA DE OLIVEIRA,12,PDT,369
PORTO VELHO,Vereador,12001,ROBERTO AMARELINHO MOTOBOY,12,PDT,59
PORTO VELHO,Vereador,12007,PAULINHA DO RESTAURANTE,12,PDT,177
PORTO VELHO,Vereador,12012,JONAS MINELE,12,PDT,1076
PORTO VELHO,Vereador,12015,LEILA REIS,12,PDT,351
PORTO VELHO,Vereador,12030,PATRICIA QUEIROZ,12,PDT,139
PORTO VELHO,Vereador,12100,EZEQUIEL SILVA DA AJERO,12,PDT,889
