NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,1014
11,DEPUTADO FEDERAL,PROGRESSISTAS,974
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,423
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,314
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,64
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,869
18,DEPUTADO FEDERAL,Rede Sustentabilidade,151
19,DEPUTADO FEDERAL,Podemos,310
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,283
22,DEPUTADO FEDERAL,Partido Liberal,637
23,DEPUTADO FEDERAL,Cidadania,108
27,DEPUTADO FEDERAL,Democracia CristÃ£,5
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,264
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,6
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,146
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,358
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,95
43,DEPUTADO FEDERAL,Partido Verde,26
44,DEPUTADO FEDERAL,UNIÃO BRASIL,368
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,90
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,86
51,DEPUTADO FEDERAL,Patriota,40
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,275
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,15
77,DEPUTADO FEDERAL,Solidariedade,43
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,199
95,DEPUTADO FEDERAL,VOTO BRANCO,7055
96,DEPUTADO FEDERAL,VOTO NULO,4738
1000,DEPUTADO FEDERAL,GABRIEL MOTA E SILVA,6520
1010,DEPUTADO FEDERAL,VITOR VICENTE DE PAULA ANANIAS DE JESUS,4833
1011,DEPUTADO FEDERAL,JOHNATHAN PEREIRA DE JESUS,19881
1012,DEPUTADO FEDERAL,ALAYANA KELY DA PONTE CARDOSO,1979
1022,DEPUTADO FEDERAL,ALUIZIO NASCIMENTO DA SILVA,2948
1033,DEPUTADO FEDERAL,MARIA APARECIDA DE LACERDA,1332
1034,DEPUTADO FEDERAL,IRISNAIDE DE SOUZA SILVA,1514
1077,DEPUTADO FEDERAL,STÃLIO DENER DE SOUZA CRUZ,14193
1099,DEPUTADO FEDERAL,JOSÃ FRANCISCO LOPES DE ALBUQUERQUE,14015
1100,DEPUTADO FEDERAL,FRANCISCO EVANGELISTA DOS SANTOS DE ARAUJO,7629
1107,DEPUTADO FEDERAL,JOICY VANIA MIGUEL DA CRUZ SILVA,93
1111,DEPUTADO FEDERAL,JOSE LURENE NUNES AVELINO JUNIOR,2168
1114,DEPUTADO FEDERAL,ANGELA MARIA GOMES PORTELA,6760
1122,DEPUTADO FEDERAL,VALDEILSON DA SILVA,3264
1144,DEPUTADO FEDERAL,JOEL GONZAGA DE SOUZA,1587
1155,DEPUTADO FEDERAL,ADEJALMO MOREIRA ABADI,906
1177,DEPUTADO FEDERAL,MARTA PAULINO DE LIMA,453
1190,DEPUTADO FEDERAL,OVERLAN LOPES ALVES,1555
1200,DEPUTADO FEDERAL,FRANCISCO GLEISON FARIAS RODRIGUES,101
1201,DEPUTADO FEDERAL,KLEBER MEDEIROS DE SOUZA,115
1210,DEPUTADO FEDERAL,ROGERIO MIRANDA,70
1212,DEPUTADO FEDERAL,NARA REJANE DE ABREU ROQUE,341
1221,DEPUTADO FEDERAL,ANGELA MARIA AMBURGO CARVALHO,89
1224,DEPUTADO FEDERAL,VALDIMAR DA SILVA OLIVEIRA,9
1229,DEPUTADO FEDERAL,THALITA GONZAGA CHEUSA,41
1234,DEPUTADO FEDERAL,FLÃVIO PÃRCIO ZACHER,106
1240,DEPUTADO FEDERAL,JAMIRO ALVES DA SILVA,27
1310,DEPUTADO FEDERAL,SIVALDO SOUZA SILVA,279
1313,DEPUTADO FEDERAL,ANTONIA PEDROSA VIEIRA,1920
1323,DEPUTADO FEDERAL,ROMULO WILSON VACA MARQUES,25
1400,DEPUTADO FEDERAL,BENEDITO GOMES DA SILVA,161
1411,DEPUTADO FEDERAL,ORIB ZIEDSON PEREIRA GAMA,97
1414,DEPUTADO FEDERAL,JACKELINE MARIA LIMA DE OLIVEIRA,59
1422,DEPUTADO FEDERAL,SAIONARA RIBEIRO DO CARMO RODRIGUES,440
1425,DEPUTADO FEDERAL,JOSE EVANDRO MOREIRA,15
1441,DEPUTADO FEDERAL,WELLINGTON IAGO MATTE PATRICIO,19
1444,DEPUTADO FEDERAL,GELB PEREIRA,194
1445,DEPUTADO FEDERAL,LUPEDRO ABEL MORAES,74
1477,DEPUTADO FEDERAL,CASSIA REJANE DO NASCIMENTO,167
1500,DEPUTADO FEDERAL,FRUTUOSO LINS CAVALCANTE NETO,3913
