NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,7347
11,DEPUTADO FEDERAL,PROGRESSISTAS,14193
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,19412
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,95160
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,2348
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,10461
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,772
18,DEPUTADO FEDERAL,Rede Sustentabilidade,759
19,DEPUTADO FEDERAL,Podemos,2333
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,1156
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,1091
22,DEPUTADO FEDERAL,Partido Liberal,37369
23,DEPUTADO FEDERAL,Cidadania,3521
27,DEPUTADO FEDERAL,Democracia CristÃ£,148
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,106
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,167
30,DEPUTADO FEDERAL,Partido Novo,6516
36,DEPUTADO FEDERAL,AGIR,319
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,2850
43,DEPUTADO FEDERAL,Partido Verde,884
44,DEPUTADO FEDERAL,UNIÃO BRASIL,3425
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,12157
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,4273
51,DEPUTADO FEDERAL,Patriota,709
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,6595
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,1510
70,DEPUTADO FEDERAL,AVANTE,435
77,DEPUTADO FEDERAL,Solidariedade,786
80,DEPUTADO FEDERAL,Unidade Popular,176
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,486
95,DEPUTADO FEDERAL,VOTO BRANCO,521905
96,DEPUTADO FEDERAL,VOTO NULO,199593
1000,DEPUTADO FEDERAL,CARLOS ALBERTO BENEDETTI,10380
1001,DEPUTADO FEDERAL,ANAXIMANDRO ZAMBONATTO PEZZIN,7023
1002,DEPUTADO FEDERAL,LUCIANO FERNANDES CAZORLA,1596
1003,DEPUTADO FEDERAL,CLAUDIA LUIZ DOS SANTOS,1132
1005,DEPUTADO FEDERAL,NEVTON DA SILVA GOMES,1272
1007,DEPUTADO FEDERAL,LINEKER PERRET,1110
1010,DEPUTADO FEDERAL,ANTONIO CARLOS GOMES DA SILVA,102363
1011,DEPUTADO FEDERAL,JOVANI DOS SANTOS DA SILVA,4606
1012,DEPUTADO FEDERAL,FRANCIANE ABADE BAYER MULLER,40555
1014,DEPUTADO FEDERAL,RONALDO NOGUEIRA DE OLIVEIRA,37932
1017,DEPUTADO FEDERAL,SABRINA EMMEL,593
1020,DEPUTADO FEDERAL,MARCO ANTÃNIO DA ROSA MARCHAND,4015
1021,DEPUTADO FEDERAL,ANA VALESCA BASTOS HOERLLE,418
1022,DEPUTADO FEDERAL,LUCIANO LORENZINI ZUCCO,259023
1023,DEPUTADO FEDERAL,MARISLANE DAPPER,471
1026,DEPUTADO FEDERAL,DANIEL SOUZA DOS SANTOS,8051
1029,DEPUTADO FEDERAL,PAULO ARTUR RITZEL,1089
1030,DEPUTADO FEDERAL,NERISSON LUIZ DOS SANTOS OLIVEIRA,4023
1033,DEPUTADO FEDERAL,CÃSAR EDUARDO BONFANTI,2528
1040,DEPUTADO FEDERAL,MARLI RIBEIRO SERPA,7202
1044,DEPUTADO FEDERAL,LETICIA BONASSINA,3016
1050,DEPUTADO FEDERAL,MÃRCIO PEREIRA FEIJÃ,2414
1055,DEPUTADO FEDERAL,MARCELO DE BRUM DA COSTA,24684
1056,DEPUTADO FEDERAL,SANDRA MARIA CAPRA POLETTO,344
1060,DEPUTADO FEDERAL,GISELI CONSUELO SANTOS DE OLIVEIRA,818
1070,DEPUTADO FEDERAL,EDUARDO KELLER,2254
1072,DEPUTADO FEDERAL,REGINALDO MORAIS DA SILVA,2133
1077,DEPUTADO FEDERAL,JOSÃ OSÃAS DA COSTA,4276
1088,DEPUTADO FEDERAL,VALDECIR PAULUS,2801
1089,DEPUTADO FEDERAL,ARTUR WAGNER AURÃLIO,2301
1092,DEPUTADO FEDERAL,ROSANA METRANGOLO,790
1099,DEPUTADO FEDERAL,JOSÃ LUÃS RODRIGUES DE FREITAS ISERHARD,970
1100,DEPUTADO FEDERAL,MARCOS DIAS FERREIRA,2243
