NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
PORTO ALEGRE,Vereador,10000,GILVANI O GRINGO,10,REPUBLICANOS,7891
PORTO ALEGRE,Vereador,10001,FELIPE PELO AUTISMO,10,REPUBLICANOS,707
PORTO ALEGRE,Vereador,10003,PROFESSOR WILLY SCHNEIDER,10,REPUBLICANOS,434
PORTO ALEGRE,Vereador,10010,DÃIA NAGELSTEIN,10,REPUBLICANOS,1197
PORTO ALEGRE,Vereador,10029,RUDNEI E COLETIVO DA SAÃDE,10,REPUBLICANOS,560
PORTO ALEGRE,Vereador,10058,GILMAR DRAGO,10,REPUBLICANOS,437
PORTO ALEGRE,Vereador,10060,GISELI CONSUELO,10,REPUBLICANOS,426
PORTO ALEGRE,Vereador,10100,MARI PIMENTEL,10,REPUBLICANOS,3112
PORTO ALEGRE,Vereador,10110,NERI GOMES,10,REPUBLICANOS,577
PORTO ALEGRE,Vereador,10113,JOÃO CHAVEIRO,10,REPUBLICANOS,569
PORTO ALEGRE,Vereador,10123,LÃO DA LOMBA,10,REPUBLICANOS,1510
PORTO ALEGRE,Vereador,10133,DÃBORA GARCIA,10,REPUBLICANOS,1998
PORTO ALEGRE,Vereador,10180,BIANCA FEIJÃ,10,REPUBLICANOS,81
PORTO ALEGRE,Vereador,10190,CORONEL QUADROS,10,REPUBLICANOS,572
PORTO ALEGRE,Vereador,10200,EDSON CT CONSELHEIRO,10,REPUBLICANOS,823
PORTO ALEGRE,Vereador,10209,MARCIA BARBOZA,10,REPUBLICANOS,295
PORTO ALEGRE,Vereador,10210,ENZO BRETOS,10,REPUBLICANOS,752
PORTO ALEGRE,Vereador,10222,ROGÃRIO RODRIGUES,10,REPUBLICANOS,1148
PORTO ALEGRE,Vereador,10300,CARLO CAROTENUTO,10,REPUBLICANOS,4644
PORTO ALEGRE,Vereador,10303,KAKA,10,REPUBLICANOS,211
PORTO ALEGRE,Vereador,10321,DR DEINER SALOME GOULART,10,REPUBLICANOS,789
PORTO ALEGRE,Vereador,10400,ANGENOR CAMARGO,10,REPUBLICANOS,479
PORTO ALEGRE,Vereador,10444,NADIA PORTO,10,REPUBLICANOS,169
PORTO ALEGRE,Vereador,10470,JACKSON CABELEIREIRO,10,REPUBLICANOS,1619
PORTO ALEGRE,Vereador,10500,PROFESSORA VIVI,10,REPUBLICANOS,256
