NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,3532
11,DEPUTADO FEDERAL,PROGRESSISTAS,6729
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,8403
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,40810
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,3306
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,10107
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,648
18,DEPUTADO FEDERAL,Rede Sustentabilidade,445
19,DEPUTADO FEDERAL,Podemos,3783
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,867
22,DEPUTADO FEDERAL,Partido Liberal,38896
23,DEPUTADO FEDERAL,Cidadania,2226
27,DEPUTADO FEDERAL,Democracia CristÃ£,599
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,365
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,124
30,DEPUTADO FEDERAL,Partido Novo,8177
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,3195
43,DEPUTADO FEDERAL,Partido Verde,334
44,DEPUTADO FEDERAL,UNIÃO BRASIL,6323
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,4607
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,3879
51,DEPUTADO FEDERAL,Patriota,1248
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,6887
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,892
70,DEPUTADO FEDERAL,AVANTE,298
77,DEPUTADO FEDERAL,Solidariedade,771
80,DEPUTADO FEDERAL,Unidade Popular,178
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,298
95,DEPUTADO FEDERAL,VOTO BRANCO,321436
96,DEPUTADO FEDERAL,VOTO NULO,170858
1000,DEPUTADO FEDERAL,ONIR MOCELLIN,23541
1007,DEPUTADO FEDERAL,PAULO HENRIQUE NOBREGA CORAL,1164
1010,DEPUTADO FEDERAL,CLAUDINEI MARQUES,39043
1012,DEPUTADO FEDERAL,ALMIR FERREIRA BITENCOURT,2406
1015,DEPUTADO FEDERAL,ROGÃRIO DOS SANTOS,3368
