NM_MUNICIPIO,DS_CARGO,NR_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
FLORIANOPOLIS,Vereador,10000,COMANDANTE BRASIL,10,REPUBLICANOS,1225
FLORIANOPOLIS,Vereador,10010,LUCIANO CHAPLIN,10,REPUBLICANOS,696
FLORIANOPOLIS,Vereador,10012,PASTORA BRISA,10,REPUBLICANOS,39
FLORIANOPOLIS,Vereador,10017,NADIR ALVES,10,REPUBLICANOS,73
FLORIANOPOLIS,Vereador,10024,RITA FEIJÃO,10,REPUBLICANOS,52
FLORIANOPOLIS,Vereador,10025,LUANA FARIAS,10,REPUBLICANOS,220
FLORIANOPOLIS,Vereador,10027,EDSON OSMAR PIRES,10,REPUBLICANOS,354
FLORIANOPOLIS,Vereador,10101,BÃ DO ESTREITO,10,REPUBLICANOS,342
FLORIANOPOLIS,Vereador,10111,ADRIANINHO,10,REPUBLICANOS,4641
FLORIANOPOLIS,Vereador,10123,CLAUDINEI MARQUES,10,REPUBLICANOS,3110
FLORIANOPOLIS,Vereador,10137,SIMONE TOMKELSKI,10,REPUBLICANOS,35
FLORIANOPOLIS,Vereador,10190,SARGENTO MATTOS,10,REPUBLICANOS,559
FLORIANOPOLIS,Vereador,10200,JEAN SÃ ALEGRIA,10,REPUBLICANOS,750
FLORIANOPOLIS,Vereador,10222,WAGNER PEH,10,REPUBLICANOS,599
FLORIANOPOLIS,Vereador,10223,GUTO CORREIA,10,REPUBLICANOS,503
FLORIANOPOLIS,Vereador,10333,DALTON SANTOS,10,REPUBLICANOS,969
FLORIANOPOLIS,Vereador,10369,ANTÃNIO MARCOS,10,REPUBLICANOS,118
FLORIANOPOLIS,Vereador,10444,MARTINA DOMINGUES,10,REPUBLICANOS,42
FLORIANOPOLIS,Vereador,10456,GENISON BARBOSA,10,REPUBLICANOS,85
FLORIANOPOLIS,Vereador,10477,DELISE STAKE,10,REPUBLICANOS,9
FLORIANOPOLIS,Vereador,10500,LEANDRO LIMA,10,REPUBLICANOS,1427
FLORIANOPOLIS,Vereador,10555,NENI,10,REPUBLICANOS,1187
FLORIANOPOLIS,Vereador,10690,JOÃO LUIZ DA BEGA,10,REPUBLICANOS,2617
FLORIANOPOLIS,Vereador,10777,LUIZ VOLNI,10,REPUBLICANOS,758
FLORIANOPOLIS,Vereador,11000,DOMINGOS ZANCANARO,11,PP,883
FLORIANOPOLIS,Vereador,11007,PRISCILA REJANE,11,PP,129
FLORIANOPOLIS,Vereador,11011,FERNANDO DIVO,11,PP,519
FLORIANOPOLIS,Vereador,11012,SANDRO GALINHO,11,PP,292
FLORIANOPOLIS,Vereador,11022,FLÃVIO SOBIERAJSKI,11,PP,153
FLORIANOPOLIS,Vereador,11033,LUCAS COELHO,11,PP,47
FLORIANOPOLIS,Vereador,11066,MAURO PIRATA,11,PP,79
FLORIANOPOLIS,Vereador,11111,ROMEU POMPÃLIO,11,PP,1124
FLORIANOPOLIS,Vereador,11122,JU POLLI LOBO,11,PP,215
FLORIANOPOLIS,Vereador,11123,RAQUEL AFONSO,11,PP,147
FLORIANOPOLIS,Vereador,11133,TEFINHA,11,PP,124
FLORIANOPOLIS,Vereador,11190,VINICIUS PARENTE,11,PP,233
FLORIANOPOLIS,Vereador,11211,DIEGO BARÃO DA NAVALHA,11,PP,221
FLORIANOPOLIS,Vereador,11222,GENIVALDO,11,PP,155
FLORIANOPOLIS,Vereador,11234,JOÃO GANDOLFI,11,PP,438
FLORIANOPOLIS,Vereador,11321,BETO VALLE PEREIRA,11,PP,170
FLORIANOPOLIS,Vereador,11333,RODRIGO CÃSSIO,11,PP,1703
FLORIANOPOLIS,Vereador,11444,SANDRINHO PENTEADO,11,PP,94
FLORIANOPOLIS,Vereador,11500,MAESTRO ZEZINHO,11,PP,146
FLORIANOPOLIS,Vereador,11555,FÃTIMA LAUREANO,11,PP,351
FLORIANOPOLIS,Vereador,11600,PROFESSORA MÃRCIA KROEFF,11,PP,261
FLORIANOPOLIS,Vereador,11711,PROFESSORA ALINE CAMARGO,11,PP,207
FLORIANOPOLIS,Vereador,11777,SIMONE ANDRADE,11,PP,331
FLORIANOPOLIS,Vereador,11888,DJENIFER CARVALHO,11,PP,189
FLORIANOPOLIS,Vereador,12000,VINI DE LUCA,12,PDT,826
FLORIANOPOLIS,Vereador,12012,TIAGO SILVA,12,PDT,2483
FLORIANOPOLIS,Vereador,12015,ANALTO ROMALINO (PEREBA),12,PDT,129
FLORIANOPOLIS,Vereador,12039,FAGNER (ÃNDIO),12,PDT,8
FLORIANOPOLIS,Vereador,12056,ANDRÃ XAVIER,12,PDT,277
FLORIANOPOLIS,Vereador,12111,RAFAEL CARDOSO,12,PDT,57
FLORIANOPOLIS,Vereador,12112,THERESA FANTINI,12,PDT,228
FLORIANOPOLIS,Vereador,12121,RENAN FREITAS,12,PDT,25
FLORIANOPOLIS,Vereador,12122,PROFESSORA SUSANA,12,PDT,132
FLORIANOPOLIS,Vereador,12200,KEVEN LEAL (MC KL),12,PDT,63
FLORIANOPOLIS,Vereador,12222,SANDRO SILVEIRA,12,PDT,856
FLORIANOPOLIS,Vereador,12306,SANDRA BIAN,12,PDT,19
FLORIANOPOLIS,Vereador,12333,ALICE GONÃALVES,12,PDT,300
FLORIANOPOLIS,Vereador,12345,CLAUDIO (COLETIVO CATARINENSE),12,PDT,320
FLORIANOPOLIS,Vereador,12401,NATHAN SILVA,12,PDT,239
FLORIANOPOLIS,Vereador,12444,IVAN DÃRIO,12,PDT,49
FLORIANOPOLIS,Vereador,12555,ZETE,12,PDT,82
