NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,4009
11,DEPUTADO FEDERAL,PROGRESSISTAS,4633
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,4206
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,11589
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,396
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,628
18,DEPUTADO FEDERAL,Rede Sustentabilidade,207
19,DEPUTADO FEDERAL,Podemos,874
22,DEPUTADO FEDERAL,Partido Liberal,6163
23,DEPUTADO FEDERAL,Cidadania,1532
27,DEPUTADO FEDERAL,Democracia CristÃ£,161
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,710
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,2297
43,DEPUTADO FEDERAL,Partido Verde,1640
44,DEPUTADO FEDERAL,UNIÃO BRASIL,3361
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,775
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,1176
51,DEPUTADO FEDERAL,Patriota,404
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,5081
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,176
77,DEPUTADO FEDERAL,Solidariedade,357
80,DEPUTADO FEDERAL,Unidade Popular,68
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,77
95,DEPUTADO FEDERAL,VOTO BRANCO,82303
96,DEPUTADO FEDERAL,VOTO NULO,84983
1000,DEPUTADO FEDERAL,JONY MARCOS DE SOUZA ARAUJO,3091
1007,DEPUTADO FEDERAL,BYRON VIRGILIO DOS SANTOS SILVA,5288
1010,DEPUTADO FEDERAL,JOSE HELENO DA SILVA,28173
1011,DEPUTADO FEDERAL,ADRIANA BATISTA DOS SANTOS,523
1022,DEPUTADO FEDERAL,ANDRE DAVID CALDAS ROSA RODRIGUES,31597
1023,DEPUTADO FEDERAL,ALECSANDRO DE MELO,16203
1030,DEPUTADO FEDERAL,ROSANGELA ROSA REIS,289
1033,DEPUTADO FEDERAL,LIVIA DOS SANTOS MENEZES,2754
1077,DEPUTADO FEDERAL,LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,71831
1101,DEPUTADO FEDERAL,ILANI PAULINA DA SILVA,1408
1111,DEPUTADO FEDERAL,SAMUEL ALVES BARRETO,38151
1112,DEPUTADO FEDERAL,SIMONE SILVA FEITOZA,895
1122,DEPUTADO FEDERAL,ANTONIO DOS SANTOS,15421
1125,DEPUTADO FEDERAL,JOSÃ LUCIANO NASCIMENTO LIMA,10192
1133,DEPUTADO FEDERAL,JOSE THIAGO ALVES DE CARVALHO,45698
1155,DEPUTADO FEDERAL,TATIANE SANTOS DO CARMO,1903
1177,DEPUTADO FEDERAL,GABRIELA CESPEDES PASSOS,4277
1199,DEPUTADO FEDERAL,WASHINGTON STECANELA CERQUEIRA,13422
1200,DEPUTADO FEDERAL,ASTROGILDO VIEIRA SANTOS,4337
1201,DEPUTADO FEDERAL,ANTONIO BITTENCOURT JUNIOR,1788
1210,DEPUTADO FEDERAL,EDSON LUIZ CAMPOS DA SILVA,431
1212,DEPUTADO FEDERAL,LUIZ ROBERTO DANTAS DE SANTANA,35564
1213,DEPUTADO FEDERAL,CRISTIANO DOS SANTOS,461
