NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,17098
11,DEPUTADO FEDERAL,PROGRESSISTAS,9539
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,38160
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,390734
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,3205
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,38984
16,DEPUTADO FEDERAL,Partido Socialista dos Trabalhadores Unificado,2568
18,DEPUTADO FEDERAL,Rede Sustentabilidade,3676
19,DEPUTADO FEDERAL,Podemos,6644
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,5399
21,DEPUTADO FEDERAL,Partido Comunista Brasileiro,5041
22,DEPUTADO FEDERAL,Partido Liberal,209669
23,DEPUTADO FEDERAL,Cidadania,12162
27,DEPUTADO FEDERAL,Democracia CristÃ£,1103
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,2167
29,DEPUTADO FEDERAL,Partido da Causa OperÃ¡ria,1744
30,DEPUTADO FEDERAL,Partido Novo,62112
33,DEPUTADO FEDERAL,Partido da MobilizaÃ§Ã£o Nacional,1564
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,1849
36,DEPUTADO FEDERAL,AGIR,1219
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,27503
43,DEPUTADO FEDERAL,Partido Verde,5399
44,DEPUTADO FEDERAL,UNIÃO BRASIL,9025
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,57612
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,20690
51,DEPUTADO FEDERAL,Patriota,2157
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,11683
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,6576
70,DEPUTADO FEDERAL,AVANTE,1368
77,DEPUTADO FEDERAL,Solidariedade,3401
80,DEPUTADO FEDERAL,Unidade Popular,3125
90,DEPUTADO FEDERAL,Partido Republicano da Ordem Social,1284
95,DEPUTADO FEDERAL,VOTO BRANCO,1926945
96,DEPUTADO FEDERAL,VOTO NULO,1461296
1000,DEPUTADO FEDERAL,CELSO UBIRAJARA RUSSOMANNO,305520
1001,DEPUTADO FEDERAL,DANIEL FERNANDO DE SOUZA CAMILO,4120
1002,DEPUTADO FEDERAL,HELIO ALVES RIBEIRO,18711
1003,DEPUTADO FEDERAL,VAGNER JOSE DOS SANTOS,390
1004,DEPUTADO FEDERAL,CLAUDIA CASTALDELLI CORRÃA,2073
1005,DEPUTADO FEDERAL,RENATO TAROCO,20897
1006,DEPUTADO FEDERAL,RENATA SIMONETTI ALVES MARCHETTI,368
1007,DEPUTADO FEDERAL,LEANDRO OSVALDO SANTOS MEIRELES DA FONSECA,4069
1008,DEPUTADO FEDERAL,GILBERTO BENTO,4018
1010,DEPUTADO FEDERAL,MARCOS ANTONIO PEREIRA,231626
1011,DEPUTADO FEDERAL,RICARDO IZAR JUNIOR,70142
1012,DEPUTADO FEDERAL,GLAUCIA BERENICE SANTOS DA SILVA,16664
1013,DEPUTADO FEDERAL,DOUGLAS MELO DE SOUSA,1571
1014,DEPUTADO FEDERAL,SIRLEI SIKORSKI,473
1015,DEPUTADO FEDERAL,DANIEL MOTTA DE OLIVEIRA,1607
1016,DEPUTADO FEDERAL,CICERO DE AQUINO,4897
1017,DEPUTADO FEDERAL,EMERSON APARECIDO DOS SANTOS,718
1018,DEPUTADO FEDERAL,GUILHERME PIAI SILVA FILIZZOLA,63190
1019,DEPUTADO FEDERAL,PAULO SERGIO DA ROCHA,4075
1020,DEPUTADO FEDERAL,LUIS CLAUDIO FERNANDES MIRANDA,8931
1021,DEPUTADO FEDERAL,FABIO ALVARENGA QUINTINO,6538
1022,DEPUTADO FEDERAL,MARIA DO PARTO MENDES ROSAS,94787
1023,DEPUTADO FEDERAL,HENRIQUE STEIN SCIASCIO,47056
1024,DEPUTADO FEDERAL,LUCIANA DA SILVA,333
1025,DEPUTADO FEDERAL,CARLOS MINORU ISHIKO,1086
1026,DEPUTADO FEDERAL,ADILSON DA SILVA ROZA FILHO,143
1027,DEPUTADO FEDERAL,PIERPAOLO PAGANO,524
1028,DEPUTADO FEDERAL,DOMINGOS LUCIO FLEMING GALILEU DE VASCONCELOS,2174
1029,DEPUTADO FEDERAL,JONATHAN FABIO NASCIMENTO SOUZA,245
1030,DEPUTADO FEDERAL,PAULO EDUARDO SEADE SERRA,5826
1032,DEPUTADO FEDERAL,DANUTTA DE FIGUEIREDO FALCÃO ROSSETO,4730
1033,DEPUTADO FEDERAL,JONATAN SANTOS DE OLIVEIRA,4187
1034,DEPUTADO FEDERAL,MARIA APARECIDA FIRMINO,718
1035,DEPUTADO FEDERAL,CRISLAINE MARTINS PINHEIRO DA PAZ,507
1037,DEPUTADO FEDERAL,TANIA MARA DA CRUZ TONET,1926
1038,DEPUTADO FEDERAL,EDGARD MARCOS GASPAR,1767
1040,DEPUTADO FEDERAL,GUALTER DE ALMEIDA AMADO,4318
1041,DEPUTADO FEDERAL,ANDRÃIA ALVES DO AMARAL,578
1044,DEPUTADO FEDERAL,RITA DE CASSIA TRINCA PASSOS,57800
1045,DEPUTADO FEDERAL,FERNANDA DA SILVA ALVES,2605
1047,DEPUTADO FEDERAL,LEONICE LEONCIA DOS SANTOS,407
1050,DEPUTADO FEDERAL,ARTHUR MARIO PINHEIRO MACHADO,6600
1051,DEPUTADO FEDERAL,CARLOS EDUARDO MARCHESI TROMBINI,3046
1052,DEPUTADO FEDERAL,FABIO SIQUEIRA DIAS,1257
1055,DEPUTADO FEDERAL,MILTON VIEIRA PINTO,98557
1056,DEPUTADO FEDERAL,ROBERTO PIRES,3364
1060,DEPUTADO FEDERAL,IVANILDO DOS SANTOS,1728
1063,DEPUTADO FEDERAL,ESNAR DONIZETI RIBEIRO LUZ,14219
1064,DEPUTADO FEDERAL,BENEDITO APARECIDO DA SILVA,9651
1066,DEPUTADO FEDERAL,ELIAS BONFIM AGUIAR DE SOUZA,5789
1069,DEPUTADO FEDERAL,BARBARA HUYARA DE OLIVEIRA VICTORIANO KOGOS,789
1070,DEPUTADO FEDERAL,DOUGLAS GARCIA BISPO DOS SANTOS,24549
1075,DEPUTADO FEDERAL,FILIPE MANSINHO DE LIMA,217
1077,DEPUTADO FEDERAL,ADRIANO DA COSTA E SILVA,9624
1078,DEPUTADO FEDERAL,BENEDITO ROBERTO ALVES FERREIRA,92566
1079,DEPUTADO FEDERAL,VANIA DA PAIXÃO LANA ONWUDIWE,787
1080,DEPUTADO FEDERAL,MAURREN HIGA MAGGI,3385
1082,DEPUTADO FEDERAL,ELAINE CRISTINA DO NASCIMENTO,3185
1084,DEPUTADO FEDERAL,RENATA BANHARA PEIXOTO MARCONDES,2494
1085,DEPUTADO FEDERAL,VINICIUS RAPOZO DE CARVALHO,113009
1087,DEPUTADO FEDERAL,ELIANE DE SOUSA ALVES MACHADO,93305
1088,DEPUTADO FEDERAL,DEBORA FARIAS CABRAL,746
1089,DEPUTADO FEDERAL,NIVALDO DOS SANTOS,3354
1095,DEPUTADO FEDERAL,ADEMILSON DA CONCEIÃÃO CUNHA,634
1096,DEPUTADO FEDERAL,MARCELO APARECIDO DA SILVA,154
1097,DEPUTADO FEDERAL,FAUSTO ALVES RAMALHO,951
1098,DEPUTADO FEDERAL,ELAINE APARECIDA PEREIRA GOMES,1562
1099,DEPUTADO FEDERAL,ROBERTO ALVES DE LUCENA,69341
1100,DEPUTADO FEDERAL,MANOEL MAURICIO SILVA NEVES,129731
1101,DEPUTADO FEDERAL,SOLANGE DE CÃSSIA MORAES,8150
1102,DEPUTADO FEDERAL,SAMUEL DE OLIVEIRA BARBOSA,2004
1103,DEPUTADO FEDERAL,ROGERIA MARIA DE FREITAS,199
1105,DEPUTADO FEDERAL,MARCELO MARQUES DE SOUZA,2225
1107,DEPUTADO FEDERAL,SAMUEL VITOR PEREIRA BERNARDI,7262
1108,DEPUTADO FEDERAL,JOSÃ MARIO YAMASHITA,619
1109,DEPUTADO FEDERAL,JOSE RODRIGUES COSTA,1238
1110,DEPUTADO FEDERAL,ROGE BAUDICHON,4728
1111,DEPUTADO FEDERAL,BRUNO MARCELLO DE OLIVEIRA LIMA,461217
1112,DEPUTADO FEDERAL,ISRAEL NANTES SANTOS,42470
1113,DEPUTADO FEDERAL,MICHELLI CASSIANA DA PAIXÃO,1303
1115,DEPUTADO FEDERAL,JOSIANE DE OLIVEIRA,475
1116,DEPUTADO FEDERAL,ANTONIO PEREIRA DOS SANTOS,1571
1117,DEPUTADO FEDERAL,THALIA SILVA DE FARIA,778
1119,DEPUTADO FEDERAL,GILMAR ROTTA,11986
1120,DEPUTADO FEDERAL,CAROLINA TAKAYAMA DOS SANTOS,1085
1121,DEPUTADO FEDERAL,JOSÃ ROBERTO APOLARI,3744
1122,DEPUTADO FEDERAL,CARLOS ALBERTO DA CUNHA,181568
1123,DEPUTADO FEDERAL,FAUSTO RUY PINATO,72169
1124,DEPUTADO FEDERAL,RICARDO JORGE MUTRAN,4187
1126,DEPUTADO FEDERAL,CARINA BALBINO CARNEIRO,263
1127,DEPUTADO FEDERAL,GERALDA MARIA DE LIMA,1025
1128,DEPUTADO FEDERAL,AIRTON DOS SANTOS,895
1129,DEPUTADO FEDERAL,IGOR COIMBRA MANHANI,2684
1130,DEPUTADO FEDERAL,TIAGO RAMOS DE CAMPOS,1318
1131,DEPUTADO FEDERAL,SIMONE LOPES BETINI,3931
1132,DEPUTADO FEDERAL,CRISTINA APARECIDA DOS SANTOS FERNANDES,1427
1133,DEPUTADO FEDERAL,BIANCA COLEPICOLO,3380
1134,DEPUTADO FEDERAL,SINÃSIO LUIZ ANTONIO,1583
1135,DEPUTADO FEDERAL,LEONARDO ALEX DOS SANTOS,2015
1136,DEPUTADO FEDERAL,CLÃUDIA PEREIRA CALDAS,359
1137,DEPUTADO FEDERAL,HOSANA DA SILVA PEREIRA,512
1138,DEPUTADO FEDERAL,ANTONIO CARLOS DE SOUZA SANTANA,6274
1140,DEPUTADO FEDERAL,GUILHERME DE SOUZA,508
1141,DEPUTADO FEDERAL,DIEGO ARAUJO AGIANI,2604
1142,DEPUTADO FEDERAL,JUSSARA MORO PRESTO,408
1143,DEPUTADO FEDERAL,ELIZARDE DA SILVA SOUSA,806
1144,DEPUTADO FEDERAL,FILIPE AUGUSTO FORNARI MONTANHOLI,16583
1145,DEPUTADO FEDERAL,ADRIANO GUIMARÃES SIMÃES,1371
1146,DEPUTADO FEDERAL,EDILENE OLIVEIRA ANDRADE,68
1147,DEPUTADO FEDERAL,DAIANE CRISTINA MELO CORREA BARBOSA,3590
1150,DEPUTADO FEDERAL,DOUGLAS DE ARAUJO GIGLIO,666
1152,DEPUTADO FEDERAL,MASSAEL BESSA DA SILVA,1335
1153,DEPUTADO FEDERAL,GEOVANIA DE SOUSA OLIVEIRA QUEIROZ,322
1154,DEPUTADO FEDERAL,JOÃO LUIZ LEITE,538
1155,DEPUTADO FEDERAL,OSWALDO MARQUES CERA FILHO,4967
1156,DEPUTADO FEDERAL,JHONATAN ARAUJO PANHAGUA,593
1157,DEPUTADO FEDERAL,CLEBER DA ROSA MOREIRA,5119
1162,DEPUTADO FEDERAL,GILMARA VANZO CRISTÃO,319
1165,DEPUTADO FEDERAL,MARCOS ROBERTO VICENTE,2119
1166,DEPUTADO FEDERAL,ALBERT GAUSS,147
1167,DEPUTADO FEDERAL,ELAINE CRISTINA DA SILVA,189
1168,DEPUTADO FEDERAL,JACQUES CHOURIK,392
1169,DEPUTADO FEDERAL,PASCOAL SOUZA SILVA,85
1170,DEPUTADO FEDERAL,RONY DE CASTRO FRANÃA JUNIOR,331
1175,DEPUTADO FEDERAL,GLAUCIA DE MATOS BERNARDO,62
1177,DEPUTADO FEDERAL,PAULA FURTADO BRUM,5886
1178,DEPUTADO FEDERAL,MARCOS APARECIDO VARGAS,797
1180,DEPUTADO FEDERAL,MANOEL EDUARDO PEREIRA DA CRUZ PALOMINO,4304
1182,DEPUTADO FEDERAL,MARCELO MORICKOCHI,5734
1188,DEPUTADO FEDERAL,LUCAS SANCHES PROMESSIA,40881
1189,DEPUTADO FEDERAL,SAMUEL PAES,3180
1190,DEPUTADO FEDERAL,PAULO ADRIANO LOPES LUCINDA TELHADA,69945
1191,DEPUTADO FEDERAL,RAPHAEL APARECIDO DE OLIVEIRA,12596
1199,DEPUTADO FEDERAL,EDICARLOS VIEIRA,14841
1200,DEPUTADO FEDERAL,ANTONIO FERNANDES DOS SANTOS NETO,24721
1201,DEPUTADO FEDERAL,ERICK JOSÃ ELOI DO NASCIMENTO,1979
1202,DEPUTADO FEDERAL,SEBASTIAO FARIAS PAIVA,569
1204,DEPUTADO FEDERAL,CLEBER MACARIO DE MACEDO,678
1207,DEPUTADO FEDERAL,MARIA REGINA MENDES FERREIRA,184
1208,DEPUTADO FEDERAL,VANESSA ARAUJO,2285
1209,DEPUTADO FEDERAL,LUCINEIA FERREIRA SANTOS COSTA,1503
1210,DEPUTADO FEDERAL,TELMA GIMENEZ LOUREIRO,687
1211,DEPUTADO FEDERAL,FÃBIO SILVA MOREIRA,1051
1212,DEPUTADO FEDERAL,MARIA GIOVANA LUCHIARI PISONI DUARTE FORTUNATO,32932
1213,DEPUTADO FEDERAL,PEDRO MAURÃCIO PEREIRA,1957
1215,DEPUTADO FEDERAL,GERALDO JERÃNIMO GONÃALVES,462
1219,DEPUTADO FEDERAL,DANIEL MONTEIRO COSTA,9492
1220,DEPUTADO FEDERAL,GILVANDRO JOSÃ ALVES DE OLIVEIRA FILHO,1032
1221,DEPUTADO FEDERAL,LINCOLN PEREIRA FERNANDES,7701
1222,DEPUTADO FEDERAL,WESLEY LEONARDO CEZAR,41054
1223,DEPUTADO FEDERAL,RUTE APARECIDA LEITE RIPARI,1523
1224,DEPUTADO FEDERAL,CLAUDIA KEITI DA COSTA,432
1227,DEPUTADO FEDERAL,MÃRIO ALVES DA SILVA FILHO,1563
1230,DEPUTADO FEDERAL,ANTONIO MARIO DE PAULA FERREIRA IELO,5796
1231,DEPUTADO FEDERAL,GUSTAVO MARTINS PICCOLO,8084
1232,DEPUTADO FEDERAL,DIMITRI SEAN RIBEIRO CARNEIRO,6626
1233,DEPUTADO FEDERAL,HEITOR ALVES,6192
1234,DEPUTADO FEDERAL,WILSON CALDEIRA PAIVA,29713
1236,DEPUTADO FEDERAL,LINDINALVA DO CARMO LIMA,2327
1238,DEPUTADO FEDERAL,SOLANGE ELIZABETH DOS SANTOS DORTA,653
1240,DEPUTADO FEDERAL,ANA CLÃUDIA FERREIRA DE PAIVA,1051
1244,DEPUTADO FEDERAL,LEANDRO CSEIMAN DOURADO,12573
1245,DEPUTADO FEDERAL,DIJAIR DE JESUS ALMEIDA,1847
1250,DEPUTADO FEDERAL,ABNER JOAS TOFANELLI,13215
1251,DEPUTADO FEDERAL,GILSON DE SOUZA CARVALHO,1055
1254,DEPUTADO FEDERAL,ANDRÃ LUIS DE MORAES,1055
1255,DEPUTADO FEDERAL,MÃNICA DE OLIVEIRA LOURENÃO VELOSO,11546
1266,DEPUTADO FEDERAL,JORGE AUGUSTO FIGO PESSOA,817
1269,DEPUTADO FEDERAL,MARTA DIAS FELIX,313
1270,DEPUTADO FEDERAL,ELZA ALVES DE CARVALHO,863
1272,DEPUTADO FEDERAL,DEJAIR DIAS DA SILVA,566
1275,DEPUTADO FEDERAL,MARIA JOAQUINA DOS SANTOS,5874
1276,DEPUTADO FEDERAL,LUCIANO MOURA DA SILVA,203
1277,DEPUTADO FEDERAL,MARCO ANTÃNIO FACCAS,594
1280,DEPUTADO FEDERAL,AMÃRICO ALEXANDRE CIANFARANI XAVIER,974
1281,DEPUTADO FEDERAL,LUIZ FELIPE DIAS,78
1288,DEPUTADO FEDERAL,ADRIANO CESAR DA SILVEIRA ZAMBELLI,3130
1290,DEPUTADO FEDERAL,CLOVES ALVES DOS SANTOS,389
1297,DEPUTADO FEDERAL,GLAUCE KELLY DOS SANTOS ADÃO LIMA,109
1299,DEPUTADO FEDERAL,RAFAEL ANTONIO DE SOUZA,977
1300,DEPUTADO FEDERAL,POLLYANNA DO VALLE ATAGIBA,20066
1301,DEPUTADO FEDERAL,FRANCISCO DANIEL CELEGUIM DE MORAIS,167438
1307,DEPUTADO FEDERAL,FABIANA SOLER DOS SANTOS ANDRADE,7036
1308,DEPUTADO FEDERAL,DOUGLAS MARTINS IZZO,41359
1309,DEPUTADO FEDERAL,ANTONIO ALBERTO MACHADO,16047
1310,DEPUTADO FEDERAL,IARA BERNARDI,45136
1311,DEPUTADO FEDERAL,MARTA DE SOUZA SOBRAL,13839
1312,DEPUTADO FEDERAL,ORLANDO VITORIANO DE OLIVEIRA,54243
1313,DEPUTADO FEDERAL,RUI GOETHE DA COSTA FALCÃO,193990
1314,DEPUTADO FEDERAL,BERNARDO LERER,2673
1315,DEPUTADO FEDERAL,ADELINO FRANCISCO DE OLIVEIRA,12789
1316,DEPUTADO FEDERAL,JORGE ANTONIO SORIANO MOURA,3744
1319,DEPUTADO FEDERAL,PEDRO TOURINHO DE SIQUEIRA,74729
1320,DEPUTADO FEDERAL,WAGNER OCIMAR BALIEIRO,49562
1321,DEPUTADO FEDERAL,ROSÃNGELA SILVA DOS SANTOS,37291
1322,DEPUTADO FEDERAL,ARLINDO CHIGNALIA JUNIOR,144108
1323,DEPUTADO FEDERAL,PASCOALINA SOUZA SILVA,6224
1325,DEPUTADO FEDERAL,KERLLYN DE OLIVEIRA MENEGUSSE,3919
1326,DEPUTADO FEDERAL,EMERSON DE ABREU SANTANA,3757
