NR_VOTAVEL,DS_CARGO,NM_VOTAVEL,QT_VOTOS
10,DEPUTADO FEDERAL,REPUBLICANOS,4750
11,DEPUTADO FEDERAL,PROGRESSISTAS,2475
12,DEPUTADO FEDERAL,Partido DemocrÃ¡tico Trabalhista,3082
13,DEPUTADO FEDERAL,Partido dos Trabalhadores,5960
14,DEPUTADO FEDERAL,Partido Trabalhista Brasileiro,868
15,DEPUTADO FEDERAL,Movimento DemocrÃ¡tico Brasileiro,1030
18,DEPUTADO FEDERAL,Rede Sustentabilidade,430
19,DEPUTADO FEDERAL,Podemos,628
20,DEPUTADO FEDERAL,Partido Social CristÃ£o,669
22,DEPUTADO FEDERAL,Partido Liberal,3897
23,DEPUTADO FEDERAL,Cidadania,804
27,DEPUTADO FEDERAL,Democracia CristÃ£,69
28,DEPUTADO FEDERAL,Partido Renovador Trabalhista Brasileiro,129
35,DEPUTADO FEDERAL,Partido da Mulher Brasileira,126
40,DEPUTADO FEDERAL,Partido Socialista Brasileiro,953
43,DEPUTADO FEDERAL,Partido Verde,346
44,DEPUTADO FEDERAL,UNIÃO BRASIL,2029
45,DEPUTADO FEDERAL,Partido da Social Democracia Brasileira,982
50,DEPUTADO FEDERAL,Partido Socialismo e Liberdade,255
51,DEPUTADO FEDERAL,Patriota,214
55,DEPUTADO FEDERAL,Partido Social DemocrÃ¡tico,1923
65,DEPUTADO FEDERAL,Partido Comunista do Brasil,407
70,DEPUTADO FEDERAL,AVANTE,521
95,DEPUTADO FEDERAL,VOTO BRANCO,29272
96,DEPUTADO FEDERAL,VOTO NULO,29499
1000,DEPUTADO FEDERAL,RICARDO AYRES DE CARVALHO,45880
1011,DEPUTADO FEDERAL,ANTONIO POINCARE ANDRADE FILHO,63813
1012,DEPUTADO FEDERAL,CRISTIANE APARECIDA DE SOUZA FREITAS,7414
1020,DEPUTADO FEDERAL,JOÃO VICTOR MOREIRA DE FREITAS,2055
1022,DEPUTADO FEDERAL,ROBERTA MARIA PEREIRA CASTRO,2203
1044,DEPUTADO FEDERAL,ELMIR JOSÃ ALVES,1704
1055,DEPUTADO FEDERAL,NATALIA RODRIGUES DE AZEVEDO,1294
1077,DEPUTADO FEDERAL,ROBERVAL PAULO DE CASTRO,424
1088,DEPUTADO FEDERAL,JOSÃ ALEXANDRE DOMINGUES GUIMARÃES,54703
1100,DEPUTADO FEDERAL,ELIANA CASTRO DE OLIVEIRA,3617
1110,DEPUTADO FEDERAL,HILDA GOMES CAMPELO,4324
1111,DEPUTADO FEDERAL,VICENTE ALVES DE OLIVEIRA JUNIOR,55292
1121,DEPUTADO FEDERAL,JOEMIL MIRANDA DA CUNHA,2178
1122,DEPUTADO FEDERAL,CLEITON LIMA PINHEIRO,1534
1133,DEPUTADO FEDERAL,JULIO DA SILVA OLIVEIRA,5409
1145,DEPUTADO FEDERAL,LAZARO BOTELHO MARTINS,13668
1155,DEPUTADO FEDERAL,GIZELE MIRANDA SILVA,627
1177,DEPUTADO FEDERAL,ROBERTINHO RIBEIRO DE OLIVEIRA,495
1210,DEPUTADO FEDERAL,DJACY ALMEIDA DA SILVA,640
1212,DEPUTADO FEDERAL,JOÃO CARLOS PINHEIRO DA SILVA,868
1213,DEPUTADO FEDERAL,JOANYR SOARES ARAUJO,463
1221,DEPUTADO FEDERAL,GABRIELLE TAVARES BORGES,417
1234,DEPUTADO FEDERAL,DHOSER MIQUELIN FEITOSA,1000
1244,DEPUTADO FEDERAL,LILIANE BASILIO SIQUEIRA,279
1300,DEPUTADO FEDERAL,LAENA REINALDO MEDEIROS BRITO LIMA,2346
